Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,68.0%
,,
Total Return,3%,5%
CAGR% (Annual Return),1.34%,2.28%
,,
Sharpe,-0.1,-0.26
RoMaD,0.05,0.23
Corr to Benchmark,1.0,0.16
Prob. Sharpe Ratio,11.93%,15.77%
Smart Sharpe,-0.09,-0.24
Sortino,-0.14,-0.35
Smart Sortino,-0.13,-0.33
Sortino/√2,-0.1,-0.24
Smart Sortino/√2,-0.09,-0.23
Omega,0.96,0.96
,,
Max Drawdown,-24.47%,-9.72%
Longest DD Days,707,458
Volatility (ann.),19.46%,9.38%
R^2,0.02,0.02
Information Ratio,-0.0,-0.0
Calmar,0.05,0.23
Skew,-0.07,-0.49
Kurtosis,3.23,4.25
,,
Expected Daily%,0.0%,0.01%
Expected Monthly%,0.11%,0.18%
Expected Yearly%,0.89%,1.51%
Daily Value-at-Risk,-1.67%,-0.8%
Expected Shortfall (cVaR),-1.67%,-0.8%
,,
MTD,0.0%,0.0%
3M,11.64%,2.18%
6M,8.05%,-2.62%
YTD,0.0%,0.0%
1Y,26.21%,4.13%
3Y (ann.),1.34%,2.28%
5Y (ann.),1.34%,2.28%
10Y (ann.),1.34%,2.28%
All-time (ann.),1.34%,2.28%
,,
Best Day,5.5%,2.03%
Worst Day,-4.35%,-2.68%
Best Month,9.21%,7.9%
Worst Month,-9.24%,-3.43%
Best Year,26.21%,4.13%
Worst Year,-18.63%,0.0%
,,
Avg. Drawdown,-6.58%,-3.96%
Avg. Drawdown Days,180,101
Recovery Factor,0.26,0.55
Ulcer Index,0.13,0.06
Serenity Index,0.0,0.0
,,
Avg. Up Month,5.51%,2.8%
Avg. Down Month,-5.3%,-2.45%
Win Days,363.04,387.51
Loss Days,365.96,341.49
Win Days%,49.8%,53.16%
Win Month%,54.17%,50.0%
Win Quarter%,50.0%,62.5%
Win Year%,50.0%,100.0%
,,
Beta,-,0.08
Alpha,-,0.02
Correlation,-,15.72%
Treynor Ratio,-,-8.48%
