Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,70.0%
,,
Total Return,173%,14%
CAGR% (Annual Return),11.8%,1.44%
,,
Sharpe,0.42,-0.2
RoMaD,0.35,0.05
Corr to Benchmark,1.0,0.24
Prob. Sharpe Ratio,19.32%,0.68%
Smart Sharpe,0.42,-0.2
Sortino,0.59,-0.26
Smart Sortino,0.57,-0.26
Sortino/√2,0.42,-0.19
Smart Sortino/√2,0.41,-0.18
Omega,0.96,0.96
,,
Max Drawdown,-33.68%,-30.04%
Longest DD Days,708,1232
Volatility (ann.),18.08%,13.62%
R^2,0.06,0.06
Information Ratio,-0.03,-0.03
Calmar,0.35,0.05
Skew,-0.6,-1.31
Kurtosis,19.59,13.65
,,
Expected Daily%,0.03%,0.0%
Expected Monthly%,0.92%,0.12%
Expected Yearly%,10.55%,1.29%
Daily Value-at-Risk,-1.52%,-1.17%
Expected Shortfall (cVaR),-1.52%,-1.17%
,,
MTD,0.0%,0.0%
3M,11.64%,3.94%
6M,8.05%,-1.26%
YTD,0.0%,0.0%
1Y,26.21%,5.32%
3Y (ann.),10.05%,4.19%
5Y (ann.),14.11%,2.79%
10Y (ann.),11.8%,1.44%
All-time (ann.),11.8%,1.44%
,,
Best Day,9.06%,4.2%
Worst Day,-10.94%,-8.08%
Best Month,12.7%,9.13%
Worst Month,-12.44%,-14.87%
Best Year,31.23%,19.65%
Worst Year,-18.16%,-15.41%
,,
Avg. Drawdown,-1.64%,-2.46%
Avg. Drawdown Days,19,72
Recovery Factor,3.42,0.71
Ulcer Index,0.08,0.12
Serenity Index,0.96,0.05
,,
Avg. Up Month,4.07%,2.85%
Avg. Down Month,-4.73%,-4.1%
Win Days,1782.95,1761.84
Loss Days,1502.05,1523.16
Win Days%,54.28%,53.63%
Win Month%,68.52%,56.48%
Win Quarter%,77.78%,69.44%
Win Year%,77.78%,55.56%
,,
Beta,-,0.18
Alpha,-,0.0
Correlation,-,24.04%
Treynor Ratio,-,46.8%
