Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,68.0%
,,
Total Return,56%,25%
CAGR% (Annual Return),11.78%,5.64%
,,
Sharpe,0.38,0.09
RoMaD,0.35,0.27
Corr to Benchmark,1.0,0.2
Prob. Sharpe Ratio,21.76%,15.63%
Smart Sharpe,0.36,0.09
Sortino,0.53,0.13
Smart Sortino,0.49,0.12
Sortino/√2,0.37,0.09
Smart Sortino/√2,0.35,0.09
Omega,1.02,1.02
,,
Max Drawdown,-33.68%,-20.96%
Longest DD Days,708,621
Volatility (ann.),22.58%,12.75%
R^2,0.04,0.04
Information Ratio,-0.02,-0.02
Calmar,0.35,0.27
Skew,-0.57,-0.28
Kurtosis,16.34,3.8
,,
Expected Daily%,0.03%,0.02%
Expected Monthly%,0.91%,0.45%
Expected Yearly%,9.31%,4.48%
Daily Value-at-Risk,-1.91%,-1.08%
Expected Shortfall (cVaR),-1.91%,-1.08%
,,
MTD,0.0%,0.0%
3M,11.64%,4.56%
6M,8.05%,-1.4%
YTD,0.0%,0.0%
1Y,26.21%,7.38%
3Y (ann.),10.05%,4.15%
5Y (ann.),11.78%,5.64%
10Y (ann.),11.78%,5.64%
All-time (ann.),11.78%,5.64%
,,
Best Day,9.06%,3.06%
Worst Day,-10.94%,-3.3%
Best Month,12.7%,8.38%
Worst Month,-12.44%,-8.02%
Best Year,28.77%,14.6%
Worst Year,-18.16%,-10.35%
,,
Avg. Drawdown,-2.09%,-2.88%
Avg. Drawdown Days,21,42
Recovery Factor,1.63,1.2
Ulcer Index,0.1,0.08
Serenity Index,0.29,0.11
,,
Avg. Up Month,5.0%,3.41%
Avg. Down Month,-4.96%,-3.83%
Win Days,786.58,790.82
Loss Days,674.42,670.18
Win Days%,53.84%,54.13%
Win Month%,60.42%,60.42%
Win Quarter%,68.75%,75.0%
Win Year%,75.0%,75.0%
,,
Beta,-,0.11
Alpha,-,0.05
Correlation,-,19.6%
Treynor Ratio,-,174.2%
