Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,67.0%
,,
Total Return,5%,-0%
CAGR% (Annual Return),2.36%,-0.05%
,,
Sharpe,-0.05,-0.31
RoMaD,0.1,-0.0
Corr to Benchmark,1.0,0.19
Prob. Sharpe Ratio,13.47%,9.37%
Smart Sharpe,-0.04,-0.29
Sortino,-0.06,-0.42
Smart Sortino,-0.06,-0.39
Sortino/√2,-0.05,-0.3
Smart Sortino/√2,-0.04,-0.28
Omega,0.95,0.95
,,
Max Drawdown,-23.42%,-18.2%
Longest DD Days,687,621
Volatility (ann.),19.43%,13.65%
R^2,0.03,0.03
Information Ratio,-0.01,-0.01
Calmar,0.1,-0.0
Skew,-0.07,-0.36
Kurtosis,3.26,3.89
,,
Expected Daily%,0.01%,-0.0%
Expected Monthly%,0.19%,-0.0%
Expected Yearly%,1.56%,-0.03%
Daily Value-at-Risk,-1.66%,-1.17%
Expected Shortfall (cVaR),-1.66%,-1.17%
,,
MTD,0.0%,0.0%
3M,11.64%,4.23%
6M,8.05%,-0.75%
YTD,0.0%,0.0%
1Y,26.21%,1.82%
3Y (ann.),2.36%,-0.05%
5Y (ann.),2.36%,-0.05%
10Y (ann.),2.36%,-0.05%
All-time (ann.),2.36%,-0.05%
,,
Best Day,5.5%,2.9%
Worst Day,-4.35%,-3.2%
Best Month,9.21%,10.8%
Worst Month,-9.24%,-4.48%
Best Year,26.21%,1.82%
Worst Year,-17.01%,-1.87%
,,
Avg. Drawdown,-4.45%,-3.46%
Avg. Drawdown Days,118,77
Recovery Factor,0.36,0.1
Ulcer Index,0.12,0.12
Serenity Index,0.01,-0.01
,,
Avg. Up Month,5.51%,3.18%
Avg. Down Month,-5.11%,-2.87%
Win Days,363.5,378.52
Loss Days,363.5,348.48
Win Days%,50.0%,52.07%
Win Month%,54.17%,50.0%
Win Quarter%,50.0%,50.0%
Win Year%,50.0%,50.0%
,,
Beta,-,0.13
Alpha,-,0.0
Correlation,-,18.51%
Treynor Ratio,-,-40.96%
