Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,70.0%
,,
Total Return,173%,44%
CAGR% (Annual Return),11.8%,4.1%
,,
Sharpe,0.42,-0.01
RoMaD,0.35,0.2
Corr to Benchmark,1.0,0.25
Prob. Sharpe Ratio,19.32%,3.0%
Smart Sharpe,0.42,-0.01
Sortino,0.59,-0.02
Smart Sortino,0.58,-0.02
Sortino/√2,0.42,-0.01
Smart Sortino/√2,0.41,-0.01
Omega,1.0,1.0
,,
Max Drawdown,-33.68%,-20.23%
Longest DD Days,708,631
Volatility (ann.),18.08%,13.39%
R^2,0.06,0.06
Information Ratio,-0.02,-0.02
Calmar,0.35,0.2
Skew,-0.6,-0.95
Kurtosis,19.59,11.79
,,
Expected Daily%,0.03%,0.01%
Expected Monthly%,0.92%,0.33%
Expected Yearly%,10.55%,3.68%
Daily Value-at-Risk,-1.52%,-1.14%
Expected Shortfall (cVaR),-1.52%,-1.14%
,,
MTD,0.0%,0.0%
3M,11.64%,6.09%
6M,8.05%,-0.24%
YTD,0.0%,0.0%
1Y,26.21%,3.15%
3Y (ann.),10.05%,7.06%
5Y (ann.),14.11%,5.55%
10Y (ann.),11.8%,4.1%
All-time (ann.),11.8%,4.1%
,,
Best Day,9.06%,5.2%
Worst Day,-10.94%,-7.39%
Best Month,12.7%,11.53%
Worst Month,-12.44%,-10.03%
Best Year,31.23%,26.63%
Worst Year,-18.16%,-8.92%
,,
Avg. Drawdown,-1.64%,-2.62%
Avg. Drawdown Days,19,55
Recovery Factor,3.42,2.19
Ulcer Index,0.08,0.08
Serenity Index,0.96,0.25
,,
Avg. Up Month,3.98%,3.1%
Avg. Down Month,-4.78%,-3.99%
Win Days,1782.95,1768.4
Loss Days,1502.05,1516.6
Win Days%,54.28%,53.83%
Win Month%,68.52%,58.33%
Win Quarter%,77.78%,55.56%
Win Year%,77.78%,66.67%
,,
Beta,-,0.19
Alpha,-,0.03
Correlation,-,25.04%
Treynor Ratio,-,206.53%
