scan_date,data_date,symbol,ib_action,conviction_level,position_size_pct,current_price,stop_loss_price,profit_target_price,daily_change_pct,volume,avg_volume_20d,conviction_reason,trend_strength,breakout_power,volume_surge,momentum_points,total_conviction_score
2025-08-21,253,HMY.AX,BUY,5,40,0.7900000214576721,0.7347000199556352,1.1850000321865082,21.53846929764636,929638,74469.3,"MAX conviction: 100, trend: 100, vol: 31.1x, daily: 21.5%",100,25,31.068608152502666,25,100
2025-08-21,253,SUL.AX,BUY,5,40,18.65999984741211,17.35379985809326,27.989999771118164,12.885656819648016,1469356,370175.15,"MAX conviction: 100, trend: 100, vol: 4.6x, daily: 12.9%",100,25,4.582232232013717,25,100
2025-08-21,253,DOW.AX,BUY,5,40,7.324999809265137,6.812249822616577,10.987499713897705,5.699855565814782,3698400,1093356.65,"MAX conviction: 100, trend: 100, vol: 3.9x, daily: 5.7%",100,25,3.921631001498287,25,100
2025-08-21,253,BXB.AX,BUY,5,40,26.190000534057617,24.356700496673586,39.285000801086426,12.742148300259215,8155473,3423699.15,"MAX conviction: 100, trend: 100, vol: 2.6x, daily: 12.7%",100,25,2.586701613711635,25,100
2025-08-21,249,TJX,BUY,5,40,138.27000427246094,128.59110397338867,207.4050064086914,2.7113425105208755,13219000,5387455.0,"MAX conviction: 90, trend: 90, vol: 2.7x, daily: 2.7%",90,25,2.6732701299121517,20,90
2025-08-21,249,TJX,BUY,5,40,138.27000427246094,128.59110397338867,207.4050064086914,2.7113425105208755,13219000,5387455.0,"MAX conviction: 90, trend: 90, vol: 2.7x, daily: 2.7%",90,25,2.6732701299121517,20,90
2025-08-21,249,TJX,BUY,5,40,138.27000427246094,128.59110397338867,207.4050064086914,2.7113425105208755,13219000,5387455.0,"MAX conviction: 90, trend: 90, vol: 2.7x, daily: 2.7%",90,25,2.6732701299121517,20,90
2025-08-21,253,PTM.AX,BUY,5,40,0.8149999976158142,0.7579499977827072,1.2224999964237213,3.8216522786627127,2883035,1928566.6,"MAX conviction: 90, trend: 100, vol: 1.6x, daily: 3.8%",100,25,1.5844363525409972,25,90
2025-08-21,253,PFG.AX,BUY,5,40,0.2549999952316284,0.23714999556541444,0.3824999928474426,1.9999980926513672,159596,81869.15,"MAX conviction: 90, trend: 100, vol: 2.1x, daily: 2.0%",100,15,2.0662524995355347,25,90
2025-08-21,253,SGP.AX,BUY,5,40,6.300000190734863,5.8590001773834235,9.450000286102295,2.9411815121192175,9710655,4948616.2,"MAX conviction: 90, trend: 100, vol: 2.1x, daily: 2.9%",100,15,2.088758505040215,25,90
2025-08-21,253,PMV.AX,BUY,5,40,22.790000915527344,21.19470085144043,34.185001373291016,1.6956763529791585,802921,266764.2,"MAX conviction: 85, trend: 90, vol: 3.2x, daily: 1.7%",90,15,3.2196035808882693,25,85
2025-08-21,253,PTM.AX,BUY,4,35,0.8100000023841858,0.7533000022172929,1.2150000035762787,3.1847102322189347,2914788,1930154.25,"HIGH conviction: 80, trend: 100, vol: 1.6x, daily: 3.2%",100,15,1.6018869237280393,25,80
2025-08-21,249,ADI,BUY,4,35,244.8699951171875,227.72909545898438,367.30499267578125,6.261930447362474,8527100,3595195.0,"HIGH conviction: 75, trend: 80, vol: 2.4x, daily: 6.3%",80,15,2.394512931397602,20,75
