symbol,source,price,avg_volume,ddv,spread_pct,turnover_pct,float_shares,market_cap,liquidity_score,liquidity_tier,max_position_rec,position_200k_pct_adv,position_400k_pct_adv,position_800k_pct_adv,days_to_liquidate_400k,ddv_score,spread_score,turnover_score,float_score,market_cap_score,exchange,currency
HL,IJH,19.19,20551199.55,394377519.36450005,-0.5213764337852004,3.0668915594176602,631487585,12859194368,105.0,TIER 1 - EXCELLENT,$800K (full size),0.050712829758217455,0.10142565951643491,0.20285131903286982,0.001014256595164349,100.0,100.0,100.0,100.0,100.0,NYQ,USD
MP,IJH,50.52,12730461.316666666,643142905.718,0.07953867568104822,7.182997586632242,141841100,8953683968,104.7907367936,TIER 1 - EXCELLENT,$800K (full size),0.031097287744583216,0.06219457548916643,0.12438915097833286,0.0006219457548916643,100.0,100.0,100.0,100.0,97.907367936,NYQ,USD
LEN,IVV,102.8,6037661.483333333,620671600.4866667,-0.20422055820286683,2.7984015472762143,218089581,25388613632,104.19360618910486,TIER 1 - EXCELLENT,$800K (full size),0.03222315953286418,0.06444631906572836,0.1288926381314567,0.0006444631906572835,100.0,100.0,95.96803094552429,100.0,100.0,NYQ,USD
AEO,IJR,26.37,7455041.583333333,196589446.5525,0.0378071833648318,4.397943106952161,153957584,4470031360,103.86750784,TIER 1 - EXCELLENT,$800K (full size),0.10173486090291689,0.20346972180583378,0.40693944361166756,0.0020346972180583377,100.0,100.0,100.0,100.0,88.6750784,NYQ,USD
SATS,IJH,108.7,4039590.683333333,439103507.2783333,0.03980891719745845,2.5807488959669476,135405504,31292155904,103.3229955838678,TIER 1 - EXCELLENT,$800K (full size),0.0455473474214877,0.0910946948429754,0.1821893896859508,0.000910946948429754,100.0,100.0,91.61497791933895,100.0,100.0,NMS,USD
BTU,IJR,29.7,3480338.85,103366063.845,-0.10138560324434315,2.8621207648026314,107873792,3611520000,103.10136305921053,TIER 1 - EXCELLENT,$800K (full size),0.1934871006599468,0.3869742013198936,0.7739484026397871,0.0038697420131989357,100.0,100.0,97.24241529605263,100.0,86.5288,NYQ,USD
RF,IVV,27.1,21942379.766666666,594638491.6766666,0.03676470588234563,2.502334121938498,872737639,24181557248,103.00933648775398,TIER 1 - EXCELLENT,$800K (full size),0.03363388055086578,0.06726776110173156,0.13453552220346313,0.0006726776110173156,100.0,100.0,90.04668243876995,100.0,100.0,NYQ,USD
BRBR,IJH,26.73,3583373.2333333334,95783566.52700001,-0.5988023952095813,3.02584835814272,117681933,3198834688,102.93481212385416,TIER 2 - GOOD,$600K-$800K,0.20880408534758713,0.41760817069517425,0.8352163413903485,0.004176081706951743,98.24315271958334,100.0,100.0,100.0,85.49708672,NYQ,USD
TSLA,IVV,449.72,80692040.98333333,36288824671.024666,0.09359710699851047,2.426230559496121,2385776379,1495687364608,102.70492223798448,TIER 1 - EXCELLENT,$800K (full size),0.000551133859564465,0.00110226771912893,0.00220453543825786,1.10226771912893e-05,100.0,100.0,88.52461118992241,100.0,100.0,NMS,USD
GAP,IJH,25.6,8594693.7,220024158.72,0.0390320062451271,2.310887688361535,195816796,9521196032,102.14778995984614,TIER 1 - EXCELLENT,$800K (full size),0.09089910906307225,0.1817982181261445,0.363596436252289,0.001817982181261445,100.0,100.0,86.2177537672307,100.0,99.042392064,NYQ,USD
