symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl_pct,pnl_dollar
LLY,2015-07-07,2015-07-21,74.09124755859375,71.45256042480469,67,-3.561401947918752,-176.7920379638672
UNH,2015-07-14,2015-07-23,106.95958709716797,102.1078872680664,46,-4.536012115205729,-223.17819213867188
INTU,2015-07-13,2015-07-27,97.3287582397461,96.93180084228516,51,-0.4078521134350938,-20.244827270507812
JPM,2015-07-16,2015-07-27,52.95089340209961,51.770999908447266,94,-2.2282787274096467,-110.90998840332031
TSLA,2015-07-20,2015-07-27,18.817333221435547,16.867332458496094,268,-10.362790199825618,-522.6002044677734
AAPL,2015-07-20,2015-07-30,29.579309463500977,27.406822204589844,170,-7.344617904592556,-369.3228340148926
DIS,2015-07-06,2015-08-05,106.6826400756836,101.91558074951172,46,-4.468448964883127,-219.28472900390625
AMZN,2015-07-13,2015-08-07,22.778499603271484,26.131000518798828,219,14.717830295748946,734.1977005004883
SCHW,2015-07-14,2015-08-12,29.843645095825195,29.965402603149414,167,0.4079847047278126,20.33350372314453
META,2015-07-17,2015-08-12,94.45183563232422,93.67609405517578,53,-0.8213091592716021,-41.11430358886719
BAC,2015-07-22,2015-08-12,14.888802528381348,14.138311386108398,337,-5.040641386990977,-252.9155149459839
NFLX,2015-07-13,2015-08-20,101.08714294433594,112.48999786376953,49,11.280222773446692,558.7398910522461
BKNG,2015-07-17,2015-08-20,1200.7762451171875,1241.796142578125,4,3.4161150029191525,164.07958984375
MA,2015-07-29,2015-08-20,91.051513671875,89.00889587402344,54,-2.2433650089691026,-110.30136108398438
ACN,2015-07-31,2015-08-20,87.53683471679688,84.8710708618164,56,-3.0453052861745213,-149.28277587890625
GOOGL,2015-07-17,2015-08-21,34.772457122802734,32.00952911376953,145,-7.945737050665189,-400.62456130981445
GOOG,2015-07-17,2015-08-21,33.44768524169922,30.443042755126953,151,-8.983110385248361,-453.7010154724121
PGR,2015-07-17,2015-08-21,24.520549774169922,23.485795974731445,206,-4.219945347752732,-213.15928268432617
TMUS,2015-07-31,2015-08-24,39.61561584472656,37.735191345214844,125,-4.746674914463135,-235.05306243896484
TSLA,2015-09-16,2015-09-28,17.483333587646484,16.562000274658203,279,-5.269780550542629,-257.05199432373047
LLY,2015-09-17,2015-09-28,75.5873794555664,66.98532104492188,64,-11.380283947667746,-550.53173828125
AMZN,2015-09-17,2015-09-28,26.943500518798828,25.202999114990234,181,-6.4598191411476895,-315.03075408935547
TMUS,2015-09-17,2015-09-29,41.37912368774414,38.54386901855469,118,-6.851896358620111,-334.56005096435547
NFLX,2015-10-05,2015-10-15,111.25,101.08999633789062,43,-9.13258756144663,-436.8801574707031
PGR,2015-10-12,2015-11-05,25.296611785888672,25.382841110229492,190,0.3408730191642583,16.38357162475586
BKNG,2015-11-04,2015-11-09,1451.16162109375,1294.7349853515625,3,-10.779408266343738,-469.2799072265625
META,2015-10-22,2015-11-16,99.12619018554688,103.47234344482422,48,4.384465146034671,208.6153564453125
ADBE,2015-11-03,2015-11-16,90.36000061035156,89.7699966430664,54,-0.6529481665558621,-31.860214233398438
AMZN,2015-10-06,2015-12-08,26.874000549316406,33.86650085449219,179,26.019573425042775,1251.6575546264648
GOOGL,2015-10-13,2015-12-09,33.95486068725586,37.90019989013672,142,11.619365012920367,560.238166809082
GOOG,2015-10-13,2015-12-09,32.42228317260742,37.35843276977539,148,15.224558896390022,730.5501403808594
COST,2015-12-04,2015-12-09,140.7461700439453,134.77203369140625,35,-4.24461734956891,-209.0947723388672
NFLX,2015-11-17,2015-12-11,117.0999984741211,118.91000366210938,41,1.545691897159409,74.21021270751953
HD,2015-11-24,2015-12-11,106.09850311279297,104.04753112792969,46,-1.9330828661012303,-94.34471130371094
NOW,2015-12-04,2015-12-11,89.98999786376953,83.48999786376953,55,-7.2230249519951775,-357.5
MSFT,2015-12-02,2015-12-14,48.5125617980957,48.451045989990234,102,-0.12680387476029656,-6.2746124267578125
NVDA,2015-10-14,2015-12-18,0.6649308800697327,0.7840654850006104,7240,17.91684045691844,862.5345396995544
MCD,2015-11-27,2016-01-04,90.59342193603516,93.25025177001953,54,2.9326961905250357,143.46881103515625
ADBE,2015-12-15,2016-01-04,94.0199966430664,91.97000122070312,52,-2.1803823607288546,-106.59976196289062
MSFT,2015-12-16,2016-01-04,49.320960998535156,48.152286529541016,99,-2.369528989974162,-115.69877243041992
GOOG,2015-12-29,2016-01-04,38.600555419921875,36.87281799316406,127,-4.475939291448956,-219.4226531982422
AMZN,2015-12-29,2016-01-04,34.69850158691406,31.84950065612793,141,-8.210731877426616,-401.7091312408447
GOOGL,2015-12-29,2016-01-04,39.46133804321289,37.74562454223633,124,-4.347834072675736,-212.74847412109375
NVDA,2015-12-30,2016-01-04,0.8145596385002136,0.7896761894226074,6051,-3.0548345267170607,-150.56975036859512
AMD,2015-12-28,2016-01-07,3.0,2.2799999713897705,1640,-24.000000953674316,-1180.8000469207764
MCD,2016-01-25,2016-02-05,94.53504943847656,91.52135467529297,50,-3.187912611337774,-150.6847381591797
GOOG,2016-02-02,2016-02-05,38.0065803527832,33.97653579711914,126,-10.603544223806876,-507.7856140136719
NVDA,2016-02-18,2016-03-10,0.7328351736068726,0.7756591439247131,6471,5.84360192580131,277.11391192674637
PG,2016-03-04,2016-03-16,64.41627502441406,62.75743865966797,74,-2.5751820702413903,-122.75389099121094
VZ,2016-02-25,2016-04-07,31.232440948486328,32.111732482910156,152,2.8153148064030606,133.65231323242188
AMD,2016-03-02,2016-04-07,2.319999933242798,2.640000104904175,2057,13.793111244365178,658.2403531074524
META,2016-02-01,2016-04-08,114.46204376220703,110.0263900756836,41,-3.8752179680964227,-181.86180114746094
KO,2016-03-10,2016-04-13,33.51856994628906,34.38490295410156,142,2.584635947180122,123.019287109375
PG,2016-03-21,2016-04-13,64.28510284423828,63.6215934753418,76,-1.0321355019127159,-50.42671203613281
PM,2016-03-03,2016-04-19,57.80620574951172,62.180946350097656,82,7.567942825278565,358.7287292480469
AVGO,2016-03-21,2016-04-19,11.769002914428711,11.62890625,416,-1.1903868615492774,-58.28021240234375
T,2016-02-25,2016-04-21,14.262246131896973,14.6874361038208,333,2.9812272764870245,141.58826065063477
MCD,2016-03-09,2016-04-21,95.6028060913086,100.51720428466797,49,5.140433000121061,240.80551147460938
INTU,2016-02-25,2016-04-22,92.97648620605469,95.348388671875,51,2.551077764504562,120.96702575683594
MSFT,2016-03-11,2016-04-22,46.96696090698242,45.825321197509766,101,-2.430729362569705,-115.30561065673828
GOOG,2016-03-29,2016-04-22,37.018455505371094,35.726139068603516,132,-3.491005821623414,-170.5857696533203
TXN,2016-03-03,2016-04-29,42.6376953125,44.60681915283203,112,4.6182698804425,220.5418701171875
NVDA,2016-03-16,2016-04-29,0.8104268312454224,0.8699234127998352,5942,7.3413884215779905,353.5286875963211
ACN,2016-03-29,2016-04-29,98.90312194824219,97.83599853515625,49,-1.0789582695320605,-52.28904724121094
WMT,2016-04-19,2016-04-29,19.612607955932617,18.797407150268555,253,-4.156514052061457,-206.2458038330078
