params,total_return,max_drawdown,sharpe_ratio,total_trades
"{'flagpole_min_gain': 0.15, 'consolidation_volatility_threshold': 0.3, 'ma_fast': 5, 'ma_medium': 20, 'ma_slow': 50, 'max_stop_loss': 0.05, 'max_position_size': 0.05}",17.243426551679637,11.171107497410903,0.49688290125919427,1211
"{'flagpole_min_gain': 0.15, 'consolidation_volatility_threshold': 0.3, 'ma_fast': 5, 'ma_medium': 20, 'ma_slow': 50, 'max_stop_loss': 0.05, 'max_position_size': 0.1}",25.51171056979645,15.862391786121046,0.5253096256823927,1211
"{'flagpole_min_gain': 0.15, 'consolidation_volatility_threshold': 0.3, 'ma_fast': 5, 'ma_medium': 20, 'ma_slow': 50, 'max_stop_loss': 0.05, 'max_position_size': 0.15}",29.563704169784895,18.982091835895783,0.5261230816686515,1211
"{'flagpole_min_gain': 0.15, 'consolidation_volatility_threshold': 0.3, 'ma_fast': 5, 'ma_medium': 20, 'ma_slow': 50, 'max_stop_loss': 0.08, 'max_position_size': 0.05}",19.080477912099816,9.872052006274766,0.5340979114745469,1183
"{'flagpole_min_gain': 0.15, 'consolidation_volatility_threshold': 0.3, 'ma_fast': 5, 'ma_medium': 20, 'ma_slow': 50, 'max_stop_loss': 0.08, 'max_position_size': 0.1}",28.740025241600176,13.986251813347755,0.5706908660158471,1183
"{'flagpole_min_gain': 0.15, 'consolidation_volatility_threshold': 0.3, 'ma_fast': 5, 'ma_medium': 20, 'ma_slow': 50, 'max_stop_loss': 0.08, 'max_position_size': 0.15}",33.91692814622734,16.835435467262883,0.5777289147192437,1183
"{'flagpole_min_gain': 0.15, 'consolidation_volatility_threshold': 0.3, 'ma_fast': 5, 'ma_medium': 20, 'ma_slow': 50, 'max_stop_loss': 0.1, 'max_position_size': 0.05}",18.527405296355827,10.191873658843882,0.5205540316733651,1180
"{'flagpole_min_gain': 0.15, 'consolidation_volatility_threshold': 0.3, 'ma_fast': 5, 'ma_medium': 20, 'ma_slow': 50, 'max_stop_loss': 0.1, 'max_position_size': 0.1}",27.391146226586883,14.765696605822148,0.5496007398619394,1180
"{'flagpole_min_gain': 0.15, 'consolidation_volatility_threshold': 0.3, 'ma_fast': 5, 'ma_medium': 20, 'ma_slow': 50, 'max_stop_loss': 0.1, 'max_position_size': 0.15}",31.666866041244724,18.031576531042433,0.5490290494206487,1180
"{'flagpole_min_gain': 0.15, 'consolidation_volatility_threshold': 0.3, 'ma_fast': 5, 'ma_medium': 20, 'ma_slow': 60, 'max_stop_loss': 0.05, 'max_position_size': 0.05}",21.230590288680116,9.693800708793257,0.602376287126203,1152
"{'flagpole_min_gain': 0.15, 'consolidation_volatility_threshold': 0.3, 'ma_fast': 5, 'ma_medium': 20, 'ma_slow': 60, 'max_stop_loss': 0.05, 'max_position_size': 0.1}",34.80090385455543,13.479408297452569,0.6768724444899413,1152
"{'flagpole_min_gain': 0.15, 'consolidation_volatility_threshold': 0.3, 'ma_fast': 5, 'ma_medium': 20, 'ma_slow': 60, 'max_stop_loss': 0.05, 'max_position_size': 0.15}",42.217135538714466,16.279111124173813,0.6922334380312433,1152
"{'flagpole_min_gain': 0.15, 'consolidation_volatility_threshold': 0.3, 'ma_fast': 5, 'ma_medium': 20, 'ma_slow': 60, 'max_stop_loss': 0.08, 'max_position_size': 0.05}",22.57725757752735,8.766725140701363,0.6247031520400762,1127
