timestamp,symbol,action,price,quantity,value,reason,portfolio_value
2022-01-04 09:30:00-05:00,AMZN,buy,170.4044952392578,88.0,14995.595581054688,"Entry signal: Flagpole 16.2%, Vol 0.02 | Stop: $156.77",100000.0
2022-01-04 09:30:00-05:00,TSLA,buy,399.9266662597656,37.0,14797.286651611328,"Entry signal: Flagpole 59.2%, Vol 0.07 | Stop: $367.93",100000.0
2022-01-05 09:30:00-05:00,V,buy,222.4600067138672,47.0,10455.620315551758,"Entry signal: Flagpole 24.7%, Vol 0.02 | Stop: $204.66",99158.05975341797
2022-01-05 09:30:00-05:00,PG,buy,163.47000122070312,64.0,10462.080078125,"Entry signal: Flagpole 18.9%, Vol 0.02 | Stop: $150.39",99158.05975341797
2022-01-06 09:30:00-05:00,AMZN,sell,163.45050048828125,88.0,14383.64404296875,MA exit,97827.10299682617
2022-01-06 09:30:00-05:00,HD,buy,407.239990234375,18.0,7330.31982421875,"Entry signal: Flagpole 25.0%, Vol 0.02 | Stop: $374.66",97827.10299682617
2022-01-06 09:30:00-05:00,MA,buy,373.8999938964844,19.0,7104.099884033203,"Entry signal: Flagpole 25.0%, Vol 0.03 | Stop: $343.99",97827.10299682617
2022-01-10 09:30:00-05:00,HD,sell,387.3999938964844,18.0,6973.199890136719,MA exit,96242.07620239258
2022-01-20 09:30:00-05:00,TSLA,sell,336.57666015625,37.0,12453.33642578125,MA exit,96071.37889099121
2022-01-24 09:30:00-05:00,V,sell,202.17999267578125,47.0,9502.459655761719,MA exit,95327.89872741699
2022-01-24 09:30:00-05:00,MA,sell,342.57000732421875,19.0,6508.830139160156,MA exit,95327.89872741699
2022-02-01 09:30:00-05:00,V,buy,226.1699981689453,56.0,12665.519897460938,"Entry signal: Flagpole 20.0%, Vol 0.03 | Stop: $208.08",95158.93876647949
2022-02-24 09:30:00-05:00,V,sell,203.3699951171875,56.0,11388.7197265625,MA exit,93511.65922546387
2022-02-25 09:30:00-05:00,PG,sell,152.3300018310547,64.0,9749.1201171875,MA exit,93299.81938171387
2022-04-01 10:30:00-04:00,JNJ,buy,177.22999572753906,78.0,13823.939666748047,"Entry signal: Flagpole 15.7%, Vol 0.02 | Stop: $163.05",93299.81938171387
2022-04-01 10:30:00-04:00,UNH,buy,509.9700012207031,27.0,13769.190032958984,"Entry signal: Flagpole 17.1%, Vol 0.02 | Stop: $469.17",93299.81938171387
2022-04-18 10:30:00-04:00,PG,buy,158.57000732421875,62.0,9831.340454101562,"Entry signal: Flagpole 15.6%, Vol 0.02 | Stop: $145.88",94243.7996673584
