symbol,entry_price,exit_price,pnl_pct,hold_days
ALB,235.72023010253906,188.78695678710938,-19.910583531593172,1
ABNB,180.07000732421875,165.24000549316406,-8.235686803940123,7
ABBV,127.74032592773438,129.13568115234375,1.092337297932655,14
AKAM,117.62000274658203,119.58999633789062,1.674879735849899,19
AES,20.593013763427734,21.931690216064453,6.500633991777094,20
ABBV,148.2318115234375,140.67665100097656,-5.0968550170260585,7
ABNB,171.85000610351562,165.74000549316406,-3.555426472706169,5
ALB,233.47149658203125,230.56211853027344,-1.2461384341773796,8
APD,240.16342163085938,228.56919860839844,-4.827639006693419,3
AOS,59.882503509521484,57.35544204711914,-4.220033088630859,7
A,128.3084259033203,126.12606811523438,-1.700868647340692,12
AKAM,95.98999786376953,93.68000030517578,-2.406498187313366,1
ARE,142.12408447265625,144.44056701660156,1.62990147133788,21
A,139.24951171875,131.0779571533203,-5.868282383592294,5
AES,21.364076614379883,21.884506225585938,2.436003299369194,18
ALB,234.95127868652344,262.3210144042969,11.649111199045947,32
AES,22.97828483581543,23.542821884155273,2.456828489913754,9
ABNB,118.44999694824219,115.30999755859375,-2.650907108946987,1
APD,234.85903930664062,228.8932342529297,-2.540164121987132,8
ALB,294.6668395996094,284.8930358886719,-3.316899765246084,7
AOS,52.14848327636719,56.889251708984375,9.090903770859281,28
AFL,61.23320007324219,67.04998016357422,9.499389356385857,29
AES,24.545013427734375,25.175050735473633,2.566864791474721,17
ABT,101.93482208251953,99.87867736816406,-2.0171170875159405,5
APD,246.49180603027344,295.2449645996094,19.77881510728523,42
ABBV,145.44970703125,147.18235778808594,1.1912370208237544,15
AMD,76.52999877929688,72.44999694824219,-5.331245127575279,7
ALB,251.37918090820312,266.97467041015625,6.2039702116971185,14
ABNB,115.94000244140625,114.94000244140625,-0.862515075851733,13
ADBE,392.2300109863281,375.80999755859375,-4.1863225576348695,7
AMD,75.1500015258789,81.4800033569336,8.423155958120464,10
ARE,142.36212158203125,146.2059326171875,2.70002370886373,14
ALB,275.4716491699219,248.84266662597656,-9.66668716152329,1
ABNB,116.41999816894531,122.77999877929688,5.462979479798746,11
AMD,96.5999984741211,94.55999755859375,-2.1118022233446054,12
AFL,66.107177734375,64.09931945800781,-3.0372772597174746,6
ABT,107.41353607177734,105.46212005615234,-1.8167319380687719,20
ABNB,119.9000015258789,113.19000244140625,-5.596329440433234,5
ALB,208.7823486328125,198.05673217773438,-5.137223776489542,2
AMD,101.4800033569336,117.83000183105469,16.111547037117813,22
AKAM,92.12000274658203,92.4800033569336,0.39079526662837427,9
AMD,124.52999877929688,120.08000183105469,-3.5734337042184205,3
ACN,292.3131408691406,301.5562438964844,3.1620552534385116,26
ADBE,415.3900146484375,479.510009765625,15.43609447893326,31
ADBE,520.22998046875,514.5499877929688,-1.0918234029233198,5
A,126.57697296142578,119.97569274902344,-5.215229956884871,5
ARE,111.45295715332031,110.39476776123047,-0.9494493633167123,11
ABNB,137.5399932861328,144.55999755859375,5.103973109738913,22
MMM,85.25196838378906,84.537841796875,-0.8376658046171936,8
ADBE,546.1699829101562,523.760009765625,-4.103113288124005,3
AFL,73.01345825195312,72.52507019042969,-0.6689014234035007,13
ABBV,138.36451721191406,139.45208740234375,0.786018129752164,21
AKAM,102.98999786376953,100.20999908447266,-2.69929006404499,8
ABNB,144.1199951171875,142.75,-0.9505933691390411,1
AES,13.608975410461426,14.241312026977539,4.646467477853089,12
A,122.34017944335938,125.578369140625,2.6468734245766123,17
ARE,99.84391784667969,107.10712432861328,7.2745607730327455,13
MMM,76.2933120727539,82.95917510986328,8.73715251836591,33
ACN,323.25421142578125,329.42547607421875,1.9091057224646324,20
AMD,128.9199981689453,135.47000122070312,5.080672622391957,12
ABNB,140.5500030517578,141.07000732421875,0.3699781296123028,8
