action,symbol,date,price,shares,value,stop_loss,stop_loss_percent,risk_amount,position_percent,portfolio_value,signal_info,pnl,pnl_percent,hold_days,reason
buy,NFLX,2025-08-14 09:33:10.181121,399.7699890136719,20,7995.3997802734375,369.47998482840404,7.5768579477415345,605.8000837053567,7.995399780273438,100000.0,"{'score': 73.46969486982144, 'momentum': 20.36188697011383, 'volume_ratio': 1.600688976113885}",,,,
sell,NFLX,2025-08-14 09:33:10.187112,424.45001220703125,20,8489.000244140625,,,,,108982.60070800781,,493.6004638671875,6.173555762465033,0.0,Exit signal
buy,TSLA,2025-08-14 09:33:10.187112,259.4599914550781,30,7783.799743652344,238.70319213867188,8.0,622.7039794921873,7.745567586118119,100493.60046386719,"{'score': 136.54364666896532, 'momentum': 37.374912989271735, 'volume_ratio': 1.3309111006135126}",,,,
sell,TSLA,2025-08-14 09:33:10.189114,256.6000061035156,30,7698.000183105469,,,,,108105.80108642578,,-85.799560546875,-1.102283760792333,0.0,Exit signal
