action,symbol,date,price,shares,value,stop_loss,portfolio_value,cash_after,signal_info,pnl,pnl_percent,hold_days,reason
buy,AMCR,2025-08-14 09:26:28.428328,11.229143142700195,890,9993.937397003174,10.560334173359353,100000.0,90006.06260299683,"{'momentum_20': 0.14285689327139273, 'volume_ratio': 2.8975914598105788, 'atr_stop_pct': 5.956010719977496}",,,,
buy,ALB,2025-08-14 09:26:28.428328,227.0862274169922,39,8856.362869262695,204.9125728161941,90006.06260299683,81149.69973373413,"{'momentum_20': 0.11836202070300028, 'volume_ratio': 3.4280503507783107, 'atr_stop_pct': 9.764420701780917}",,,,
sell,ALB,2025-08-14 09:26:28.429327,204.55043029785156,39,7977.466781616211,,97104.63329696655,,,-878.8960876464844,-9.923894273763578,0.0,Stop loss
buy,ALB,2025-08-14 09:26:28.433327,250.0540771484375,35,8751.892700195312,225.04866943359374,89127.16651535034,80375.27381515503,"{'momentum_20': 0.3604638922437453, 'volume_ratio': 1.5844593110919178, 'atr_stop_pct': 10.0}",,,,
sell,ALB,2025-08-14 09:26:28.435327,232.51820373535156,35,8138.137130737305,,96651.54807662964,,,-613.7555694580078,-7.012832429313387,0.0,Exit signal
sell,AMCR,2025-08-14 09:26:28.435327,11.022382736206055,890,9809.920635223389,,108133.25221633911,,,-184.01676177978516,-1.8412839151360383,0.0,Exit signal
buy,AOS,2025-08-14 09:26:28.444331,59.88249206542969,164,9820.728698730469,56.47806680816325,98323.33158111572,88502.60288238525,"{'momentum_20': 0.16247226621589106, 'volume_ratio': 1.757268137604653, 'atr_stop_pct': 5.685176317556465}",,,,
buy,A,2025-08-14 09:26:28.445328,131.23451232910156,67,8792.712326049805,123.4208390508041,88502.60288238525,79709.89055633545,"{'momentum_20': 0.13107267449850535, 'volume_ratio': 1.6249408502162406, 'atr_stop_pct': 5.953977455795179}",,,,
buy,AMZN,2025-08-14 09:26:28.445328,134.9499969482422,59,7962.049819946289,123.67142704554966,79709.89055633545,71747.84073638916,"{'momentum_20': 0.27059597129750057, 'volume_ratio': 2.2258490957823005, 'atr_stop_pct': 8.357591817522033}",,,,
buy,AES,2025-08-14 09:26:28.446327,21.364078521728516,335,7156.966304779053,20.17701664328444,71747.84073638916,64590.87443161011,"{'momentum_20': 0.13455758814704555, 'volume_ratio': 1.6914281646301792, 'atr_stop_pct': 5.556344858200946}",,,,
buy,ALB,2025-08-14 09:26:28.447330,255.52188110351562,25,6388.047027587891,234.77952836364645,64590.87443161011,58202.82740402222,"{'momentum_20': 0.35106272086231094, 'volume_ratio': 1.747093023255814, 'atr_stop_pct': 8.117642469713244}",,,,
sell,AOS,2025-08-14 09:26:28.449328,58.00850296020508,164,9513.394485473633,,77229.61637496948,,,-307.33421325683594,-3.129444083885191,0.0,Exit signal
sell,AMZN,2025-08-14 09:26:28.449328,133.22000122070312,59,7859.980072021484,,83436.18203353882,,,-102.06974792480469,-1.2819531431353615,0.0,Exit signal
sell,A,2025-08-14 09:26:28.449328,129.80572509765625,67,8696.983581542969,,92970.16912460327,,,-95.72874450683594,-1.0887282667399911,0.0,Exit signal
sell,ALB,2025-08-14 09:26:28.451328,257.6953125,25,6442.3828125,,97157.9511680603,,,54.335784912109375,0.8505852364181221,0.0,Exit signal
sell,AES,2025-08-14 09:26:28.454327,22.86362075805664,335,7659.312953948975,,106034.19426345825,,,502.3466491699219,7.0189886018393155,0.0,Exit signal
buy,ABBV,2025-08-14 09:26:28.462327,133.20407104492188,73,9723.897186279297,125.8093130105154,98374.88130950928,88650.98412322998,"{'momentum_20': 0.11103443729208662, 'volume_ratio': 2.0411757876325387, 'atr_stop_pct': 5.551450474747618}",,,,
buy,AFL,2025-08-14 09:26:28.463329,61.23320770263672,144,8817.581909179688,58.37152775641837,88650.98412322998,79833.4022140503,"{'momentum_20': 0.1253024195597796, 'volume_ratio': 2.1521720212664563, 'atr_stop_pct': 4.673411786812416}",,,,
sell,ABBV,2025-08-14 09:26:28.463329,130.41567993164062,73,9520.344635009766,,98874.09148406982,,,-203.55255126953125,-2.0933227426216505,0.0,Exit signal
buy,APD,2025-08-14 09:26:28.464329,257.73248291015625,34,8762.904418945312,243.66965048878308,89353.74684906006,80590.84243011475,"{'momentum_20': 0.1911973818808581, 'volume_ratio': 1.8104290663587101, 'atr_stop_pct': 5.4563678829243125}",,,,
buy,AES,2025-08-14 09:26:28.465327,25.04193878173828,321,8038.462348937988,23.524560738324226,80590.84243011475,72552.38008117676,"{'momentum_20': 0.16350487776195521, 'volume_ratio': 1.5165815962816163, 'atr_stop_pct': 6.059347307887339}",,,,
buy,ALLE,2025-08-14 09:26:28.465327,109.27642059326172,66,7212.243759155273,101.17786666063743,72552.38008117676,65340.136322021484,"{'momentum_20': 0.2362254791027001, 'volume_ratio': 1.5343047156300553, 'atr_stop_pct': 7.4110717469123175}",,,,
buy,A,2025-08-14 09:26:28.467327,153.7738494873047,42,6458.501678466797,144.76465375348155,65340.136322021484,58881.63464355469,"{'momentum_20': 0.1662454658907222, 'volume_ratio': 2.5121674730634855, 'atr_stop_pct': 5.8587307034717355}",,,,
