symbol,market,conviction_level,current_price,distance_from_high_pct,daily_change_pct,volume_surge,conviction_score,scan_date,ib_action,stop_loss_pct,target_pct
HMY.AX,ASX,5,0.5,0.0,6.382978993230615,2.386023970515685,8,2024-08-19,BUY,7.0,15.0
PFG.AX,ASX,5,0.19512756168842316,-2.325586069590768,5.000005211997194,0.3939036258215412,5,2024-08-19,BUY,7.0,15.0
CMD.AX,ASX,5,0.007000000216066837,0.0,0.0,5.696752870482673,5,2024-08-19,BUY,7.0,15.0
WBC.AX,ASX,5,28.974170684814453,-0.09858917628865482,2.4949406363955484,1.6212092166818106,5,2024-08-19,BUY,7.0,15.0
NVDA,US,5,129.95895385742188,0.0,4.35063127489006,0.8555841811683921,5,2024-08-19,BUY,7.0,15.0
MAH.AX,ASX,4,0.2790791690349579,-0.8547000709448027,1.7543728111495405,0.1251568494818678,4,2024-08-19,BUY,7.0,15.0
REA.AX,ASX,4,213.86720275878906,-0.9908273679400836,1.0865359393405827,1.1277567972222868,4,2024-08-19,BUY,7.0,15.0
ADBE,US,4,563.1199951171875,-0.11529957102063282,1.7453786653100822,0.6755823474267542,4,2024-08-19,BUY,7.0,15.0
NFLX,US,4,688.530029296875,-0.0450028375977074,2.145181036915833,0.9024999625978067,4,2024-08-19,BUY,7.0,15.0
SUL.AX,ASX,3,15.674619674682617,-0.4255416348099006,0.3676455995346828,0.5804232718935897,3,2024-08-19,WATCH,7.0,15.0
SGP.AX,ASX,3,4.443443298339844,-0.4273500354724069,0.4310248666202554,0.9373698008091114,3,2024-08-19,WATCH,7.0,15.0
BXB.AX,ASX,3,15.232989311218262,-0.5696153549036853,0.06369818187672571,0.925397666869223,3,2024-08-19,WATCH,7.0,15.0
PTM.AX,ASX,3,0.9851157665252686,-2.7649863324062385,1.442300521718165,0.9892279910064482,3,2024-08-19,WATCH,7.0,15.0
TCL.AX,ASX,3,12.811333656311035,-0.5185162743030047,-0.07439938784522537,0.7173088394542585,3,2024-08-19,WATCH,7.0,15.0
RIC.AX,ASX,3,2.188448429107666,-0.43860895948050205,0.8888843946887715,0.5303430807452236,3,2024-08-19,WATCH,7.0,15.0
CBA.AX,ASX,3,132.81390380859375,0.0,0.8108212972190998,0.9341015232398792,3,2024-08-19,WATCH,7.0,15.0
ANZ.AX,ASX,3,28.15859603881836,-0.40187822096627857,0.5069321069618438,0.7148338660456991,3,2024-08-19,WATCH,7.0,15.0
COL.AX,ASX,3,17.779342651367188,-0.27055864880446423,0.21751882324811955,0.7891126929171655,3,2024-08-19,WATCH,7.0,15.0
TLS.AX,ASX,3,3.7825021743774414,-0.7518789804026427,0.0,0.5971492315800042,3,2024-08-19,WATCH,7.0,15.0
SHL.AX,ASX,3,26.790687561035156,-0.5357150601491223,0.14383429695801198,0.5890454040792937,3,2024-08-19,WATCH,7.0,15.0
AAPL,US,3,224.8435821533203,-0.41440547180751075,-0.07077954338955417,0.7476172202331336,3,2024-08-19,WATCH,7.0,15.0
JPM,US,3,210.71815490722656,-0.43440749327186,0.6916780114975429,0.72119178754515,3,2024-08-19,WATCH,7.0,15.0
V,US,3,264.6117248535156,-0.7338810318752054,-0.340351815644524,0.6665165388801314,3,2024-08-19,WATCH,7.0,15.0
CRM,US,3,263.8284912109375,-0.2630743744618913,0.939499457480375,0.9262229556703969,3,2024-08-19,WATCH,7.0,15.0
KO,US,3,67.02000427246094,-0.9903813443768783,-0.28910604823020325,0.6955900527633451,3,2024-08-19,WATCH,7.0,15.0
COST,US,3,867.8960571289062,-0.9064847184487412,0.20215036063195857,0.6902581661876116,3,2024-08-19,WATCH,7.0,15.0
ABT,US,3,109.7900161743164,-0.4005304695771761,0.810807573169714,0.4772892352558886,3,2024-08-19,WATCH,7.0,15.0
