Date,Adj Close,Close,High,Low,Open,Volume
2024-01-11,199.79354858398438,202.9199981689453,206.05999755859372,201.0399932861328,206.0500030517578,1414300
2024-01-12,204.5983428955078,207.8000030517578,208.0399932861328,204.41000366210935,204.9900054931641,1049400
2024-01-16,201.9300994873047,205.08999633789065,207.97000122070312,204.13999938964844,207.75,826100
2024-01-17,201.38856506347656,204.5399932861328,208.6199951171875,203.94000244140625,204.16000366210935,761700
2024-01-18,202.56024169921875,205.72999572753903,206.0500030517578,203.0,204.4499969482422,676100
2024-01-19,201.6642608642578,204.82000732421875,206.1999969482422,203.7700042724609,206.1999969482422,959200
2024-01-22,203.63345336914062,206.82000732421875,207.50999450683597,203.52999877929688,205.0,1184200
2024-01-23,202.91470336914062,206.08999633789065,208.92999267578125,204.8800048828125,207.0,1306200
2024-01-24,201.10304260253906,204.25,207.3699951171875,204.0399932861328,206.1999969482422,875700
2024-01-25,201.48703002929688,204.63999938964844,206.0200042724609,202.97000122070312,205.1000061035156,2304700
2024-01-26,205.98663330078125,209.2100067138672,211.41000366210935,205.7899932861328,209.5,2267600
2024-01-29,207.01060485839844,210.25,211.72000122070312,209.0,210.3000030517578,1480000
2024-01-30,207.47337341308594,210.72000122070312,211.72000122070312,209.66000366210935,210.33999633789065,1302500
2024-01-31,205.20880126953125,208.4199981689453,211.3999938964844,208.1000061035156,210.7899932861328,2297900
2024-02-01,206.25245666503906,209.47999572753903,210.17999267578125,207.1199951171875,209.0,1333800
2024-02-02,203.8106689453125,207.0,208.7100067138672,206.1999969482422,208.2700042724609,1098600
2024-02-05,203.94851684570312,207.13999938964844,207.69000244140625,203.5200042724609,206.0,933600
2024-02-06,204.50975036621094,207.7100067138672,207.75999450683597,205.22000122070312,206.9900054931641,1068600
2024-02-07,206.33123779296875,209.55999755859372,209.88999938964844,207.1999969482422,208.4600067138672,749200
2024-02-08,206.07525634765625,209.3000030517578,209.82000732421875,206.4900054931641,209.2700042724609,905400
2024-02-09,206.60691833496094,209.83999633789065,210.1100006103516,207.8699951171875,209.83999633789065,543700
2024-02-12,208.00503540039062,211.25999450683597,212.2700042724609,209.66000366210935,209.83999633789065,857900
2024-02-13,204.77557373046875,207.97999572753903,212.6100006103516,205.72999572753903,211.25999450683597,799100
2024-02-14,206.94168090820312,210.17999267578125,210.22000122070312,208.08999633789065,208.9900054931641,758700
2024-02-15,208.02474975585938,211.27999877929688,212.5200042724609,210.00999450683597,210.6199951171875,591900
2024-02-16,208.7139434814453,211.97999572753903,212.0,209.9600067138672,211.0500030517578,759600
2024-02-20,208.56626892089844,211.8300018310547,215.33999633789065,211.2899932861328,212.6499938964844,1128200
2024-02-21,210.5059051513672,213.8000030517578,213.8500061035156,211.3600006103516,212.0,758400
2024-02-22,210.1317596435547,213.4199981689453,213.66000366210935,211.1999969482422,213.22000122070312,817700
2024-02-23,211.1458740234375,214.4499969482422,216.1699981689453,213.25,214.0,1120000
2024-02-26,208.47764587402344,211.7400054931641,214.72000122070312,211.3500061035156,214.4499969482422,854600
2024-02-27,208.47764587402344,211.7400054931641,212.27999877929688,209.58999633789065,211.47000122070312,849400
2024-02-28,209.90530395507812,213.19000244140625,214.1300048828125,210.6000061035156,211.57000732421875,836900
2024-02-29,208.3988800048828,211.66000366210935,213.41000366210935,210.5,213.41000366210935,3256200
2024-03-01,206.577392578125,209.80999755859372,211.3500061035156,209.00999450683597,211.22000122070312,1008300
2024-03-04,212.63262939453125,215.9600067138672,217.1300048828125,210.1300048828125,210.4499969482422,1357200
2024-03-05,210.53543090820312,213.8300018310547,218.33999633789065,213.6000061035156,216.58999633789065,858000
2024-03-06,212.27818298339844,215.6000061035156,216.3999938964844,213.0500030517578,213.6499938964844,683300
2024-03-07,210.87249755859375,213.0200042724609,216.58999633789065,212.97999572753903,215.6000061035156,956400
2024-03-08,212.4365692138672,214.6000061035156,215.0200042724609,211.9199981689453,213.00999450683597,870800
2024-03-11,212.4464569091797,214.6100006103516,216.2400054931641,213.80999755859372,214.0800018310547,672200
2024-03-12,211.4466552734375,213.6000061035156,214.6999969482422,212.1699981689453,213.3500061035156,926000
2024-03-13,213.54525756835938,215.72000122070312,216.1000061035156,213.88999938964844,213.88999938964844,1406900
2024-03-14,211.2090606689453,213.3600006103516,216.1699981689453,210.82000732421875,215.80999755859372,1618900
2024-03-15,210.714111328125,212.8600006103516,214.5200042724609,211.13999938964844,211.13999938964844,1872500
2024-03-18,208.8035430908203,210.92999267578125,213.22000122070312,210.5,212.8600006103516,1441200
2024-03-19,209.2886199951172,211.4199981689453,212.27999877929688,210.80999755859372,211.3000030517578,1755900
2024-03-20,210.11024475097656,212.25,213.8699951171875,211.0,211.1199951171875,967000
2024-03-21,211.00115966796875,213.1499938964844,214.2100067138672,212.44000244140625,212.82000732421875,1242900
2024-03-22,209.80337524414062,211.94000244140625,213.82000732421875,211.8800048828125,213.82000732421875,837500
2024-03-25,209.55589294433594,211.69000244140625,213.30999755859372,211.6100006103516,213.30999755859372,744800
2024-03-26,209.0015411376953,211.1300048828125,212.4199981689453,211.0500030517578,211.91000366210935,583300
2024-03-27,210.3577423095703,212.5,213.27999877929688,211.92999267578125,212.3000030517578,1215800
2024-03-28,210.95169067382812,213.1000061035156,214.27999877929688,212.3800048828125,213.0,1193900
2024-04-01,206.4574432373047,208.55999755859372,213.17999267578125,207.83999633789065,212.9900054931641,1228600
2024-04-02,203.13131713867188,205.1999969482422,208.6100006103516,205.0500030517578,208.0,1336000
2024-04-03,202.21070861816406,204.2700042724609,205.6000061035156,203.02999877929688,205.0,1375300
2024-04-04,207.47706604003906,209.58999633789065,210.02999877929688,204.5800018310547,205.8600006103516,2023000
2024-04-05,206.85342407226562,208.9600067138672,209.6499938964844,206.32000732421875,208.8699951171875,1167600
2024-04-08,206.39805603027344,208.5,210.0,208.1300048828125,209.5399932861328,706200
2024-04-09,204.0717315673828,206.1499938964844,208.41000366210935,205.16000366210935,207.38999938964844,977000
2024-04-10,203.4184112548828,205.4900054931641,206.25,201.00999450683597,204.5399932861328,1118300
2024-04-11,200.3496551513672,202.38999938964844,205.7899932861328,201.9600067138672,205.27999877929688,979300
2024-04-12,200.5773162841797,202.6199951171875,205.47999572753903,201.5200042724609,203.4499969482422,931100
2024-04-15,201.17127990722656,203.22000122070312,205.6000061035156,202.47999572753903,204.97999572753903,1009300
2024-04-16,198.3203125,200.33999633789065,203.3000030517578,200.17999267578125,202.82000732421875,915200
2024-04-17,199.36962890625,201.3999938964844,202.5,200.5399932861328,202.5,895800
2024-04-18,200.04278564453125,202.0800018310547,203.9600067138672,201.38999938964844,201.38999938964844,683600
2024-04-19,203.37879943847656,205.4499969482422,205.58999633789065,202.6300048828125,203.33999633789065,898600
2024-04-22,206.04168701171875,208.13999938964844,209.80999755859372,205.8500061035156,206.58999633789065,934200
2024-04-23,205.58631896972656,207.67999267578125,210.72999572753903,207.50999450683597,209.9600067138672,850700
2024-04-24,205.61602783203125,207.7100067138672,208.30999755859372,204.97999572753903,206.3300018310547,1002100
2024-04-25,205.26956176757812,207.3600006103516,208.1000061035156,205.2899932861328,207.5,1173500
2024-04-26,212.3771514892578,214.5399932861328,216.9900054931641,211.2400054931641,212.0500030517578,2133500
2024-04-29,214.8717498779297,217.05999755859372,217.6000061035156,214.0800018310547,215.1199951171875,1256300
