Date,Adj Close,Close,High,Low,Open,Volume
2024-01-11,7242.240234375,7242.240234375,7261.009765625,7129.759765625,7149.7001953125,17700
2024-01-12,7208.89990234375,7208.89990234375,7267.02001953125,7189.16015625,7242.240234375,14200
2024-01-16,7160.72998046875,7160.72998046875,7251.2001953125,7126.009765625,7176.0,18600
2024-01-17,7104.60009765625,7104.60009765625,7193.3798828125,7079.0,7118.25,17600
2024-01-18,7184.9599609375,7184.9599609375,7210.0498046875,7070.06005859375,7180.5,13800
2024-01-19,7207.990234375,7207.990234375,7250.0,7136.2998046875,7192.75,15400
2024-01-22,7416.009765625,7416.009765625,7423.72998046875,7256.83984375,7259.0,20500
2024-01-23,6938.39990234375,6938.39990234375,7399.7001953125,6927.5,7365.77001953125,31000
2024-01-24,6857.43017578125,6857.43017578125,7039.0,6820.4501953125,6999.10986328125,30000
2024-01-25,7019.10986328125,7019.10986328125,7038.1298828125,6800.0,6829.77001953125,25300
2024-01-26,7035.81005859375,7035.81005859375,7088.85986328125,6980.0,6995.2099609375,15000
2024-01-29,7106.330078125,7106.330078125,7140.64013671875,6999.43994140625,7024.0,17900
2024-01-30,7120.669921875,7120.669921875,7219.990234375,7096.0400390625,7130.2900390625,15800
2024-01-31,7075.2900390625,7075.2900390625,7210.10009765625,7018.02978515625,7116.0,25500
2024-02-01,7211.31005859375,7211.31005859375,7220.14990234375,7029.68017578125,7130.0,22200
2024-02-02,7319.97998046875,7319.97998046875,7400.0,7129.10009765625,7170.669921875,25200
2024-02-05,7166.89990234375,7166.89990234375,7289.0,7166.89990234375,7251.0,23700
2024-02-06,7332.81982421875,7332.81982421875,7338.10986328125,7209.1201171875,7240.0,32000
2024-02-07,7420.7099609375,7420.7099609375,7439.97998046875,7332.58984375,7399.5,17000
2024-02-08,7486.68994140625,7486.68994140625,7497.990234375,7398.9501953125,7398.9501953125,23300
2024-02-09,7447.990234375,7447.990234375,7476.60986328125,7364.16015625,7470.0498046875,18000
2024-02-12,7617.240234375,7617.240234375,7617.240234375,7420.0,7449.68994140625,17300
2024-02-13,7349.02001953125,7349.02001953125,7439.41015625,7285.0498046875,7378.7998046875,17500
2024-02-14,7501.72998046875,7501.72998046875,7511.2099609375,7327.25,7409.60986328125,14600
2024-02-15,7534.72021484375,7534.72021484375,7543.83984375,7449.35986328125,7541.8798828125,15100
2024-02-16,7390.64990234375,7390.64990234375,7498.0,7390.58984375,7450.0,9900
2024-02-20,7420.02001953125,7420.02001953125,7451.43994140625,7329.68994140625,7365.0,13300
2024-02-21,7397.52001953125,7397.52001953125,7510.0,7339.7900390625,7486.64013671875,15500
2024-02-22,7533.2900390625,7533.2900390625,7540.2099609375,7442.4599609375,7460.0,12800
2024-02-23,7584.75,7584.75,7615.0,7530.0,7538.0,13800
2024-02-26,7569.56005859375,7569.56005859375,7628.5400390625,7569.56005859375,7612.25,9800
2024-02-27,7543.10986328125,7543.10986328125,7635.0,7506.1298828125,7561.41015625,10600
2024-02-28,7584.990234375,7584.990234375,7605.64990234375,7532.0,7532.0,12400
2024-02-29,7625.56982421875,7625.56982421875,7700.0,7570.10009765625,7600.75,28000
2024-03-01,7687.10009765625,7687.10009765625,7712.0,7531.02001953125,7531.02001953125,15000
2024-03-04,7651.830078125,7651.830078125,7776.169921875,7651.830078125,7698.43017578125,16300
2024-03-05,7595.10009765625,7595.10009765625,7770.0,7583.6201171875,7651.830078125,15300
2024-03-06,7709.27001953125,7709.27001953125,7754.0,7634.27978515625,7679.97998046875,16600
2024-03-07,7682.2998046875,7682.2998046875,7825.0,7679.60009765625,7760.0,27700
2024-03-08,7654.990234375,7654.990234375,7761.259765625,7633.419921875,7693.669921875,18200
2024-03-11,7625.0,7625.0,7655.7998046875,7537.10986328125,7640.0,18500
2024-03-12,7723.0,7723.0,7772.9501953125,7547.06982421875,7612.58984375,15800
2024-03-13,7746.2998046875,7746.2998046875,7820.0,7721.47021484375,7723.8701171875,18500
2024-03-14,7559.52978515625,7559.52978515625,7840.0,7511.5498046875,7793.580078125,25000
2024-03-15,7565.8701171875,7565.8701171875,7671.22998046875,7499.0498046875,7499.0498046875,39300
2024-03-18,7630.83984375,7630.83984375,7683.27001953125,7526.7900390625,7635.0,17900
2024-03-19,7791.5400390625,7791.5400390625,7819.64990234375,7647.580078125,7653.97998046875,19700
2024-03-20,7958.4501953125,7958.4501953125,7981.3701171875,7783.2099609375,7806.419921875,21400
2024-03-21,8001.9599609375,8001.9599609375,8118.22998046875,7963.89013671875,8022.919921875,23900
2024-03-22,7971.7099609375,7971.7099609375,8035.14013671875,7861.60009765625,7987.0,19100
2024-03-25,7907.0498046875,7907.0498046875,8014.77001953125,7907.0498046875,7967.7001953125,14200
2024-03-26,7865.0,7865.0,7999.5400390625,7842.330078125,7920.0498046875,16600
2024-03-27,7980.740234375,7980.740234375,8023.8701171875,7852.75,7910.0,14800
2024-03-28,8099.9599609375,8099.9599609375,8158.990234375,8010.0,8010.0,17600
2024-04-01,8026.27001953125,8026.27001953125,8211.400390625,7978.27978515625,8097.97998046875,14400
2024-04-02,7852.89990234375,7852.89990234375,7930.02001953125,7810.009765625,7925.33984375,17900
2024-04-03,7914.2998046875,7914.2998046875,7972.08984375,7823.4501953125,7840.0,18400
2024-04-04,7790.0,7790.0,8000.0,7780.8701171875,8000.0,15300
2024-04-05,7907.89013671875,7907.89013671875,7921.759765625,7801.3798828125,7801.3798828125,12600
2024-04-08,7871.14990234375,7871.14990234375,7959.93994140625,7841.58984375,7928.0,14800
2024-04-09,7972.85009765625,7972.85009765625,7972.85009765625,7813.85009765625,7933.0,16900
2024-04-10,7658.1298828125,7658.1298828125,7808.0400390625,7650.0,7780.0,21000
2024-04-11,7757.18017578125,7757.18017578125,7839.7001953125,7727.0,7727.0,14900
2024-04-12,7817.97998046875,7817.97998046875,7819.93994140625,7708.330078125,7750.0,17800
2024-04-15,7761.43994140625,7761.43994140625,7949.990234375,7744.0,7870.0,25300
2024-04-16,7657.0,7657.0,7791.77978515625,7593.52001953125,7730.0,23100
2024-04-17,7669.93994140625,7669.93994140625,7739.22998046875,7632.43994140625,7726.3701171875,20100
2024-04-18,7702.259765625,7702.259765625,7859.0,7700.3701171875,7742.5498046875,21500
2024-04-19,7685.0,7685.0,7816.1201171875,7667.35986328125,7765.0,27600
2024-04-22,7806.7900390625,7806.7900390625,7825.0,7647.02978515625,7710.0,18200
2024-04-23,7835.10986328125,7835.10986328125,7870.27001953125,7603.009765625,7833.0,21300
