timestamp,strategy,universe,period,cagr,benchmark_cagr,alpha,sharpe,sortino,calmar,max_drawdown_pct,win_rate,avg_win_pct,avg_loss_pct,profit_factor,avg_r_multiple,exposure_pct,turnover,total_trades
2026-06-04 17:01:59,High Conviction Only,nasdaq100,bear2022,-2.24,-33.31,31.07,-2.55,-3.05,-0.81,-2.75,16.67,3.22,-3.65,0.18,-0.53,21.54,1.78,6
2026-06-04 17:02:25,High Conviction Only,nasdaq100,bull2021,24.01,30.17,-6.16,0.88,1.18,1.83,-13.12,40.0,17.9,-4.36,2.74,1.06,96.55,10.75,35
2026-06-04 17:08:13,VCP (Volatility Contraction Pattern),russell1000,full,11.1,14.03,-2.93,0.8,1.14,1.01,-10.96,35.31,11.29,-3.74,1.66,-0.47,81.69,87.86,354
2026-06-04 17:09:54,VCP (Volatility Contraction Pattern),russell1000,bear2022,-5.64,-19.76,14.12,-1.33,-1.74,-0.75,-7.47,21.21,9.22,-4.59,0.59,-0.61,38.08,7.88,33
2026-06-04 17:13:18,VCP (Volatility Contraction Pattern),russell1000,bull2021,23.18,28.69,-5.51,1.4,2.11,3.78,-6.14,36.9,11.74,-3.39,2.03,-0.41,87.36,21.16,84
2026-06-04 17:14:19,VCP (Volatility Contraction Pattern),nasdaq100,full,6.7,19.72,-13.02,0.47,0.64,0.75,-8.97,39.76,11.58,-4.55,1.68,-0.47,61.23,41.53,166
2026-06-04 17:14:37,VCP (Volatility Contraction Pattern),nasdaq100,bear2022,-8.36,-33.31,24.95,-2.08,-2.25,-1.0,-8.32,0.0,0.0,-5.14,0.0,-0.93,19.23,3.17,13
2026-06-04 17:15:00,VCP (Volatility Contraction Pattern),nasdaq100,bull2021,8.52,30.17,-21.65,0.58,0.79,2.05,-4.16,43.75,10.06,-4.06,1.93,-0.36,71.26,8.09,32
2026-06-04 17:20:48,Conviction (Pure Technical),russell1000,full,18.08,14.03,4.05,1.44,2.22,1.83,-9.87,48.37,9.02,-5.41,1.56,0.28,89.81,166.28,1230
2026-06-04 17:22:14,Conviction (Pure Technical),russell1000,bear2022,-6.27,-19.76,13.49,-0.76,-0.98,-0.72,-8.67,36.27,8.17,-6.09,0.76,-0.12,58.85,13.62,102
2026-06-04 17:25:13,Conviction (Pure Technical),russell1000,bull2021,51.22,28.69,22.53,2.6,4.89,8.98,-5.7,53.12,9.63,-5.29,2.06,0.44,100.0,39.14,288
2026-06-04 17:26:13,Conviction (Pure Technical),nasdaq100,full,11.51,19.72,-8.21,0.91,1.28,1.46,-7.88,50.88,8.73,-5.83,1.55,0.26,85.82,92.47,684
2026-06-04 17:26:30,Conviction (Pure Technical),nasdaq100,bear2022,-6.41,-33.31,26.9,-1.64,-2.04,-0.8,-7.98,30.0,7.47,-6.61,0.48,-0.27,47.31,5.3,40
2026-06-04 17:26:54,Conviction (Pure Technical),nasdaq100,bull2021,15.65,30.17,-14.52,1.12,1.64,3.09,-5.07,52.32,8.22,-5.8,1.56,0.26,97.32,20.41,151
2026-06-04 17:32:29,5LC (5-Level Conviction),russell1000,full,21.17,14.03,7.14,1.47,2.18,1.75,-12.11,35.56,15.59,-4.32,1.99,-0.49,90.57,118.43,703
2026-06-04 17:33:55,5LC (5-Level Conviction),russell1000,bear2022,-10.42,-19.76,9.34,-0.95,-1.15,-0.86,-12.1,19.18,11.16,-4.78,0.55,-0.62,63.85,12.03,73
2026-06-04 17:36:47,5LC (5-Level Conviction),russell1000,bull2021,38.11,28.69,9.42,1.57,2.63,4.77,-7.99,38.85,14.32,-4.35,2.09,-0.47,100.0,26.47,157
2026-06-04 17:37:43,5LC (5-Level Conviction),nasdaq100,full,15.11,19.72,-4.61,1.06,1.52,1.43,-10.56,37.44,14.92,-4.6,1.94,-0.46,85.06,76.46,454
2026-06-04 17:38:01,5LC (5-Level Conviction),nasdaq100,bear2022,-9.84,-33.31,23.47,-1.74,-2.06,-0.92,-10.7,12.12,10.85,-5.57,0.27,-0.69,45.77,5.39,33
2026-06-04 17:38:25,5LC (5-Level Conviction),nasdaq100,bull2021,30.84,30.17,0.67,1.87,2.98,5.39,-5.72,45.19,13.65,-4.77,2.36,-0.4,93.49,17.59,104
