rank,strategy,universe,period,cagr,benchmark_cagr,alpha,calmar,sharpe,sortino,max_drawdown_pct,win_rate,profit_factor,exposure_pct,turnover,total_trades,score
3,VCP (Volatility Contraction Pattern),asx300,full,1.76,4.24,-2.48,0.54,-0.44,-0.61,-3.25,32.65,1.93,36.55,12.15,49,2.073499384097439
4,Buy & Hold (^AXJO),asx300,full,4.24,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5601045479743991
5,Hybrid Balanced,asx300,full,2.31,4.24,-1.93,0.33,-0.12,-0.17,-6.99,29.29,1.34,76.32,33.02,198,1.3888635424870257
6,5LC (5-Level Conviction),asx300,full,1.91,4.24,-2.33,0.24,-0.19,-0.24,-7.91,32.8,1.24,77.85,31.01,186,0.7765665787331462
7,Conviction (Pure Technical),asx300,full,1.61,4.24,-2.63,0.23,-0.35,-0.5,-7.13,49.79,1.2,71.65,32.14,239,0.48397852644537237
8,High Conviction Only,asx300,full,-3.47,4.24,-7.71,-0.15,-0.96,-1.17,-23.84,21.92,0.49,63.3,21.76,73,-4.807133028295765
9,Qullamaggie Aggressive,asx300,full,-1.32,4.24,-5.56,-0.19,-3.11,-3.88,-6.92,32.61,0.47,32.64,6.11,46,-6.700213800111323
1,Buy & Hold (QQQ),nasdaq100,bear2022,-33.31,-33.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.586669926761429
2,Qullamaggie Aggressive,nasdaq100,bear2022,-0.4,-33.31,32.91,-0.23,-2.39,-2.82,-1.76,40.0,0.73,22.31,0.67,5,0.6609632310901035
3,Hybrid Balanced,nasdaq100,bear2022,-6.19,-33.31,27.12,-0.78,-1.35,-1.81,-7.91,15.15,0.41,41.92,5.42,33,0.28301443333204124
4,Turtle ATR-Based,nasdaq100,bear2022,-7.74,-33.31,25.57,-0.87,-1.37,-1.87,-8.88,18.92,0.45,49.62,6.07,37,-0.3145094198076224
5,Conviction (Pure Technical),nasdaq100,bear2022,-6.41,-33.31,26.9,-0.8,-1.64,-2.04,-7.98,30.0,0.48,47.31,5.3,40,-0.48405175389040755
6,5LC (5-Level Conviction),nasdaq100,bear2022,-9.84,-33.31,23.47,-0.92,-1.74,-2.06,-10.7,12.12,0.27,45.77,5.39,33,-1.6336722375939097
