entries,expected_position_size,avg_trade_pnl,win_rate,avg_win,avg_loss,total_trades,symbols,market,conviction_level
55,20%,,0.0,0,0,110,8,UK FTSE,1.0
40,25%,,0.0,0,0,110,8,UK FTSE,2.0
15,30%,,0.0,0,0,110,7,UK FTSE,3.0
4,35%,,0.0,0,0,110,4,UK FTSE,4.0
