timestamp,symbol,market_code,market_name,currency,action,price,quantity,value,reason
2022-04-14 10:30:00-04:00,ABBV,US_SP500,S&P 500,USD,sell,157.85000610351562,36.0,5682.6002197265625,MA exit
2022-04-14 10:30:00-04:00,ALV.DE,DE_DAX,DAX 40,EUR,buy,219.10000610351562,1.0,219.10000610351562,All conditions met. Trend gain: 30.40%
2022-04-14 10:30:00-04:00,ABNB,US_SP500,S&P 500,USD,buy,171.85000610351562,1.0,171.85000610351562,All conditions met. Trend gain: 45.80%
2022-04-19 10:30:00-04:00,QBE.AX,AU_ASX300,ASX 300,AUD,buy,12.260000228881836,32.0,392.32000732421875,All conditions met. Trend gain: 28.80%
2022-04-20 10:30:00-04:00,8306.T,JP_NIKKEI,Nikkei 225,JPY,buy,774.4000244140625,38.0,29427.200927734375,All conditions met. Trend gain: 26.42%
2022-04-20 10:30:00-04:00,7203.T,JP_NIKKEI,Nikkei 225,JPY,buy,2258.5,12.0,27102.0,All conditions met. Trend gain: 31.61%
2022-04-20 10:30:00-04:00,PME.AX,AU_ASX300,ASX 300,AUD,buy,51.61000061035156,5.0,258.0500030517578,All conditions met. Trend gain: 27.26%
2022-04-21 10:30:00-04:00,CFR.SW,CH_SMI,Swiss Market Index,CHF,buy,120.5,1.0,120.5,All conditions met. Trend gain: 39.35%
2022-04-21 10:30:00-04:00,AES,US_SP500,S&P 500,USD,buy,24.90999984741211,6.0,149.45999908447266,All conditions met. Trend gain: 34.21%
2022-04-21 10:30:00-04:00,4452.T,JP_NIKKEI,Nikkei 225,JPY,buy,5235.0,3.0,15705.0,All conditions met. Trend gain: 28.09%
2022-04-22 10:30:00-04:00,ABNB,US_SP500,S&P 500,USD,sell,157.83999633789062,1.0,157.83999633789062,MA exit
2022-04-22 10:30:00-04:00,AES,US_SP500,S&P 500,USD,sell,23.010000228881836,6.0,138.06000137329102,MA exit
2022-04-22 10:30:00-04:00,CVE.TO,CA_TSX,TSX 60,CAD,buy,21.90999984741211,9.0,197.18999862670898,All conditions met. Trend gain: 29.29%
