timestamp,symbol,action,price,quantity,value,reason,portfolio_value
2021-01-04 09:30:00-05:00,ANET,buy,18.160625457763672,1376.0,24989.020629882812,"Conviction 2 | LOW conviction: 45, trend: 100, vol: 0.6x",100000.0
2021-01-04 09:30:00-05:00,GOOGL,buy,87.63200378417969,228.0,19980.09686279297,"Conviction 1 | MINIMAL conviction: 25, trend: 80, vol: 0.8x",100000.0
2021-01-05 09:30:00-05:00,BX,buy,63.0,314.0,19782.0,"Conviction 1 | MINIMAL conviction: 30, trend: 80, vol: 1.4x",99006.04431152344
2021-01-05 09:30:00-05:00,XYZ,buy,221.16000366210938,111.0,24548.76040649414,"Conviction 2 | LOW conviction: 40, trend: 100, vol: 1.1x",99006.04431152344
2021-01-06 09:30:00-05:00,AVGO,buy,42.810001373291016,256.0,10959.3603515625,"Conviction 1 | MINIMAL conviction: 25, trend: 90, vol: 0.8x",99805.79261016846
2021-01-06 09:30:00-05:00,ACGL,buy,35.040000915527344,313.0,10967.520286560059,"Conviction 1 | MINIMAL conviction: 25, trend: 90, vol: 0.9x",99805.79261016846
2021-01-27 09:30:00-05:00,XYZ,sell,204.00999450683594,111.0,22645.10939025879,Stop Loss | P&L: -7.8%,101631.59544754028
2021-01-28 09:30:00-05:00,ACGL,sell,31.81999969482422,313.0,9959.65990447998,Stop Loss | P&L: -9.2%,100790.20803070068
2021-01-28 09:30:00-05:00,ADI,buy,147.47999572753906,78.0,11503.439666748047,"Conviction 1 | MINIMAL conviction: 35, trend: 70, vol: 2.2x",100790.20803070068
2021-01-28 09:30:00-05:00,GOOG,buy,91.53949737548828,126.0,11533.976669311523,"Conviction 1 | MINIMAL conviction: 30, trend: 80, vol: 1.6x",100790.20803070068
2021-06-08 10:30:00-04:00,BX,sell,94.73999786376953,314.0,29748.359329223633,HOME RUN TARGET | P&L: 50.4%,126412.37943267822
2021-06-09 10:30:00-04:00,CF,buy,55.560001373291016,456.0,25335.360626220703,"Conviction 1 | MINIMAL conviction: 25, trend: 90, vol: 0.7x",126692.25296783447
2021-06-09 10:30:00-04:00,SCHW,buy,75.12000274658203,372.0,27944.641021728516,"Conviction 2 | LOW conviction: 40, trend: 100, vol: 1.1x",126692.25296783447
2021-06-18 10:30:00-04:00,CF,sell,49.310001373291016,456.0,22485.360626220703,Stop Loss | P&L: -11.2%,123712.15872955324
2021-07-06 10:30:00-04:00,AVGO,sell,47.040000915527344,256.0,12042.240234375,Time Exit | P&L: 9.9%,126416.8933029175
