scan_date,symbol,conviction_level,ib_action,position_size_pct,current_price,stop_loss_price,profit_target_price,medium_term_gain_pct,gain_3m_pct,gain_6m_pct,gain_2w_pct,gain_4w_pct,current_atr_pct,recent_atr_2w_pct,recent_atr_4w_pct,atr_contraction_2w,atr_contraction_4w,best_atr_contraction,recent_range_pct,total_conviction_score,performance_points,atr_points,momentum_points,volume_points,volume,avg_volume_20d,fundamental_score,fundamental_grade,market_cap,pe_ratio,roe,conviction_reason
2025-09-11,STO.AX,4,BUY,30,7.760000228881836,7.139200210571289,10.86400032043457,31.53657715701428,31.53657715701428,29.380234340733537,-1.5935901562509125,-1.9603236281047987,1.3899443804715108,1.6654399956975836,1.6490778936681771,0.906480581174038,0.8975748698934388,0.8169380331289053,7.754013704157314,75,15,25,20,15,6991412,14544134.85,40,C,25202696192,16.166668,6.6589996,"CONSOLIDATION HIGH: 75, 3-6M: 31.5%, ATR contraction: 0.82, recent: 1.8%"
2025-09-11,TSLA,4,BUY,30,347.7900085449219,319.96680786132816,486.9060119628906,32.013661958615636,21.09258691974125,32.013661958615636,-0.5177338463941084,2.4780492489571815,3.3821702151337965,3.4557783440086713,3.4087575981657645,0.7507760838001509,0.7405607146684752,0.7405607146684752,13.935154318930799,71,15,26,20,10,71933500,73649395.0,45,C,1121779318784,208.25749,8.177,"CONSOLIDATION HIGH: 71, 3-6M: 32.0%, ATR contraction: 0.74, recent: 1.5%"
2025-09-11,MS,4,BUY,30,154.1199951171875,141.79039550781252,215.7679931640625,31.051265054230328,29.088932866817107,31.051265054230328,3.1731089030914816,4.3042777793669496,1.846890739463198,1.7326937966975475,1.7774045672420462,1.0009498205685132,1.0267785260439375,0.9929370751446928,9.572431480430389,70,15,25,15,15,4945000,4491935.0,80,A,246027911168,17.454134,14.127999999999998,"CONSOLIDATION HIGH: 70, 3-6M: 31.1%, ATR contraction: 0.99, recent: 3.7%"
2025-09-11,NFLX,4,BUY,30,1247.7099609375,1147.8931640625,1746.7939453125,37.661633468244226,7.887657608228693,37.661633468244226,1.9787462964854896,3.592542728260062,1.9676617374352678,2.1316646233026244,2.1660476126184296,0.9442319108531744,0.9594620344606151,0.9442319108531744,7.127149414758116,68,15,23,15,15,2699200,2574885.0,85,A,530184437760,53.18457,43.547999999999995,"CONSOLIDATION HIGH: 68, 3-6M: 37.7%, ATR contraction: 0.94, recent: 2.8%"
2025-09-11,C,4,BUY,30,97.16999816894531,89.39639831542969,136.03799743652343,39.687160379248866,39.667384508692734,39.687160379248866,0.3096886692034895,2.6624369809200576,2.099413259293243,1.9621719247563274,2.075923558854641,1.167816287891314,1.235517292781984,1.167816287891314,8.491394929784413,68,15,18,20,15,12237100,13228375.0,65,B,178880249856,14.353028,6.7589999999999995,"CONSOLIDATION HIGH: 68, 3-6M: 39.7%, ATR contraction: 1.17, recent: 1.5%"
2025-09-11,EXPE,4,BUY,30,215.49000549316406,198.25080505371093,301.6860076904297,33.761789108717146,33.761789108717146,17.571123881751483,1.73740993200866,2.9649774717793953,2.210716656786913,2.276077505661853,2.7786030816353176,0.9250668081337292,1.1293084165213831,0.9250668081337292,8.391156758722374,68,15,23,15,15,1075400,1498210.0,35,C,26659561472,26.538177,52.707,"CONSOLIDATION HIGH: 68, 3-6M: 33.8%, ATR contraction: 0.93, recent: 2.4%"
2025-09-11,LVS,4,BUY,30,54.5,50.14,76.3,44.78846187757375,44.78846187757375,21.438568065354314,-3.8800718401002743,0.312899251271781,2.0642191835655925,2.037614644901781,1.9602639236758614,0.9271639510317863,0.8919675018472357,0.8919675018472357,10.02653730822487,68,15,23,15,15,4945100,4404100.0,80,A,37411745792,27.525251,54.144999999999996,"CONSOLIDATION HIGH: 68, 3-6M: 44.8%, ATR contraction: 0.89, recent: 2.1%"
2025-09-11,ETN,4,BUY,30,362.25,333.27000000000004,507.15,31.834027976534184,21.64093720701521,31.834027976534184,3.0876511929342376,1.3315085444782104,2.06625155298759,1.888928026486863,2.1273122283166814,0.8231371413318262,0.9270176956363819,0.8231371413318262,7.71384252692664,68,15,23,15,15,3483200,1956710.0,65,B,141023920128,36.480362,20.732999999999997,"CONSOLIDATION HIGH: 68, 3-6M: 31.8%, ATR contraction: 0.82, recent: 2.2%"
2025-09-11,MIN.AX,4,BUY,30,35.90999984741211,33.03719985961914,50.27399978637695,73.14368487804511,73.14368487804511,64.87602715931256,-3.9839615445892207,-1.9923568624364285,4.533160011489163,4.55812202044591,4.8618073288169965,1.102471041252968,1.175923278080175,1.102471041252968,12.16295913186789,68,25,13,15,15,2082350,2435887.0,10,F,7025827840,0.0,-24.741,"CONSOLIDATION HIGH: 68, 3-6M: 73.1%, ATR contraction: 1.10, recent: 3.0%"
2025-09-11,TNE.AX,4,BUY,30,37.709999084472656,34.693199157714844,52.79399871826172,30.74500429018514,18.259953092952163,30.74500429018514,-5.654245852411588,-1.7712954310677542,2.8544917747078498,2.6619517284782903,2.5395416640473774,1.0518229875141378,1.0034548227972204,0.989739388931304,9.921812591092749,68,15,23,15,15,775924,900285.3,95,A,12678969344,91.97561,36.277,"CONSOLIDATION HIGH: 68, 3-6M: 30.7%, ATR contraction: 0.99, recent: 3.7%"
