timestamp,symbol,action,price,quantity,value,reason,portfolio_value,strategy
2020-01-02 09:30:00-05:00,BAC,buy,35.220001220703125,567.0,19969.740692138672,"GOOD: 60, 3-6M: 33.1%, ATR: 0.71",100000.0,consolidation_conviction
2020-01-02 09:30:00-05:00,NVDA,buy,5.882500171661377,2549.0,14994.49293756485,"FAIR: 40, 3-6M: 44.9%",100000.0,consolidation_conviction
2020-01-03 09:30:00-05:00,JPM,buy,141.08999633789062,141.0,19893.689483642578,"GOOD: 55, 3-6M: 35.0%, ATR: 0.83",99557.61450147629,consolidation_conviction
2020-01-03 09:30:00-05:00,AAPL,buy,75.0875015258789,265.0,19898.18790435791,"GOOD: 50, 3-6M: 59.6%, ATR: 0.99",99557.61450147629,consolidation_conviction
2020-01-06 09:30:00-05:00,TSLA,buy,29.534000396728516,501.0,14796.534198760986,"FAIR: 45, 3-6M: 106.9%",98702.12987852097,consolidation_conviction
2020-01-06 09:30:00-05:00,ABBV,buy,88.69999694824219,222.0,19691.399322509766,"GOOD: 60, 3-6M: 35.1%, ATR: 0.93",98702.12987852097,consolidation_conviction
2020-01-30 09:30:00-05:00,TSLA,sell,42.16133117675781,501.0,21122.826919555664,PROFIT TARGET | P&L: 42.8%,104710.13160610199,consolidation_conviction
2020-01-31 09:30:00-05:00,ABBV,sell,81.54000091552734,222.0,18101.88020324707,Stop Loss | P&L: -8.1%,105119.06871509552,consolidation_conviction
2020-01-31 09:30:00-05:00,TSLA,buy,42.72066879272461,292.0,12474.435287475586,"FAIR: 40, 3-6M: 165.6%",105119.06871509552,consolidation_conviction
2020-01-31 09:30:00-05:00,MA,buy,324.4599914550781,38.0,12329.479675292969,"GOOD: 55, 3-6M: 35.1%, ATR: 0.88",105119.06871509552,consolidation_conviction
2020-02-03 09:30:00-05:00,MSFT,buy,170.22999572753906,34.0,5787.819854736328,"GOOD: 50, 3-6M: 39.8%, ATR: 1.06",103683.51577758789,consolidation_conviction
2020-02-11 09:30:00-05:00,TSLA,sell,51.25266647338867,292.0,14965.778610229492,Trailing Stop | P&L: 20.0%,111970.03530263901,consolidation_conviction
2020-02-12 09:30:00-05:00,TSLA,buy,51.62533187866211,291.0,15022.971576690674,"FAIR: 35, 3-6M: 232.3%",111847.47624206543,consolidation_conviction
2020-02-25 09:30:00-05:00,NVDA,sell,6.90749979019165,2549.0,17607.216965198517,Trailing Stop | P&L: 17.4%,109094.88483285904,consolidation_conviction
