timestamp,symbol,action,price,quantity,value,reason,portfolio_value,market_regime,strategy
2015-01-02 09:30:00-05:00,ALD.AX,buy,34.439998626708984,435.0,14981.399402618408,"ASX FAIR: 43, 3-6M: 61.8%",100000.0,NORMAL,consolidation_conviction_asx300
2015-01-02 09:30:00-05:00,RMD.AX,buy,6.929999828338623,2886.0,19999.979504585266,"ASX GOOD: 45, 3-6M: 41.4%, ATR: 1.18",100000.0,NORMAL,consolidation_conviction_asx300
2015-01-05 09:30:00-05:00,ELD.AX,buy,2.3869690895080566,8440.0,20146.019115447998,"ASX GOOD: 50, 3-6M: 180.1%, ATR: 1.13",100736.23112678528,NORMAL,consolidation_conviction_asx300
2015-01-05 09:30:00-05:00,NEU.AX,buy,3.200000047683716,4722.0,15110.400225162506,"ASX FAIR: 30, 3-6M: 70.2%",100736.23112678528,NORMAL,consolidation_conviction_asx300
2015-01-06 09:30:00-05:00,TWE.AX,buy,4.590329170227051,3266.0,14992.015069961548,"ASX GOOD: 55, 3-6M: 31.1%, ATR: 1.14",99970.44163894653,WEAK,consolidation_conviction_asx300
2015-01-06 09:30:00-05:00,QAN.AX,buy,2.7795519828796387,5394.0,14992.903395652771,"ASX FAIR: 35, 3-6M: 145.1%",99970.44163894653,WEAK,consolidation_conviction_asx300
2015-01-07 09:30:00-05:00,COH.AX,buy,78.5,7.0,549.5,"ASX GOOD: 45, 3-6M: 38.0%, ATR: 1.25",100424.78825378418,WEAK,consolidation_conviction_asx300
2015-01-07 09:30:00-05:00,FPH.AX,buy,5.920000076293945,100.0,592.0000076293945,"ASX GOOD: 48, 3-6M: 52.6%, ATR: 1.31",100424.78825378418,WEAK,consolidation_conviction_asx300
2015-01-15 09:30:00-05:00,QAN.AX,sell,2.4600629806518555,5394.0,13269.579717636108,Stop Loss | P&L: -11.5%,104242.8260846138,WEAK,consolidation_conviction_asx300
2015-01-16 09:30:00-05:00,NST.AX,buy,1.975000023841858,6444.0,12726.900153636932,"ASX FAIR: 30, 3-6M: 80.4%",104242.8260846138,WEAK,consolidation_conviction_asx300
2015-01-16 09:30:00-05:00,NUF.AX,buy,4.864236831665039,2616.0,12724.843551635742,"ASX GOOD: 45, 3-6M: 34.0%, ATR: 1.01",104242.8260846138,WEAK,consolidation_conviction_asx300
