date,portfolio_value,cash,positions_count,position_values,total_return_percent
2022-01-03,100000.0,100000.0,0,{},0.0
2022-01-04,100000.0,100000.0,0,{},0.0
2022-01-05,100000.0,100000.0,0,{},0.0
2022-01-06,100000.0,100000.0,0,{},0.0
2022-01-07,100000.0,100000.0,0,{},0.0
2022-01-10,100000.0,100000.0,0,{},0.0
2022-01-11,100000.0,100000.0,0,{},0.0
2022-01-12,100000.0,100000.0,0,{},0.0
2022-01-13,100000.0,100000.0,0,{},0.0
2022-01-14,100000.0,100000.0,0,{},0.0
2022-01-18,100000.0,100000.0,0,{},0.0
2022-01-19,100000.0,100000.0,0,{},0.0
2022-01-20,100000.0,100000.0,0,{},0.0
2022-01-21,100000.0,100000.0,0,{},0.0
2022-01-24,100000.0,100000.0,0,{},0.0
2022-01-25,100000.0,100000.0,0,{},0.0
2022-01-26,100000.0,100000.0,0,{},0.0
2022-01-27,100000.0,100000.0,0,{},0.0
2022-01-28,100000.0,100000.0,0,{},0.0
2022-01-31,100000.0,100000.0,0,{},0.0
2022-02-01,100000.0,100000.0,0,{},0.0
2022-02-02,100000.0,100000.0,0,{},0.0
2022-02-03,100000.0,100000.0,0,{},0.0
2022-02-04,100000.0,100000.0,0,{},0.0
2022-02-07,100000.0,100000.0,0,{},0.0
2022-02-08,100000.0,100000.0,0,{},0.0
2022-02-09,100000.0,100000.0,0,{},0.0
2022-02-10,100000.0,100000.0,0,{},0.0
2022-02-11,100000.0,100000.0,0,{},0.0
2022-02-14,100000.0,100000.0,0,{},0.0
2022-02-15,100000.0,100000.0,0,{},0.0
2022-02-16,100000.0,100000.0,0,{},0.0
2022-02-17,100000.0,100000.0,0,{},0.0
2022-02-18,100000.0,100000.0,0,{},0.0
2022-02-22,100000.0,100000.0,0,{},0.0
2022-02-23,100000.0,100000.0,0,{},0.0
2022-02-24,100000.0,100000.0,0,{},0.0
2022-02-25,100000.0,100000.0,0,{},0.0
2022-02-28,100000.0,100000.0,0,{},0.0
2022-03-01,100000.0,100000.0,0,{},0.0
2022-03-02,100000.0,100000.0,0,{},0.0
2022-03-03,100000.0,100000.0,0,{},0.0
2022-03-04,100000.0,100000.0,0,{},0.0
2022-03-07,100000.0,100000.0,0,{},0.0
2022-03-08,100000.0,100000.0,0,{},0.0
2022-03-09,100000.0,100000.0,0,{},0.0
2022-03-10,100000.0,100000.0,0,{},0.0
2022-03-11,100000.0,100000.0,0,{},0.0
2022-03-14,100000.0,100000.0,0,{},0.0
2022-03-15,100000.0,100000.0,0,{},0.0
2022-03-16,100000.0,100000.0,0,{},0.0
2022-03-17,100000.0,100000.0,0,{},0.0
2022-03-18,100000.0,100000.0,0,{},0.0
2022-03-21,100000.0,100000.0,0,{},0.0
2022-03-22,100000.0,100000.0,0,{},0.0
2022-03-23,100000.0,100000.0,0,{},0.0
2022-03-24,100000.0,100000.0,0,{},0.0
2022-03-25,100000.0,100000.0,0,{},0.0
2022-03-28,100000.0,100000.0,0,{},0.0
2022-03-29,100000.0,100000.0,0,{},0.0
2022-03-30,100000.0,100000.0,0,{},0.0
2022-03-31,100000.0,100000.0,0,{},0.0
2022-04-01,100000.0,100000.0,0,{},0.0
2022-04-04,100000.0,100000.0,0,{},0.0
2022-04-05,100000.0,100000.0,0,{},0.0
2022-04-06,100000.0,100000.0,0,{},0.0
2022-04-07,100000.0,100000.0,0,{},0.0
2022-04-08,100000.0,100000.0,0,{},0.0
2022-04-11,100000.0,100000.0,0,{},0.0
2022-04-12,100000.0,100000.0,0,{},0.0
2022-04-13,100000.0,100000.0,0,{},0.0
2022-04-14,100000.0,100000.0,0,{},0.0
2022-04-18,100000.0,100000.0,0,{},0.0
2022-04-19,100000.0,100000.0,0,{},0.0
2022-04-20,100000.0,100000.0,0,{},0.0
2022-04-21,100000.0,100000.0,0,{},0.0
2022-04-22,100000.0,100000.0,0,{},0.0
2022-04-25,100000.0,100000.0,0,{},0.0
2022-04-26,100000.0,100000.0,0,{},0.0
2022-04-27,100000.0,100000.0,0,{},0.0
2022-04-28,100000.0,100000.0,0,{},0.0
2022-04-29,100000.0,100000.0,0,{},0.0
2022-05-02,100000.0,100000.0,0,{},0.0
2022-05-03,100000.0,100000.0,0,{},0.0
2022-05-04,100000.0,90006.06260299683,1,"{'AMCR': {'shares': 890, 'price': 11.229143142700195, 'value': 9993.937397003174, 'pnl_percent': 0.0}}",0.0
2022-05-05,99634.3693447113,81149.69973373413,2,"{'AMCR': {'shares': 890, 'price': 10.81832218170166, 'value': 9628.306741714478, 'pnl_percent': -3.6585245710898273}, 'ALB': {'shares': 39, 'price': 227.0862274169922, 'value': 8856.362869262695, 'pnl_percent': 0.0}}",-0.36563065528869565
2022-05-06,99985.17985153198,81149.69973373413,2,"{'AMCR': {'shares': 890, 'price': 10.963821411132812, 'value': 9757.801055908203, 'pnl_percent': -2.362795880288182}, 'ALB': {'shares': 39, 'price': 232.76100158691406, 'value': 9077.679061889648, 'pnl_percent': 2.4989512725936747}}",-0.014820148468019934
2022-05-09,99055.04461479187,81149.69973373413,2,"{'AMCR': {'shares': 890, 'price': 10.792645454406738, 'value': 9605.454454421997, 'pnl_percent': -3.8871860724049467}, 'ALB': {'shares': 39, 'price': 212.8177032470703, 'value': 8299.890426635742, 'pnl_percent': -6.283306712265279}}",-0.9449553852081349
2022-05-10,99009.09385490417,81149.69973373413,2,"{'AMCR': {'shares': 890, 'price': 10.749852180480957, 'value': 9567.368440628052, 'pnl_percent': -4.268277250796415}, 'ALB': {'shares': 39, 'price': 212.6160430908203, 'value': 8292.025680541992, 'pnl_percent': -6.3721100529803065}}",-0.9909061450958268
2022-05-11,98656.44894218445,89127.16651535034,1,"{'AMCR': {'shares': 890, 'price': 10.707058906555176, 'value': 9529.282426834106, 'pnl_percent': -4.649368429187883}}",-1.3435510578155507
2022-05-12,98702.15181922913,89127.16651535034,1,"{'AMCR': {'shares': 890, 'price': 10.758410453796387, 'value': 9574.985303878784, 'pnl_percent': -4.192062412258235}}",-1.2978481807708775
2022-05-13,98854.49926948547,89127.16651535034,1,"{'AMCR': {'shares': 890, 'price': 10.929587364196777, 'value': 9727.332754135132, 'pnl_percent': -2.6676637272911807}}",-1.145500730514526
2022-05-16,98983.9935836792,89127.16651535034,1,"{'AMCR': {'shares': 890, 'price': 11.07508659362793, 'value': 9856.827068328857, 'pnl_percent': -1.3719350364895355}}",-1.0160064163208027
2022-05-17,99281.06992340088,89127.16651535034,1,"{'AMCR': {'shares': 890, 'price': 11.408880233764648, 'value': 10153.903408050537, 'pnl_percent': 1.6006305092058248}}",-0.7189300765991224
2022-05-18,98824.02842140198,89127.16651535034,1,"{'AMCR': {'shares': 890, 'price': 10.895350456237793, 'value': 9696.861906051636, 'pnl_percent': -2.9725570528450596}}",-1.175971578598023
2022-05-19,98999.22900772095,89127.16651535034,1,"{'AMCR': {'shares': 890, 'price': 11.092205047607422, 'value': 9872.062492370605, 'pnl_percent': -1.219488373712585}}",-1.0007709922790542
2022-05-20,98976.37672042847,89127.16651535034,1,"{'AMCR': {'shares': 890, 'price': 11.0665283203125, 'value': 9849.210205078125, 'pnl_percent': -1.4481498750277044}}",-1.0236232795715283
2022-05-23,99067.7841720581,89127.16651535034,1,"{'AMCR': {'shares': 890, 'price': 11.169233322143555, 'value': 9940.617656707764, 'pnl_percent': -0.5335208554678283}}",-0.9322158279418957
2022-05-24,99090.84780311584,89127.16651535034,1,"{'AMCR': {'shares': 890, 'price': 11.195147514343262, 'value': 9963.681287765503, 'pnl_percent': -0.30274463442950816}}",-0.9091521968841554
2022-05-25,99098.53511428833,89127.16651535034,1,"{'AMCR': {'shares': 890, 'price': 11.203784942626953, 'value': 9971.368598937988, 'pnl_percent': -0.2258248893169279}}",-0.9014648857116669
2022-05-26,99198.48034477234,89127.16651535034,1,"{'AMCR': {'shares': 890, 'price': 11.316082954406738, 'value': 10071.313829421997, 'pnl_percent': 0.774233711350103}}",-0.801519655227656
2022-05-27,99359.92830848694,89127.16651535034,1,"{'AMCR': {'shares': 890, 'price': 11.497485160827637, 'value': 10232.761793136597, 'pnl_percent': 2.3896927371692245}}",-0.6400716915130666
