Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,69.0%
,,
Total Return,56%,2%
CAGR% (Annual Return),11.78%,0.43%
,,
Sharpe,0.38,-1.75
RoMaD,0.35,0.09
Corr to Benchmark,1.0,0.14
Prob. Sharpe Ratio,21.76%,5.04%
Smart Sharpe,0.35,-1.63
Sortino,0.53,-2.26
Smart Sortino,0.49,-2.09
Sortino/√2,0.37,-1.6
Smart Sortino/√2,0.34,-1.48
Omega,0.71,0.71
,,
Max Drawdown,-33.68%,-4.96%
Longest DD Days,708,631
Volatility (ann.),22.58%,2.64%
R^2,0.02,0.02
Information Ratio,-0.03,-0.03
Calmar,0.35,0.09
Skew,-0.57,-0.92
Kurtosis,16.34,18.65
,,
Expected Daily%,0.03%,0.0%
Expected Monthly%,0.91%,0.04%
Expected Yearly%,9.31%,0.35%
Daily Value-at-Risk,-1.91%,-0.23%
Expected Shortfall (cVaR),-1.91%,-0.23%
,,
MTD,0.0%,0.0%
3M,11.64%,1.01%
6M,8.05%,1.01%
YTD,0.0%,0.0%
1Y,26.21%,1.37%
3Y (ann.),10.05%,0.86%
5Y (ann.),11.78%,0.43%
10Y (ann.),11.78%,0.43%
All-time (ann.),11.78%,0.43%
,,
Best Day,9.06%,0.91%
Worst Day,-10.94%,-1.49%
Best Month,12.7%,2.18%
Worst Month,-12.44%,-1.99%
Best Year,28.77%,3.21%
Worst Year,-18.16%,-1.57%
,,
Avg. Drawdown,-2.09%,-0.65%
Avg. Drawdown Days,21,61
Recovery Factor,1.63,0.38
Ulcer Index,0.1,0.02
Serenity Index,0.29,-0.05
,,
Avg. Up Month,5.74%,0.66%
Avg. Down Month,-5.29%,-0.47%
Win Days,786.58,782.21
Loss Days,674.42,678.79
Win Days%,53.84%,53.54%
Win Month%,60.42%,45.83%
Win Quarter%,68.75%,56.25%
Win Year%,75.0%,50.0%
,,
Beta,-,0.02
Alpha,-,0.0
Correlation,-,14.01%
Treynor Ratio,-,-213.32%
