Metric,SPY,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,69.0%,68.0%
,,
Total Return,242%,152%
CAGR% (Annual Return),13.09%,9.68%
,,
Sharpe,0.55,0.46
RoMaD,0.39,0.59
Corr to Benchmark,1.0,0.19
Prob. Sharpe Ratio,47.85%,47.47%
Smart Sharpe,0.51,0.43
Sortino,0.77,0.63
Smart Sortino,0.71,0.58
Sortino/√2,0.54,0.45
Smart Sortino/√2,0.5,0.41
Omega,1.09,1.09
,,
Max Drawdown,-33.68%,-16.47%
Longest DD Days,708,537
Volatility (ann.),17.61%,12.84%
R^2,0.04,0.04
Information Ratio,-0.01,-0.01
Calmar,0.39,0.59
Skew,-0.61,-0.61
Kurtosis,19.77,9.99
,,
Expected Daily%,0.03%,0.03%
Expected Monthly%,1.03%,0.77%
Expected Yearly%,13.07%,9.67%
Daily Value-at-Risk,-1.48%,-1.08%
Expected Shortfall (cVaR),-1.48%,-1.08%
,,
MTD,-2.06%,1.28%
3M,3.27%,7.97%
6M,8.78%,3.3%
YTD,25.35%,16.96%
1Y,25.35%,16.96%
3Y (ann.),11.99%,7.05%
5Y (ann.),14.42%,12.06%
10Y (ann.),13.09%,9.68%
All-time (ann.),13.09%,9.68%
,,
Best Day,9.06%,5.58%
Worst Day,-10.94%,-4.99%
Best Month,12.7%,11.62%
Worst Month,-12.44%,-8.99%
Best Year,31.23%,34.1%
Worst Year,-18.16%,-14.89%
,,
Avg. Drawdown,-1.6%,-2.51%
Avg. Drawdown Days,17,40
Recovery Factor,4.11,6.11
Ulcer Index,0.07,0.07
Serenity Index,1.26,0.8
,,
Avg. Up Month,3.97%,3.21%
Avg. Down Month,-4.41%,-2.85%
Win Days,1997.64,2035.65
Loss Days,1651.36,1613.35
Win Days%,54.74%,55.79%
Win Month%,69.17%,55.83%
Win Quarter%,80.0%,70.0%
Win Year%,80.0%,80.0%
,,
Beta,-,0.14
Alpha,-,0.08
Correlation,-,18.77%
Treynor Ratio,-,1077.53%
