Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,68.0%
,,
Total Return,56%,-3%
CAGR% (Annual Return),11.78%,-0.73%
,,
Sharpe,0.38,-2.28
RoMaD,0.35,-0.11
Corr to Benchmark,1.0,0.14
Prob. Sharpe Ratio,21.76%,0.49%
Smart Sharpe,0.37,-2.23
Sortino,0.53,-2.73
Smart Sortino,0.52,-2.67
Sortino/√2,0.37,-1.93
Smart Sortino/√2,0.36,-1.89
Omega,0.65,0.65
,,
Max Drawdown,-33.68%,-6.35%
Longest DD Days,708,1413
Volatility (ann.),22.58%,2.54%
R^2,0.02,0.02
Information Ratio,-0.03,-0.03
Calmar,0.35,-0.11
Skew,-0.57,-2.12
Kurtosis,16.34,21.1
,,
Expected Daily%,0.03%,-0.0%
Expected Monthly%,0.91%,-0.06%
Expected Yearly%,9.31%,-0.58%
Daily Value-at-Risk,-1.91%,-0.22%
Expected Shortfall (cVaR),-1.91%,-0.22%
,,
MTD,0.0%,0.0%
3M,11.64%,0.61%
6M,8.05%,0.59%
YTD,0.0%,0.0%
1Y,26.21%,0.97%
3Y (ann.),10.05%,0.18%
5Y (ann.),11.78%,-0.73%
10Y (ann.),11.78%,-0.73%
All-time (ann.),11.78%,-0.73%
,,
Best Day,9.06%,0.8%
Worst Day,-10.94%,-1.46%
Best Month,12.7%,1.75%
Worst Month,-12.44%,-2.15%
Best Year,28.77%,1.38%
Worst Year,-18.16%,-3.32%
,,
Avg. Drawdown,-2.09%,-1.22%
Avg. Drawdown Days,21,240
Recovery Factor,1.63,0.44
Ulcer Index,0.1,0.04
Serenity Index,0.29,-0.04
,,
Avg. Up Month,4.9%,0.63%
Avg. Down Month,-4.98%,-0.62%
Win Days,786.58,765.92
Loss Days,674.42,695.08
Win Days%,53.84%,52.42%
Win Month%,60.42%,43.75%
Win Quarter%,68.75%,50.0%
Win Year%,75.0%,50.0%
,,
Beta,-,0.02
Alpha,-,-0.01
Correlation,-,13.78%
Treynor Ratio,-,-522.33%
