Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,67.0%
,,
Total Return,57%,51%
CAGR% (Annual Return),12.01%,10.95%
,,
Sharpe,0.39,0.43
RoMaD,0.36,0.67
Corr to Benchmark,1.0,0.18
Prob. Sharpe Ratio,22.33%,32.11%
Smart Sharpe,0.35,0.38
Sortino,0.54,0.59
Smart Sortino,0.48,0.53
Sortino/√2,0.38,0.42
Smart Sortino/√2,0.34,0.38
Omega,1.08,1.08
,,
Max Drawdown,-33.68%,-16.31%
Longest DD Days,708,532
Volatility (ann.),22.6%,15.03%
R^2,0.03,0.03
Information Ratio,-0.01,-0.01
Calmar,0.36,0.67
Skew,-0.57,-0.34
Kurtosis,16.31,8.94
,,
Expected Daily%,0.03%,0.03%
Expected Monthly%,0.93%,0.85%
Expected Yearly%,9.47%,8.64%
Daily Value-at-Risk,-1.91%,-1.26%
Expected Shortfall (cVaR),-1.91%,-1.26%
,,
MTD,0.0%,0.0%
3M,11.64%,6.92%
6M,8.05%,-1.89%
YTD,0.0%,0.0%
1Y,26.21%,13.82%
3Y (ann.),10.05%,5.56%
5Y (ann.),12.01%,10.95%
10Y (ann.),12.01%,10.95%
All-time (ann.),12.01%,10.95%
,,
Best Day,9.06%,5.59%
Worst Day,-10.94%,-4.89%
Best Month,12.7%,11.61%
Worst Month,-12.44%,-8.94%
Best Year,28.77%,29.38%
Worst Year,-18.16%,-14.74%
,,
Avg. Drawdown,-2.09%,-2.93%
Avg. Drawdown Days,21,38
Recovery Factor,1.65,2.82
Ulcer Index,0.1,0.08
Serenity Index,0.3,0.25
,,
Avg. Up Month,5.24%,3.77%
Avg. Down Month,-5.41%,-3.31%
Win Days,785.75,811.33
Loss Days,672.25,646.67
Win Days%,53.89%,55.65%
Win Month%,60.42%,58.33%
Win Quarter%,68.75%,62.5%
Win Year%,75.0%,75.0%
,,
Beta,-,0.12
Alpha,-,0.1
Correlation,-,17.69%
Treynor Ratio,-,391.91%
