Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,0.0%
,,
Total Return,56%,0%
CAGR% (Annual Return),11.78%,0.0%
,,
Sharpe,0.38,-
RoMaD,0.35,-
Corr to Benchmark,1.0,-
Prob. Sharpe Ratio,21.76%,-
Smart Sharpe,-,-
Sortino,0.53,-19.1
Smart Sortino,-,-
Sortino/√2,0.37,-13.51
Smart Sortino/√2,-,-
Omega,0.0,0.0
,,
Max Drawdown,-33.68%,-
Longest DD Days,-,-
Volatility (ann.),22.58%,0.0%
R^2,0.0,0.0
Information Ratio,-0.03,-0.03
Calmar,0.35,-
Skew,-0.57,0.0
Kurtosis,16.34,0.0
,,
Expected Daily%,0.03%,0.0%
Expected Monthly%,0.91%,0.0%
Expected Yearly%,9.31%,0.0%
Daily Value-at-Risk,-1.91%,-
Expected Shortfall (cVaR),-1.91%,-
,,
MTD,0.0%,0.0%
3M,11.64%,0.0%
6M,8.05%,0.0%
YTD,0.0%,0.0%
1Y,26.21%,0.0%
3Y (ann.),10.05%,0.0%
5Y (ann.),11.78%,0.0%
10Y (ann.),11.78%,0.0%
All-time (ann.),11.78%,0.0%
,,
Best Day,9.06%,0.0%
Worst Day,-10.94%,0.0%
Best Month,12.7%,0.0%
Worst Month,-12.44%,0.0%
Best Year,28.77%,0.0%
Worst Year,-18.16%,0.0%
,,
Avg. Drawdown,-2.09%,-
Avg. Drawdown Days,-,-
Recovery Factor,1.63,-
Ulcer Index,0.1,0.0
Serenity Index,0.29,-
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,786.58,0.0
Loss Days,674.42,1461.0
Win Days%,53.84%,0.0%
Win Month%,60.42%,0.0%
Win Quarter%,68.75%,0.0%
Win Year%,75.0%,0.0%
,,
Beta,-,0.0
Alpha,-,0.0
Correlation,-,-
Treynor Ratio,-,0%
