Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,50.0%
,,
Total Return,102%,21%
CAGR% (Annual Return),13.04%,3.45%
,,
Sharpe,0.45,-0.19
RoMaD,0.39,0.25
Corr to Benchmark,1.0,0.1
Prob. Sharpe Ratio,24.18%,11.19%
Smart Sharpe,0.42,-0.18
Sortino,0.63,-0.27
Smart Sortino,0.58,-0.25
Sortino/√2,0.44,-0.19
Smart Sortino/√2,0.41,-0.18
Omega,0.96,0.96
,,
Max Drawdown,-33.68%,-13.66%
Longest DD Days,708,888
Volatility (ann.),20.36%,7.48%
R^2,0.01,0.01
Information Ratio,-0.03,-0.03
Calmar,0.39,0.25
Skew,-0.57,-0.15
Kurtosis,18.09,12.1
,,
Expected Daily%,0.03%,0.01%
Expected Monthly%,1.01%,0.28%
Expected Yearly%,10.56%,2.82%
Daily Value-at-Risk,-1.71%,-0.63%
Expected Shortfall (cVaR),-1.71%,-0.63%
,,
MTD,0.0%,0.0%
3M,11.64%,0.01%
6M,8.05%,-1.31%
YTD,0.0%,0.0%
1Y,26.21%,0.11%
3Y (ann.),10.05%,1.87%
5Y (ann.),14.11%,0.53%
10Y (ann.),13.04%,3.45%
All-time (ann.),13.04%,3.45%
,,
Best Day,9.06%,2.73%
Worst Day,-10.94%,-2.54%
Best Month,12.7%,8.95%
Worst Month,-12.44%,-3.41%
Best Year,31.23%,18.34%
Worst Year,-18.16%,-6.31%
,,
Avg. Drawdown,-1.99%,-2.47%
Avg. Drawdown Days,20,96
Recovery Factor,2.44,1.54
Ulcer Index,0.09,0.07
Serenity Index,0.53,0.08
,,
Avg. Up Month,3.54%,1.98%
Avg. Down Month,-5.26%,-1.62%
Win Days,1145.77,1115.18
Loss Days,949.23,979.82
Win Days%,54.69%,53.23%
Win Month%,66.67%,50.88%
Win Quarter%,73.91%,40.91%
Win Year%,66.67%,66.67%
,,
Beta,-,0.04
Alpha,-,0.03
Correlation,-,9.84%
Treynor Ratio,-,449.27%
