Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,48.0%
,,
Total Return,57%,-2%
CAGR% (Annual Return),12.01%,-0.56%
,,
Sharpe,0.39,-1.39
RoMaD,0.36,-0.08
Corr to Benchmark,1.0,0.09
Prob. Sharpe Ratio,22.33%,1.24%
Smart Sharpe,0.36,-1.3
Sortino,0.54,-1.8
Smart Sortino,0.5,-1.68
Sortino/√2,0.38,-1.27
Smart Sortino/√2,0.36,-1.19
Omega,0.73,0.73
,,
Max Drawdown,-33.68%,-7.04%
Longest DD Days,708,1216
Volatility (ann.),22.6%,4.02%
R^2,0.01,0.01
Information Ratio,-0.03,-0.03
Calmar,0.36,-0.08
Skew,-0.57,-1.51
Kurtosis,16.31,30.9
,,
Expected Daily%,0.03%,-0.0%
Expected Monthly%,0.93%,-0.05%
Expected Yearly%,9.47%,-0.45%
Daily Value-at-Risk,-1.91%,-0.35%
Expected Shortfall (cVaR),-1.91%,-0.35%
,,
MTD,0.0%,0.0%
3M,11.64%,-0.5%
6M,8.05%,-2.45%
YTD,0.0%,0.0%
1Y,26.21%,-4.36%
3Y (ann.),10.05%,0.24%
5Y (ann.),12.01%,-0.56%
10Y (ann.),12.01%,-0.56%
All-time (ann.),12.01%,-0.56%
,,
Best Day,9.06%,1.58%
Worst Day,-10.94%,-2.56%
Best Month,12.7%,2.95%
Worst Month,-12.44%,-4.57%
Best Year,28.77%,5.08%
Worst Year,-18.16%,-4.36%
,,
Avg. Drawdown,-2.09%,-2.22%
Avg. Drawdown Days,21,289
Recovery Factor,1.65,0.27
Ulcer Index,0.1,0.04
Serenity Index,0.3,-0.06
,,
Avg. Up Month,4.37%,0.91%
Avg. Down Month,-3.93%,-1.04%
Win Days,785.75,756.23
Loss Days,672.25,701.77
Win Days%,53.89%,51.87%
Win Month%,60.42%,47.62%
Win Quarter%,68.75%,33.33%
Win Year%,75.0%,50.0%
,,
Beta,-,0.02
Alpha,-,-0.01
Correlation,-,9.48%
Treynor Ratio,-,-441.18%
