scan_date,symbol,conviction_level,ib_action,position_size_pct,current_price,stop_loss_price,profit_target_price,medium_term_gain_pct,gain_3m_pct,gain_6m_pct,gain_2w_pct,gain_4w_pct,current_atr_pct,recent_atr_2w_pct,recent_atr_4w_pct,atr_contraction_2w,atr_contraction_4w,best_atr_contraction,recent_range_pct,total_conviction_score,performance_points,atr_points,momentum_points,volume_points,volume,avg_volume_20d,fundamental_score,fundamental_grade,market_cap,pe_ratio,roe,conviction_reason
2025-09-15,MIN.AX,4,BUY,30,38.65999984741211,35.567199859619144,54.12399978637695,83.13594850610603,69.48707037514563,83.13594850610603,5.082899932996532,3.896804081203342,4.0259427325442605,4.145204530685315,4.430844191436909,1.0628072097263552,1.1360436178657611,1.0628072097263552,13.305981997803528,68,25,13,15,15,1706500,2468060.95,10,F,7563868160,0.0,-24.741,"CONSOLIDATION HIGH: 68, 3-6M: 83.1%, ATR contraction: 1.06, recent: 4.5%"
2025-09-15,LYC.AX,4,BUY,30,14.300000190734863,13.156000175476075,20.020000267028806,102.54957941408871,86.92810473812199,102.54957941408871,-0.34843337564944843,-5.235254830117042,3.3666336837630677,3.850899205781755,3.9599153969897003,1.602084872588236,1.6474387448836236,1.501229569382703,13.80597338906966,68,30,8,15,15,3620159,6300125.75,50,B,14195939328,1430.0,0.348,"CONSOLIDATION HIGH: 68, 3-6M: 102.5%, ATR contraction: 1.50, recent: 2.8%"
2025-09-15,TNE.AX,4,BUY,30,37.529998779296875,34.52759887695313,52.541998291015624,38.25645969390605,18.88656619059743,38.25645969390605,-3.2482652912908305,-3.620955051716379,2.8738926182214954,2.7607451883787633,2.600873015518069,1.0787825757342637,1.0163112853185865,0.9927479711791445,9.921812591092749,68,15,23,15,15,810812,876939.6,95,A,12286157824,91.53658,36.277,"CONSOLIDATION HIGH: 68, 3-6M: 38.3%, ATR contraction: 0.99, recent: 3.4%"
2025-09-15,WBC.AX,4,BUY,30,38.72999954223633,35.631599578857426,54.221999359130855,31.954077216404,24.613898446940752,31.954077216404,0.41482978656486313,3.805945099647845,1.7216250562703383,1.8516469830058335,1.919562236643807,1.234397227378205,1.279672812604127,1.1866727813359295,6.392201320141555,65,15,20,15,15,2907211,4788783.7,40,C,132394246144,19.760204,0.0,"CONSOLIDATION HIGH: 65, 3-6M: 32.0%, ATR contraction: 1.19, recent: 2.1%"
2025-09-15,BEN.AX,3,BUY,25,12.789999961853027,11.766799964904786,17.905999946594235,30.26256898591435,11.637783890490594,30.26256898591435,0.550312054675528,1.6855819587510146,1.9425284985471567,2.3684851269281673,2.1889026527920805,1.5917964795801824,1.471103828030848,1.2879025973861458,9.016847820820551,63,15,13,20,15,998567,1435425.3,15,D,7211858944,0.0,-1.417,"CONSOLIDATION GOOD: 63, 3-6M: 30.3%, ATR contraction: 1.29, recent: 1.1%"
2025-09-15,SCG.AX,3,BUY,25,4.199999809265137,3.8639998245239258,5.879999732971191,30.25506028300333,17.44308258494469,30.25506028300333,3.448272622135784,8.527130063684263,1.3860521491846425,1.539114491623609,1.5488139752189969,1.062975109955198,1.0696739680956602,0.9935812404614153,10.62992692626883,63,15,23,10,15,6375164,9700096.0,45,C,21908963328,15.555554,7.881,"CONSOLIDATION GOOD: 63, 3-6M: 30.3%, ATR contraction: 0.99, recent: 6.0%"
2025-09-15,CHC.AX,3,BUY,25,23.219999313354492,21.362399368286134,32.50799903869629,45.14428804888422,30.412505922622767,45.14428804888422,1.1324052232112969,4.125561021387791,2.316352004005174,2.358803713812316,2.234987811051472,1.3047197701587017,1.2362337595397723,1.171349501851402,10.401462950318518,61,15,16,15,15,811240,1110812.55,55,B,10982989824,34.147057,12.3059995,"CONSOLIDATION GOOD: 61, 3-6M: 45.1%, ATR contraction: 1.17, recent: 2.6%"
2025-09-15,NAB.AX,3,BUY,25,43.790000915527344,40.28680084228516,61.306001281738276,34.31156769484198,22.695440180702708,34.31156769484198,1.9320340985637507,8.016773375935493,1.6898817325647006,1.8601757361663684,1.8850925422166,1.2999154803728366,1.317327674971663,1.2243043594544398,9.113451128407778,60,15,15,15,15,2883344,4414660.35,30,C,133773631488,19.549107,0.0,"CONSOLIDATION GOOD: 60, 3-6M: 34.3%, ATR contraction: 1.22, recent: 5.0%"
2025-09-15,AMP.AX,3,BUY,25,1.7999999523162842,1.6559999561309815,2.5199999332427976,45.06544784549455,39.50738568534191,45.06544784549455,8.108107721096358,2.857140132359093,2.5694451369411073,2.2562836438055593,2.765856500222665,1.1168439368903347,1.369078781855766,1.1168439368903347,11.384611863356376,56,15,16,10,15,8070660,5432732.7,10,F,4557131776,25.714285,4.642,"CONSOLIDATION GOOD: 56, 3-6M: 45.1%, ATR contraction: 1.12, recent: 5.5%"
2025-09-15,NEU.AX,3,BUY,25,19.350000381469727,17.80200035095215,27.090000534057616,74.32432177004695,60.981694214259676,74.32432177004695,-1.3258552819452207,12.565443748140769,4.551497010954518,4.106867368836622,3.931249074224813,1.3200517056639192,1.2636035157108607,1.2355721792068182,24.925019001974967,56,25,6,10,15,314457,654909.45,90,A,2443711488,16.973684,54.96,"CONSOLIDATION GOOD: 56, 3-6M: 74.3%, ATR contraction: 1.24, recent: 6.9%"
