Symbol
NVDA
AAPL
MSFT
AMZN
GOOGL
AVGO
GOOG
META
TSLA
BRKB
JPM
LLY
V
XOM
JNJ
WMT
MA
PLTR
ABBV
NFLX
COST
BAC
AMD
HD
PG
ORCL
GE
MU
CSCO
UNH
WFC
CVX
IBM
KO
CAT
GS
MRK
CRM
PM
RTX
MCD
TMO
ABT
LRCX
MS
C
AMAT
DIS
ISRG
AXP
LIN
PEP
APP
INTU
QCOM
GEV
AMGN
T
BKNG
TJX
VZ
BA
UBER
SCHW
NEE
ACN
INTC
APH
SPGI
KLAC
NOW
TXN
BLK
COF
GILD
ADBE
DHR
BSX
PFE
UNP
ANET
LOW
ADI
PGR
WELL
PANW
HON
ETN
MDT
SYK
PLD
CRWD
DE
COP
VRTX
CB
BX
PH
CEG
NEM
BMY
CMCSA
ADP
MCK
CVS
CME
LMT
TMUS
MO
SBUX
SO
ICE
MMC
DUK
HOOD
KKR
SNPS
TT
GD
CDNS
MMM
DASH
USB
CRH
HWM
PNC
AMT
WM
BK
MCO
REGN
ELV
ORLY
NOC
GM
AON
EMR
HCA
EQIX
SHW
TDG
JCI
CI
FCX
UPS
WMB
NKE
WBD
RCL
CMI
MDLZ
MAR
GLW
APO
CSX
TEL
HLT
ECL
AJG
ITW
COR
TRV
NSC
CTAS
XTSLA
CL
PWR
MSI
ADSK
TFC
FDX
AEP
STX
SPG
CVNA
WDC
ROST
PCAR
ABNB
SRE
SLB
EOG
AZO
BDX
ZTS
APD
NXPI
PYPL
LHX
MNST
ALL
IDXX
KMI
COIN
O
AFL
PSX
URI
VST
F
FTNT
DLR
D
VLO
EW
MPC
CAH
CMG
ROP
CBRE
AME
WDAY
FAST
OKE
AIG
EA
AMP
CTVA
BKR
AXON
DAL
TTWO
DDOG
GWW
EXC
NDAQ
TGT
MPWR
ROK
MET
XEL
MSCI
RSG
CARR
YUM
ETR
FICO
PSA
CTSH
PEG
DHI
TRGP
PRU
EBAY
A
CCI
IQV
HIG
DELL
KDP
KR
VMC
MLM
GEHC
NUE
WAB
VTR
PAYX
STT
FISV
UAL
ED
XYZ
SYY
RMD
KEYS
PCG
CPRT
MCHP
ACGL
FIS
WEC
OTIS
EQT
KMB
ARES
GRMN
XYL
CCL
SNDK
EXPE
FIX
KVUE
WTW
HPE
FITB
MTB
VRSK
HUM
TER
NRG
SYF
VICI
DG
OXY
ODFL
IR
IBKR
MTD
CSGP
RJF
FSLR
FANG
ADM
EXR
EME
HBAN
ULTA
AEE
DOV
ATO
EFX
HSY
DTE
EXE
CBOE
TSCO
TPR
BR
AVB
DXCM
NTRS
PPL
EL
BIIB
CINF
OMC
AWK
ES
CFG
CNP
VLTO
STE
GIS
JBL
IRM
TDY
HAL
RF
HUBB
BRO
DLTR
STLD
LDOS
FE
PPG
EIX
DVN
PHM
TROW
WAT
LULU
LYV
LEN
WSM
EQR
ON
NTAP
DRI
CMS
HPQ
CPAY
LUV
WRB
PTC
IP
LH
KHC
NVR
SBAC
VRSN
CHD
SW
CTRA
PODD
EXPD
NI
WST
LVS
STZ
TYL
DGX
AMCR
KEY
CNC
CHRW
TRMB
GPN
PKG
CHTR
IT
SNA
L
CDW
ZBH
PFG
FTV
ROL
Q
IFF
PNR
MKC
WY
GPC
GDDY
DD
ESS
TPL
EVRG
LNT
TTD
TSN
ALB
DOW
APTV
HOLX
COO
MAA
INCY
J
LII
INVH
TXT
GEN
FOXA
DECK
FFIV
SMCI
JBHT
VTRS
EG
BALL
TKO
AVY
RL
ALLE
KIM
HII
IEX
JKHY
MAS
BBY
DPZ
NDSN
AKAM
ZBRA
UHS
CLX
BG
AIZ
CF
CPT
SOLV
IVZ
HST
SWK
REG
BLDR
EPAM
GL
DOC
LYB
UDR
DAY
RVTY
HAS
FDS
PNW
MRNA
ALGN
SJM
AES
NCLH
BXP
WYNN
CRL
NWSA
BAX
FOX
SWKS
TECH
MOH
APA
CAG
GNRC
FRT
TAP
PAYC
ARE
AOS
MOS
HSIC
SGAFT
MTCH
POOL
MGM
ERIE
BEN
HRL
LW
CPB
BFB
PSKY
DVA
NWS
ESH6
