symbol,source,sector,industry,liquidity_tier,liquidity_score,ddv,fundamental_score,fundamental_percentage,fundamental_grade,market_cap_score,price_score,volume_score,roe_score,profit_margin_score,revenue_growth_score,earnings_growth_score,current_ratio_score,debt_to_equity_score,institutional_score,market_cap,price,volume,roe,profit_margin,gross_margin,operating_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,current_ratio,debt_to_equity,quick_ratio,institutional_ownership,insider_ownership,pe_ratio,peg_ratio,currency
SEIC,IJH,Financial Services,Asset Management,TIER 3 - ADEQUATE,60.8757336843352,50817404.8,87.53,58.35333333333333,C,10,5.0,5.0,20.0,15.0,3.85,3.6799999999999997,15.0,10,0,10139726848,82.02,631991,29.283002000000003,31.094,78.76100000000001,27.650000000000002,7.7,9.2,6.0,5.727,0.01088,5.489,0,0,15.104972,0,USD
HIG,IVV,Financial Services,Insurance - Diversified,TIER 3 - ADEQUATE,68.34652347609111,208809488.3333333,87.5,58.333333333333336,C,10,5.0,5.0,15.0,8.0,3.5000000000000004,25.0,8.0,8,0,38432460800,137.8,1511496,20.069,12.745000000000001,36.433,18.916,7.000000000000001,47.3,40.8,1.785,0.23696,1.05,0,0,11.276596,0,USD
TLN,IJH,Utilities,Utilities - Independent Power Producers,TIER 1 - EXCELLENT,96.25795501767104,325217431.3333333,87.46940013333334,58.31293342222222,C,10,5.0,5.0,3.611000133333333,3.8584000000000005,25.0,20.0,15.0,0,0,17125624832,374.84,870772,10.8330004,9.646,33.717000000000006,34.544998,38.7,34.5,23.200000000000003,2.293,2.04765,1.484,0,0,78.747894,0,USD
FAST,IVV,Industrials,Industrial Distribution,TIER 3 - ADEQUATE,68.84756925665963,279163475.51666665,87.45,58.300000000000004,C,10,5.0,5.0,20.0,12.0,5.8500000000000005,4.6000000000000005,15.0,10,0,46070673408,40.13,6894590,32.742,15.336001,45.147,20.696,11.700000000000001,11.5,12.5,4.259,0.13283,1.964,0,0,37.858494,0,USD
DECK,IVV,Consumer Cyclical,Footwear & Accessories,TIER 1 - EXCELLENT,90.3416395992671,412939035.1333333,87.31,58.20666666666667,C,10,5.0,5.0,20.0,12.0,4.55,5.76,15.0,10,0,15378755584,103.67,3961214,43.312,19.364001000000002,57.665,22.82,9.1,14.399999999999999,10.7,3.067,0.1422,2.024,0,0,15.4041605,0,USD
CNX,IJH,Energy,Oil & Gas E&P,TIER 3 - ADEQUATE,68.19588352130364,71056921.9,87.23133333333334,58.15422222222223,C,10,5.0,5.0,2.3273333333333333,12.0,25.0,25.0,0.904,2,0,5307449344,36.77,1909156,6.981999999999999,15.14,71.489996,53.599,34.699999999999996,225.0,208.4,0.339,0.67511,0.19,0,0,22.28485,0,USD
ENPH,IJR,Technology,Solar,TIER 2 - GOOD,78.798513408,226532284.5,86.9,57.93333333333334,C,10,5.0,5.0,15.0,8.0,3.9000000000000004,25.0,15.0,0,0,4194053632,32.05,7045646,20.305,12.931999999999999,31.934,16.433,7.8,51.7,45.6,2.042,1.23979,1.518,0,0,21.952053,0,USD
MRK,IVV,Healthcare,Drug Manufacturers - General,TIER 3 - ADEQUATE,69.27744894808436,1385124409.9333334,86.85,57.9,C,5,5.0,5.0,20.0,15.0,1.85,25.0,8.0,2,0,262916669440,105.26,13244875,39.485002,29.631999999999998,77.852,40.802,3.6999999999999997,87.0,83.2,1.661,0.79708,1.09,0,0,13.923281,0,USD
CHH,IJH,Consumer Cyclical,Lodging,TIER 3 - ADEQUATE,62.210380076775415,62781420.53333334,86.81266666666667,57.87511111111111,C,10,5.0,5.0,20.0,15.0,4.25,25.0,2.5626666666666664,0,0,4407929344,95.26,654741,1425.042,46.615002,89.25699999999999,51.784,8.5,73.9,70.3,0.961,13.54231,0.66,0,0,11.745994,0,USD
ACMR,IJR,Technology,Semiconductor Equipment & Materials,TIER 3 - ADEQUATE,64.34894919473594,48711676.5,86.79233333333333,57.861555555555555,C,10,5.0,5.0,3.312333333333333,8.0,25.0,5.48,15.0,10,0,2559376128,39.45,1256824,9.937,13.303,46.683,10.746,32.0,13.700000000000001,16.1,3.479,0.15757,2.445,0,0,22.936047,0,USD
PRIM,IJR,Industrials,Engineering & Construction,TIER 1 - EXCELLENT,91.16615691336192,125797062.1,86.68373333333334,57.78915555555556,C,10,5.0,5.0,10.0,1.4864,25.0,25.0,3.1973333333333334,2,0,6707576320,124.14,995579,18.563999,3.7159999999999997,11.03,6.336,32.1,61.7,61.9,1.199,0.59084,1.111,0,0,24.582178,0,USD
FSS,IJR,Industrials,Pollution & Treatment Controls,TIER 3 - ADEQUATE,63.293362464956,54349475.98333333,86.5,57.666666666666664,C,10,5.0,5.0,10.0,8.0,8.5,15.0,15.0,10,0,6603203072,108.59,501493,19.084999,11.472,28.924,17.117001000000002,17.0,27.6,26.3,2.605,0.18393,1.173,0,0,28.4267,0,USD
IRDM,IJR,Communication Services,Telecom Services,TIER 3 - ADEQUATE,67.7020325884381,45352327.9,86.35,57.56666666666666,C,10,5.0,5.0,15.0,8.0,3.35,25.0,15.0,0,0,1844259840,17.38,2623522,22.589001,14.437,71.29900500000001,30.883,6.7,68.10000000000001,51.9,2.673,4.017440000000001,1.773,0,0,15.38053,0,USD
PLAB,IJR,Technology,Semiconductor Equipment & Materials,TIER 3 - ADEQUATE,61.808473335425376,37620000.0,86.12033333333333,57.413555555555554,C,10,5.0,5.0,4.120333333333334,12.0,0.0,25.0,15.0,10,0,1890068480,32.0,1184569,12.361,16.061,35.303003,24.149,-3.1,98.4,82.5,5.366,0.00373,4.888,0,0,14.035088,0,USD
ADMA,IJR,Healthcare,Biotechnology,TIER 3 - ADEQUATE,66.08751034786613,58126319.99999999,86.0,57.333333333333336,C,10,5.0,5.0,20.0,15.0,6.0,0.0,15.0,10,0,4352624128,18.24,3204738,63.174,42.870000000000005,54.708,38.005,12.0,0.0,1.4000000000000001,7.128,0.19277999999999998,3.524,0,0,21.209301,0,USD
BYD,IJH,Consumer Cyclical,Resorts & Casinos,TIER 3 - ADEQUATE,66.00930527626203,77573230.26666667,85.62066666666666,57.080444444444446,C,10,5.0,5.0,20.0,15.0,2.25,25.0,1.3706666666666667,2,0,6834901504,85.24,905954,87.022,46.019,60.534,20.587999,4.5,1147.6000000000001,998.1999999999999,0.514,0.9626399999999999,0.417,0,0,3.7935026,0,USD
ZWS,IJR,Industrials,Pollution & Treatment Controls,TIER 3 - ADEQUATE,57.586210092820565,37748950.2,85.46866666666666,56.979111111111116,C,10,5.0,5.0,3.9186666666666667,8.0,5.549999999999999,25.0,15.0,8,0,7789516800,46.49,813798,11.756,11.589,44.908002,17.216,11.1,45.2,42.1,2.778,0.34848,1.729,0,0,42.651375,0,USD
SOLV,IVV,Healthcare,Medical Instruments & Supplies,TIER 3 - ADEQUATE,66.52540199662455,83849654.93333332,85.35,56.89999999999999,C,10,5.0,5.0,20.0,12.0,0.35000000000000003,25.0,8.0,0,0,13743983616,79.24,1058101,37.271,18.139,54.403996,7.824000000000001,0.7000000000000001,931.4,937.7,1.5,1.03028,0.959,0,0,9.097589,0,USD
