symbol,source,price,avg_volume,ddv,spread_pct,turnover_pct,float_shares,market_cap,liquidity_score,liquidity_tier,max_position_rec,position_200k_pct_adv,position_400k_pct_adv,position_800k_pct_adv,days_to_liquidate_400k,ddv_score,spread_score,turnover_score,float_score,market_cap_score,exchange,currency
WELL,IVV,185.61,3340805.0,620086816.0500001,0.4989270386266131,0.48676504392812636,685380910,127389351936,77.82042954405163,TIER 2 - GOOD,$600K-$800K,0.03225354818443248,0.06450709636886497,0.12901419273772993,0.0006450709636886497,100.0,40.12875536480643,38.941203514250105,100.0,100.0,NYQ,USD
SRPT,IJR,21.52,4470226.666666667,96199277.86666667,15.133013519406886,4.26600502852192,99257567,2255020288,77.71493711422222,TIER 2 - GOOD,$600K-$800K,0.20790176853219453,0.41580353706438905,0.8316070741287781,0.004158035370643891,98.41636577777778,0.0,100.0,99.7030268,83.13755072000001,NMS,USD
VST,IVV,161.33,4326093.333333333,697928637.4666667,0.5433775856745882,1.2767909915317568,316551102,54662717440,77.67338810938114,TIER 2 - GOOD,$600K-$800K,0.028656224900866327,0.057312449801732654,0.11462489960346531,0.0005731244980173265,100.0,18.264896573016472,65.53581983063513,100.0,100.0,NYQ,USD
M,IJH,22.05,6961510.0,153501295.5,1.1337868480725624,2.618259590156966,263851762,5862722048,77.64558277022786,TIER 2 - GOOD,$600K-$800K,0.13029205997808663,0.26058411995617325,0.5211682399123465,0.002605841199561733,100.0,0.0,92.36519180313933,100.0,91.725444096,NYQ,USD
NVT,IJH,101.97,2277131.6666666665,232199116.04999998,0.6148140919293408,1.4112159253460155,160644727,16453833728,77.49672278209064,TIER 2 - GOOD,$600K-$800K,0.08613297216727282,0.17226594433454565,0.3445318886690913,0.0017226594433454563,100.0,15.407436322826369,68.22431850692031,100.0,100.0,NYQ,USD
CELH,IJH,45.74,6107071.666666667,279337458.03333336,12.580201649862516,2.3690535254486087,198156980,11791099904,77.47621410179444,TIER 2 - GOOD,$600K-$800K,0.07159798811376525,0.1431959762275305,0.286391952455061,0.001431959762275305,100.0,0.0,87.38107050897217,100.0,100.0,NCM,USD
WTC.AX,ASX300,68.46,1063042.7666666666,72775907.806,0.29197080291971217,0.3163515877550847,188605919,23004753920,77.33232120486498,TIER 2 - GOOD,$600K-$800K,0.27481622150718266,0.5496324430143653,1.0992648860287306,0.005496324430143654,88.6566282525,64.96350364963453,25.308127020406776,100.0,100.0,ASX,AUD
CHTR,IVV,208.75,1877401.6666666667,391907597.9166667,0.5526441162458297,1.4507463599401815,83990561,28513370112,77.31597793730242,TIER 2 - GOOD,$600K-$800K,0.05103243750903931,0.10206487501807862,0.20412975003615724,0.0010206487501807863,100.0,17.894235350166813,69.01492719880363,93.5962244,100.0,NMS,USD
PSTG,IJH,67.01,3683893.3333333335,246857692.2666667,0.51851851851851,1.1157509569615813,313917299,22124802048,77.27781864266123,TIER 2 - GOOD,$600K-$800K,0.08101833820270468,0.16203667640540936,0.3240733528108187,0.0016203667640540937,100.0,19.259259259259597,62.31501913923162,100.0,100.0,NYQ,USD
ON,IVV,54.15,9212370.0,498849835.5,8.78557539331801,2.2894791880633996,400459067,22145941504,77.1579167522536,TIER 2 - GOOD,$600K-$800K,0.04009222530855179,0.08018445061710358,0.16036890123420716,0.0008018445061710359,100.0,0.0,85.78958376126799,100.0,100.0,NMS,USD
MU,IVV,285.41,25585645.0,7302398939.450001,8.201812226145403,2.2732505085979917,1121108520,321231585280,77.09300203439197,TIER 2 - GOOD,$600K-$800K,0.0027388259893544454,0.005477651978708891,0.010955303957417782,5.4776519787088905e-05,100.0,0.0,85.46501017195983,100.0,100.0,NMS,USD
CE,IJR,42.28,2031608.3333333333,85896400.33333333,0.5456702253855205,1.8552671566745986,108924518,4629867008,76.8150581734543,TIER 2 - GOOD,$600K-$800K,0.2328386279563186,0.4656772559126372,0.9313545118252744,0.004656772559126372,94.12350013888889,18.173190984579183,77.10534313349197,100.0,89.07466752,NYQ,USD
TOL,IJH,135.22,1177616.6666666667,159237325.6666667,0.5891016200294634,1.2395573473118393,94249626,13032909824,76.72219074895273,TIER 2 - GOOD,$600K-$800K,0.12559869312215297,0.25119738624430593,0.5023947724886119,0.002511973862443059,100.0,16.43593519882146,64.79114694623678,97.6998504,100.0,NYQ,USD
MOH,IVV,173.54,1708945.0,296570315.3,1.3863636363636351,3.3247957198443583,47933070,9405868032,76.63314200639999,TIER 2 - GOOD,$600K-$800K,0.06743763272385744,0.1348752654477149,0.2697505308954298,0.0013487526544771488,100.0,0.0,100.0,78.346456,98.811736064,NYQ,USD
BAH,IJH,84.36,2609228.3333333335,220114502.20000002,1.4152046783625658,2.1510325279571494,119146894,10397259776,76.6041301118286,TIER 2 - GOOD,$600K-$800K,0.09086180056336152,0.18172360112672303,0.36344720225344607,0.0018172360112672303,100.0,0.0,83.020650559143,100.0,100.0,NYQ,USD
KNX,IJH,52.28,3582598.3333333335,187298240.86666667,1.4215314632297196,2.2068623887872496,157614935,8487083008,76.524866156749,TIER 2 - GOOD,$600K-$800K,0.10678156883618325,0.2135631376723665,0.427126275344733,0.002135631376723665,100.0,0.0,84.137247775745,100.0,96.974166016,NYQ,USD
TER,IVV,193.56,3313291.6666666665,641320735.0,4.858152343344068,2.1156551748515318,156329540,30790273024,76.46262069940613,TIER 2 - GOOD,$600K-$800K,0.0311856437949102,0.0623712875898204,0.1247425751796408,0.000623712875898204,100.0,0.0,82.31310349703064,100.0,100.0,NMS,USD
FND,IJH,60.89,2441806.6666666665,148681607.93333334,1.8379960962914696,2.2660490263042457,106172845,6561270784,76.37645026201697,TIER 2 - GOOD,$600K-$800K,0.13451562892007266,0.2690312578401453,0.5380625156802906,0.0026903125784014533,100.0,0.0,85.32098052608491,100.0,93.122541568,NYQ,USD
CIEN,IJH,233.87,2926505.0,684421724.35,2.976215357605642,2.077675982990561,139484218,32988743680,76.31070393196225,TIER 2 - GOOD,$600K-$800K,0.029221749235084752,0.058443498470169504,0.11688699694033901,0.0005844349847016951,100.0,0.0,81.55351965981123,100.0,100.0,NYQ,USD
PLTR,IVV,177.75,46650865.0,8292191253.75,12.41052631578948,2.0422085717296583,2200054746,423655800832,76.16883428691864,TIER 2 - GOOD,$600K-$800K,0.0024119077078637503,0.0048238154157275006,0.009647630831455001,4.823815415727501e-05,100.0,0.0,80.84417143459316,100.0,100.0,NMS,USD
BALL,IVV,52.97,2895941.6666666665,153398030.0833333,0.617514970059877,1.0806268123968044,266925983,14415727616,76.14735754898845,TIER 2 - GOOD,$600K-$800K,0.13037977077759746,0.26075954155519493,0.5215190831103899,0.0026075954155519495,100.0,15.29940119760492,61.612536247936085,100.0,100.0,NYQ,USD
PHM,IVV,117.26,2043301.6666666667,239597553.43333337,0.6116207951070327,1.0482938666551007,193258134,23135113216,76.07696751555008,TIER 2 - GOOD,$600K-$800K,0.08347330643993776,0.16694661287987553,0.33389322575975106,0.0016694661287987554,100.0,15.535168195718692,60.965877333102014,100.0,100.0,NYQ,USD
LYC.AX,ASX300,12.44,9660380.883333333,120175138.18866666,0.5622489959839239,0.9597969339064458,830012654,12520891392,76.05588551141233,TIER 2 - GOOD,$600K-$800K,0.16642377368105357,0.33284754736210714,0.6656950947242143,0.0033284754736210716,100.0,17.510040160643044,58.39187735625784,100.0,100.0,ASX,AUD
CART,IJH,44.98,5225973.333333333,235064280.5333333,14.888487040385781,1.9905970106418078,184928220,11849453568,75.96238804256723,TIER 2 - GOOD,$600K-$800K,0.08508310983966745,0.1701662196793349,0.3403324393586698,0.001701662196793349,100.0,0.0,79.81194021283616,100.0,100.0,NMS,USD
RRC,IJH,35.26,3025345.0,106673664.69999999,0.6829823562891348,1.27686269192239,234231574,8398617600,75.9573507247982,TIER 2 - GOOD,$600K-$800K,0.18748769957651976,0.3749753991530395,0.749950798306079,0.0037497539915303953,100.0,12.680705748434606,65.5372538384478,100.0,96.7972352,NYQ,USD
STX,IVV,275.39,4325355.0,1191159513.45,9.070325900514579,1.9852729712641348,212787168,59999784960,75.94109188505654,TIER 2 - GOOD,$600K-$800K,0.016790362478047334,0.03358072495609467,0.06716144991218934,0.0003358072495609467,100.0,0.0,79.7054594252827,100.0,100.0,NMS,USD
CROX,IJH,85.52,1634458.3333333333,139778876.66666666,5.0526315789473655,3.148295577446575,50205555,4670876672,75.930052468,TIER 2 - GOOD,$600K-$800K,0.14308313585674595,0.2861662717134919,0.5723325434269838,0.0028616627171349188,100.0,0.0,100.0,80.082222,89.17719167999999,NMS,USD
LBRT,IJR,18.46,4650606.666666667,85850199.06666668,2.449414270500537,2.8713306074109903,156335361,2989909760,75.91928723353284,TIER 2 - GOOD,$600K-$800K,0.2329639327273903,0.4659278654547806,0.9318557309095612,0.004659278654547806,94.10424961111111,0.0,97.4266121482198,100.0,84.9747744,NYQ,USD
MAS,IVV,63.46,2400628.3333333335,152343874.03333333,0.6727158948685853,1.1558396473526678,206898070,13286215680,75.89619964072482,TIER 2 - GOOD,$600K-$800K,0.131281944396556,0.262563888793112,0.525127777586224,0.00262563888793112,100.0,13.091364205256589,63.116792947053355,100.0,100.0,NYQ,USD
