symbol,source,sector,industry,liquidity_tier,liquidity_score,ddv,fundamental_score,fundamental_percentage,fundamental_grade,market_cap_score,price_score,volume_score,roe_score,profit_margin_score,revenue_growth_score,earnings_growth_score,current_ratio_score,debt_to_equity_score,institutional_score,market_cap,price,volume,roe,profit_margin,gross_margin,operating_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,current_ratio,debt_to_equity,quick_ratio,institutional_ownership,insider_ownership,pe_ratio,peg_ratio,currency
DUOL,IJH,Technology,Software - Application,TIER 2 - GOOD,88.99281073609906,310239832.5,130.0,86.66666666666667,A+,10,5.0,5.0,20.0,15.0,25.0,25.0,15.0,10,0,8112901120,175.5,1763140,36.246,40.032002,71.994,14.585,41.099999999999994,1114.3000000000002,1150.8,2.821,0.07443,2.596,0,0,22.131147,0,USD
CMM.AX,ASX300,Basic Materials,Gold,TIER 3 - ADEQUATE,54.288128474014286,31150219.154,130.0,86.66666666666667,A+,10,5.0,5.0,20.0,15.0,25.0,25.0,15.0,10,0,6559693824,14.38,2173990,27.561999999999998,29.026999999999997,54.754999999999995,45.478,71.89999999999999,191.9,227.0,4.963,0.040709999999999996,4.209,0,0,38.864864,0,AUD
NVDA,IVV,Technology,Semiconductors,TIER 2 - GOOD,84.66506450127505,34858605586.66667,125.0,83.33333333333334,A,5,5.0,5.0,20.0,15.0,25.0,25.0,15.0,10,0,4540715761664,186.5,185917967,107.35900000000001,53.007000000000005,70.05,63.168997000000005,62.5,66.7,65.3,4.468,0.09102,3.605,0,0,46.04938,0,USD
TGTX,IJR,Healthcare,Biotechnology,TIER 3 - ADEQUATE,64.26159132660709,51710910.16666666,125.0,83.33333333333334,A,10,5.0,5.0,20.0,15.0,25.0,25.0,15.0,5,0,4732619264,29.81,1722848,111.95600000000002,84.128,85.341,18.159,92.80000000000001,12050.0,9974.6,3.825,0.41918999999999995,2.532,0,0,10.761733,0,USD
SEZL,IJR,Financial Services,Credit Services,TIER 3 - ADEQUATE,63.52794002567688,58331197.583333336,122.0,81.33333333333333,A,10,5.0,5.0,20.0,15.0,25.0,25.0,15.0,2,0,2167868160,63.475,914851,107.026,27.663,71.646005,57.997,67.0,70.5,72.7,3.517,0.7610399999999999,3.157,0,0,19.53077,0,USD
COIN,IVV,Financial Services,Financial Data & Stock Exchanges,TIER 2 - GOOD,80.0,2080766906.0,120.0,80.0,A,5,5.0,5.0,20.0,15.0,25.0,25.0,15.0,5,0,60980371456,226.14,9411437,26.005,43.664002,84.822,25.253999999999998,58.9,430.6,473.00000000000006,2.404,0.48558999999999997,1.105,0,0,19.528498,0,USD
INCY,IVV,Healthcare,Biotechnology,TIER 2 - GOOD,72.5792462423462,221988044.25,120.0,80.0,A,10,5.0,5.0,20.0,15.0,15.0,25.0,15.0,10,0,19390793728,98.77,2233637,30.389,24.695,56.488997,31.633,20.0,290.7,298.4,3.195,0.00887,2.858,0,0,16.740677,0,USD
MU,IVV,Technology,Semiconductors,TIER 2 - GOOD,77.09300203439197,7302398939.450001,118.0,78.66666666666666,A,5,5.0,5.0,15.0,15.0,25.0,25.0,15.0,8,0,321231585280,285.41,25943908,22.554001,28.145999999999997,45.308998,44.974998,56.699999999999996,175.4,180.20000000000002,2.46,0.21244,1.7,0,0,27.104464,0,USD
TMDX,IJR,Healthcare,Medical Devices,TIER 2 - GOOD,71.98527158579057,106350687.75,117.0,78.0,A,10,5.0,5.0,20.0,12.0,25.0,25.0,15.0,0,0,4157306624,121.65,883630,32.476002,16.203,60.280997,16.2,32.2,450.1,476.79999999999995,7.689,1.46213,6.86,0,0,47.893703,0,USD
FSLR,IVV,Technology,Solar,TIER 2 - GOOD,75.83888335182323,549351016.2,117.0,78.0,A,10,5.0,5.0,10.0,15.0,25.0,25.0,12.0,10,0,28032108544,261.23,2130479,16.864,27.728,40.048,29.225,79.7,45.7,45.7,1.91,0.09893,1.382,0,0,20.032976,0,USD
APP,IVV,Communication Services,Advertising Agencies,TIER 1 - EXCELLENT,98.49470031675644,2847147797.6666665,115.0,76.66666666666667,A,5,5.0,5.0,20.0,15.0,25.0,25.0,15.0,0,0,227919560704,673.82,4456351,241.886,44.879000000000005,79.688,76.795,68.2,95.89999999999999,92.30000000000001,3.25,2.38274,3.048,0,0,79.36632,0,USD
RYN,IJH,Real Estate,REIT - Specialty,TIER 3 - ADEQUATE,73.37141851301163,32532408.58333333,115.0,76.66666666666667,A,10,5.0,5.0,10.0,15.0,25.0,25.0,15.0,5,0,3529603584,21.65,1465729,19.227,59.967000000000006,38.918,27.451999999999998,43.1,45.0,50.2,3.443,0.45621,3.335,0,0,8.326923,0,USD
DOCS,IJH,Healthcare,Health Information Services,TIER 2 - GOOD,74.29703040602662,97479689.4,115.0,76.66666666666667,A,10,5.0,5.0,15.0,15.0,15.0,25.0,15.0,10,0,8336651264,44.28,2150746,24.605,40.724,90.204,38.546002,23.200000000000003,40.9,40.6,7.786,0.010289999999999999,7.264,0,0,35.424,0,USD
PLTR,IVV,Technology,Software - Infrastructure,TIER 2 - GOOD,76.16883428691864,8292191253.75,115.0,76.66666666666667,A,5,5.0,5.0,10.0,15.0,25.0,25.0,15.0,10,0,423655800832,177.75,47967951,19.503999999999998,28.114,80.807996,33.296,62.8,200.0,231.4,6.427,0.0352,6.306,0,0,413.3721,0,USD
LRCX,IVV,Technology,Semiconductor Equipment & Materials,TIER 2 - GOOD,70.93885018669937,1864878570.9,115.0,76.66666666666667,A,5,5.0,5.0,20.0,15.0,20.0,25.0,15.0,5,0,215863508992,171.18,11053679,62.261003,29.657,49.313,34.354,27.700000000000003,44.3,40.5,2.207,0.43991,1.539,0,0,37.704845,0,USD
APH,IVV,Technology,Electronic Components,TIER 2 - GOOD,72.91199609362587,1053664732.3666666,114.0,76.0,A,5,5.0,5.0,20.0,12.0,25.0,25.0,15.0,2,0,165418860544,135.14,7797787,34.807998,18.218,36.308,27.481002,53.400000000000006,102.1,106.1,2.07,0.6399,1.409,0,0,45.046665,0,USD
