Metric,VAS.AX,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,70.0%,70.0%
,,
Total Return,46%,140%
CAGR% (Annual Return),7.93%,19.2%
,,
Sharpe,0.29,0.56
RoMaD,0.22,0.46
Corr to Benchmark,1.0,0.16
Prob. Sharpe Ratio,27.9%,38.8%
Smart Sharpe,0.27,0.52
Sortino,0.39,0.91
Smart Sortino,0.36,0.84
Sortino/√2,0.28,0.64
Smart Sortino/√2,0.26,0.59
Omega,1.11,1.11
,,
Max Drawdown,-35.75%,-41.72%
Longest DD Days,405,657
Volatility (ann.),16.84%,34.25%
R^2,0.03,0.03
Information Ratio,0.02,0.02
Calmar,0.22,0.46
Skew,-1.09,1.71
Kurtosis,14.2,16.59
,,
Expected Daily%,0.02%,0.05%
Expected Monthly%,0.64%,1.47%
Expected Yearly%,7.91%,19.15%
Daily Value-at-Risk,-1.43%,-2.89%
Expected Shortfall (cVaR),-1.43%,-2.89%
,,
MTD,-2.99%,-4.74%
3M,-0.77%,-15.78%
6M,6.96%,-31.59%
YTD,11.44%,-41.15%
1Y,11.44%,-41.15%
3Y (ann.),9.81%,33.79%
5Y (ann.),7.15%,17.59%
10Y (ann.),7.93%,19.2%
All-time (ann.),7.93%,19.2%
,,
Best Day,5.98%,20.01%
Worst Day,-7.72%,-8.97%
Best Month,11.48%,53.97%
Worst Month,-18.39%,-20.45%
Best Year,17.45%,134.54%
Worst Year,-1.54%,-41.15%
,,
Avg. Drawdown,-2.87%,-6.72%
Avg. Drawdown Days,35,48
Recovery Factor,1.26,2.79
Ulcer Index,0.08,0.18
Serenity Index,0.3,0.34
,,
Avg. Up Month,3.69%,9.76%
Avg. Down Month,-4.02%,-5.89%
Win Days,1021.92,897.77
Loss Days,801.08,925.23
Win Days%,56.06%,49.25%
Win Month%,63.33%,48.33%
Win Quarter%,75.0%,50.0%
Win Year%,80.0%,60.0%
,,
Beta,-,0.32
Alpha,-,0.2
Correlation,-,15.85%
Treynor Ratio,-,421.65%
