scan_date,data_date,symbol,ib_action,conviction_level,position_size_pct,current_price,stop_loss_price,profit_target_price,daily_change_pct,volume,avg_volume_20d,conviction_reason,fundamental_score,fundamental_grade,market_cap,pe_ratio,forward_pe,peg_ratio,roe,roa,profit_margin,gross_margin,operating_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,revenue_quarterly_growth,current_ratio,quick_ratio,debt_to_equity,total_debt_to_equity,free_cashflow,operating_cashflow,book_value,price_to_book,enterprise_to_revenue,enterprise_to_ebitda,target_mean_price,target_high_price,target_low_price,recommendation_mean,number_of_analyst_opinions,trend_strength,breakout_power,volume_surge,momentum_points,total_conviction_score
2025-08-22,253,HMY.AX,BUY,5,40,0.7900000214576721,0.7347000199556352,1.1850000321865082,21.53846929764636,951145,75544.65,"MAX conviction: 100, trend: 100, vol: 31.8x, daily: 21.5%",43,C,82205032,0.0,11.285714,0,15.557000000000002,0.664,7.5329999999999995,81.32700299999999,57.64,10.299999999999999,0.0,0.0,0,97.514,97.514,24.2293,0,0,35038000,0.287,2.7526133,11.985,0.0,1.6835104,2.227776,1.1392448,1.0,2,100,25,31.78737454924621,25,100
2025-08-22,253,SUL.AX,BUY,5,40,18.56999969482422,17.270099716186525,27.854999542236328,12.34119130936766,1824233,387919.0,"MAX conviction: 100, trend: 100, vol: 5.7x, daily: 12.3%",40,C,4193588736,19.14433,16.433628,0,17.089,6.938,5.7150003,45.928000000000004,10.149,4.0,-9.5,-9.5,0,1.076,0.184,0.85592,0,333512512,545900032,5.784,3.2105808,1.298,11.238,16.57575,20.5,11.5,2.85714,14,100,25,5.68892715672926,25,100
2025-08-22,253,SGP.AX,BUY,5,40,6.340000152587891,5.896200141906738,9.510000228881836,3.5947756722663815,13978667,5162016.8,"MAX conviction: 100, trend: 100, vol: 3.0x, daily: 3.6%",45,C,15214859264,18.647058,17.61111,0,8.2279995,2.8369999,25.772000000000002,24.648999999999997,26.99,7.9,183.29999999999998,186.20000000000002,0,1.208,0.502,0.51851,0,383875008,328000000,4.254,1.4903619,6.142,24.793,6.211,6.9,5.1,2.5,10,100,25,3.0068063982681896,25,100
2025-08-22,253,DOW.AX,BUY,5,40,7.340000152587891,6.826200141906739,11.010000228881836,5.916310741779052,4288062,1122839.75,"MAX conviction: 100, trend: 100, vol: 4.5x, daily: 5.9%",10,F,4929353216,36.7,16.311111,0,3.757,2.9669999999999996,0.685,11.777999999999999,2.8269999,-6.2,5.4,5.800000000000001,0,1.043,0.872,0.7162099999999999,0,440249984,596000000,3.09,2.3754046,0.568,14.183,6.63556,7.75,5.4,2.66667,9,100,25,4.5468842947076435,25,100
2025-08-22,253,BXB.AX,BUY,5,40,26.299999237060547,24.45899929046631,39.44999885559082,13.21566833973633,11104583,3571154.65,"MAX conviction: 100, trend: 100, vol: 3.5x, daily: 13.2%",40,C,35951833088,27.113401,25.047619,0,26.007998,9.1129996,12.016,34.028998,20.656,2.0,9.3,9.4,0,0.529,0.431,0.8512099999999999,0,400649984,1772499968,2.297,11.449717,5.723,20.256,24.067568,29.443304,19.780859,2.53333,15,100,25,3.5220817683652177,25,100
2025-08-22,253,PTM.AX,BUY,5,40,0.824999988079071,0.7672499889135361,1.2374999821186066,5.095536371550291,3077457,1938287.7,"MAX conviction: 90, trend: 100, vol: 1.7x, daily: 5.1%",45,C,480287744,16.5,11.785714,0,9.6549995,11.75,15.574999,49.603,39.472,-23.3,-55.300000000000004,-55.300000000000004,0,7.436,7.436,0.05789,0,71821000,50848000,0.358,2.304469,1.963,5.542,0.582,0.7,0.53,2.6,5,100,25,1.6912853101616039,25,90
2025-08-22,253,WES.AX,BUY,5,40,94.76000213623047,88.12680198669435,142.1400032043457,2.476479815396204,2795652,1712583.5,"MAX conviction: 90, trend: 100, vol: 1.7x, daily: 2.5%",35,D,107553554432,41.379913,36.03042,0,29.887000000000004,8.943,5.775,34.004003,9.421,3.5999999999999996,2.9000000000000004,2.9000000000000004,0,1.107,0.294,1.20606,0,2516875008,4271000064,7.906,11.985833,2.619,26.064,72.7313,90.3,58.0,3.91667,12,100,25,1.7181394719683318,25,90
2025-08-22,253,PFG.AX,BUY,5,40,0.2549999952316284,0.23714999556541444,0.3824999928474426,1.9999980926513672,159596,81869.15,"MAX conviction: 90, trend: 100, vol: 2.1x, daily: 2.0%",55,C,65955240,12.75,0,0,8.809000000000001,6.537,8.77,46.685,11.2679996,25.4,0.0,0.0,0,2.494,2.291,0.25661,0,3540349,5475093,0.23,1.1086956,1.651,8.255,0.0,0.0,0.0,0.0,0,100,15,2.0662524995355347,25,90
2025-08-22,253,PTM.AX,BUY,5,40,0.824999988079071,0.7672499889135361,1.2374999821186066,5.095536371550291,3077457,1938287.7,"MAX conviction: 90, trend: 100, vol: 1.7x, daily: 5.1%",45,C,480287744,16.5,11.785714,0,9.6549995,11.75,15.574999,49.603,39.472,-23.3,-55.300000000000004,-55.300000000000004,0,7.436,7.436,0.05789,0,71821000,50848000,0.358,2.304469,1.963,5.542,0.582,0.7,0.53,2.6,5,100,25,1.6912853101616039,25,90
2025-08-22,253,TCL.AX,BUY,4,35,14.770000457763672,13.736100425720215,22.155000686645508,3.2867151102090597,8558727,3800617.65,"HIGH conviction: 80, trend: 90, vol: 2.4x, daily: 3.3%",28,D,45910773760,369.25003,77.73685,0,0.0,0.0,4.721,53.873000000000005,24.006,-2.9000000000000004,0.0,84.39999999999999,0,0.0,0.0,0.0,0,0,0,3.303,4.4716926,0.0,0.0,14.18308,16.1,12.88,2.92308,13,90,15,2.4106035464773568,20,80
2025-08-22,253,WOW.AX,BUY,4,35,33.61000061035156,31.257300567626956,50.415000915527344,2.657296540265497,3183373,1973272.4,"HIGH conviction: 80, trend: 90, vol: 1.6x, daily: 2.7%",30,D,41057976320,25.270676,23.17931,0,31.194,8.538,2.352,27.229,4.0359996,3.6999999999999997,0.0,0.0,0,0.61,0.201,3.3719900000000003,0,2209125120,3676000000,4.2,8.002381,0.83,9.756,32.75333,36.3,30.0,2.53333,15,90,25,1.6427674503464242,20,80
