Trade ID,Ticker,Direction,Status,Entry Date,Entry Price,Exit Date,Exit Price,Duration (Days),Position Size,Fees,Profit/Loss (PNL),Return (%)
0,MMM,Long,Closed,2021-03-15 04:00:00,134.0420,2021-05-12 04:00:00,140.6846,58,7.2501,1.9918,46.1683,4.7507
1,MMM,Long,Closed,2021-05-27 04:00:00,144.8341,2021-06-11 04:00:00,144.5277,15,4.0810,1.1809,-2.4314,-0.4114
2,MMM,Long,Closed,2022-05-04 04:00:00,112.7278,2022-05-11 04:00:00,107.0121,7,33.5043,7.3622,-198.8617,-5.2653
3,MMM,Long,Closed,2022-08-04 04:00:00,109.3561,2022-08-26 04:00:00,96.3217,22,3.4365,0.7068,-45.4999,-12.1073
4,MMM,Long,Closed,2022-11-10 05:00:00,96.3291,2022-11-29 05:00:00,95.1782,19,6.3285,1.2120,-8.4958,-1.3936
5,MMM,Long,Closed,2022-12-13 05:00:00,96.0535,2022-12-19 05:00:00,92.1598,6,1.0821,0.2037,-4.4172,-4.2497
6,MMM,Long,Closed,2023-01-17 05:00:00,95.5329,2023-01-23 05:00:00,92.5295,6,0.7277,0.1368,-2.3223,-3.3406
7,MMM,Long,Closed,2023-04-24 04:00:00,80.3284,2023-04-26 04:00:00,78.6921,2,5.6019,0.8908,-10.0568,-2.2349
8,MMM,Long,Closed,2023-04-28 04:00:00,81.2153,2023-05-02 04:00:00,78.7380,4,11.0233,1.7632,-29.0711,-3.2472
9,MMM,Long,Closed,2023-07-25 04:00:00,85.2520,2023-08-04 04:00:00,81.8987,10,15.6838,2.6216,-55.2132,-4.1294
10,MMM,Long,Closed,2023-08-29 04:00:00,83.1708,2023-09-19 04:00:00,78.9638,21,26.4694,4.2916,-115.6480,-5.2532
11,MMM,Long,Open,2023-11-17 05:00:00,76.2933,2023-12-29 05:00:00,87.4804,42,6.3169,0.4819,70.1856,14.5633
12,AOS,Long,Closed,2021-01-28 05:00:00,52.7954,2021-04-14 04:00:00,62.4342,75,63.7470,7.3455,607.0984,18.0386
13,AOS,Long,Closed,2021-04-27 04:00:00,63.1949,2021-05-18 04:00:00,64.1413,21,6.4073,0.8159,5.2480,1.2961
14,AOS,Long,Closed,2021-05-27 04:00:00,66.2182,2021-06-08 04:00:00,63.6942,12,8.0334,1.0436,-21.3194,-4.0077
15,AOS,Long,Closed,2021-11-01 04:00:00,70.1383,2021-12-20 05:00:00,74.4292,49,9.2369,1.3354,38.2995,5.9117
16,AOS,Long,Closed,2021-12-31 05:00:00,80.6074,2022-01-13 05:00:00,77.8751,13,15.0269,2.3815,-43.4389,-3.5862
17,AOS,Long,Closed,2022-07-27 04:00:00,57.3087,2022-08-22 04:00:00,58.2883,26,3.8588,0.4461,3.3339,1.5076
18,AOS,Long,Closed,2022-11-10 05:00:00,56.7045,2022-12-06 05:00:00,56.7906,26,9.6757,1.0981,-0.2652,-0.0483
19,AOS,Long,Closed,2023-01-03 05:00:00,56.3602,2023-02-22 05:00:00,62.9384,50,90.1070,10.7496,581.9953,11.4601
20,AOS,Long,Closed,2023-03-06 05:00:00,64.3131,2023-03-07 05:00:00,63.8228,1,11.1184,1.4247,-6.8759,-0.9616
21,AOS,Long,Closed,2023-03-09 05:00:00,64.8226,2023-03-13 04:00:00,63.2364,3,67.2413,8.6109,-115.2694,-2.6445
22,AOS,Long,Closed,2023-03-15 04:00:00,64.0920,2023-03-22 04:00:00,63.9189,7,19.7826,2.5324,-5.9559,-0.4697
23,AOS,Long,Closed,2023-04-14 04:00:00,64.5246,2023-05-11 04:00:00,66.0487,27,9.6388,1.2586,13.4316,2.1596
24,AOS,Long,Closed,2023-07-11 04:00:00,70.6836,2023-08-01 04:00:00,70.3812,21,3.6085,0.5090,-1.6004,-0.6275
25,AOS,Long,Open,2023-10-26 04:00:00,67.0168,2023-12-29 05:00:00,80.3104,64,131.8355,8.8352,1743.7447,19.7364
26,ABT,Long,Closed,2021-01-28 05:00:00,111.4253,2021-02-23 05:00:00,111.8048,26,27.1840,6.0683,4.2470,0.1402
27,ABT,Long,Closed,2021-03-19 04:00:00,111.2957,2021-04-20 04:00:00,111.4721,32,3.3673,0.7501,-0.1561,-0.0416
28,ABT,Long,Closed,2021-07-19 04:00:00,110.7682,2021-09-22 04:00:00,116.2325,65,40.3278,9.1544,211.2073,4.7281
29,ABT,Long,Closed,2021-11-29 05:00:00,119.8452,2021-12-01 05:00:00,118.6377,2,59.0663,14.0863,-85.4105,-1.2066
30,ABT,Long,Closed,2021-12-06 05:00:00,124.0014,2022-01-07 05:00:00,126.8938,32,29.0010,7.2762,76.6071,2.1302
31,ABT,Long,Closed,2022-04-06 04:00:00,112.6684,2022-04-12 04:00:00,111.2124,6,18.6849,4.1832,-31.3890,-1.4910
32,ABT,Long,Closed,2022-07-19 04:00:00,104.1377,2022-08-09 04:00:00,102.2241,21,16.1142,3.3254,-34.1609,-2.0357
33,ABT,Long,Closed,2022-08-18 04:00:00,104.1661,2022-08-22 04:00:00,101.7884,4,3.2412,0.6675,-8.3744,-2.4804
34,ABT,Long,Closed,2022-11-29 05:00:00,99.9368,2022-12-06 05:00:00,98.8517,7,17.5814,3.4950,-22.5715,-1.2846
35,ABT,Long,Closed,2022-12-09 05:00:00,102.3258,2022-12-19 05:00:00,101.4501,10,48.4817,9.8794,-52.3319,-1.0549
36,ABT,Long,Closed,2023-01-04 05:00:00,105.8473,2023-01-26 05:00:00,106.1927,22,3.4512,0.7318,0.4602,0.1260
37,ABT,Long,Closed,2023-04-18 04:00:00,100.0742,2023-05-15 04:00:00,105.5416,27,16.2658,3.3445,85.5861,5.2578
38,ABT,Long,Closed,2023-07-24 04:00:00,110.6627,2023-08-02 04:00:00,104.8699,9,11.8545,2.5550,-71.2260,-5.4294
39,ABT,Long,Open,2023-11-16 05:00:00,97.3343,2023-12-29 05:00:00,106.8581,43,1.9546,0.1903,18.4251,9.6846
40,ABBV,Long,Closed,2021-05-05 04:00:00,99.1112,2021-05-25 04:00:00,98.0669,20,12.3166,2.4286,-15.2914,-1.2527
41,ABBV,Long,Closed,2021-10-29 04:00:00,100.4587,2021-11-26 05:00:00,102.0706,28,9.5249,1.9291,13.4247,1.4030
42,ABBV,Long,Closed,2021-12-06 05:00:00,106.3108,2022-01-20 05:00:00,117.7526,45,30.4442,6.8214,341.5156,10.5518
43,ABBV,Long,Closed,2022-01-26 05:00:00,118.8148,2022-04-18 04:00:00,142.2577,81,48.0021,12.5320,1112.7748,19.5109
44,ABBV,Long,Closed,2022-07-07 04:00:00,135.6876,2022-07-19 04:00:00,134.9205,12,4.9067,1.3278,-5.0918,-0.7648
45,ABBV,Long,Closed,2022-09-22 04:00:00,128.8565,2022-10-06 04:00:00,126.4057,14,64.5367,16.4738,-174.6422,-2.1001
46,ABBV,Long,Closed,2022-10-27 04:00:00,139.7157,2022-11-02 04:00:00,131.5421,6,2.0116,0.5457,-16.9879,-6.0443
47,ABBV,Long,Closed,2022-11-10 05:00:00,136.2751,2022-12-19 05:00:00,146.9881,39,3.6235,1.0264,37.7919,7.6534
48,ABBV,Long,Closed,2023-01-06 05:00:00,151.5938,2023-01-18 05:00:00,137.0927,12,3.4052,0.9830,-50.3613,-9.7561
49,ABBV,Long,Closed,2023-03-14 04:00:00,141.3654,2023-05-02 04:00:00,140.5980,49,27.0453,7.6258,-28.3807,-0.7423
50,ABBV,Long,Closed,2023-07-20 04:00:00,133.3152,2023-08-22 04:00:00,138.9876,33,1.5923,0.4336,8.5987,4.0506
51,ABBV,Long,Closed,2023-09-07 04:00:00,139.6158,2023-10-02 04:00:00,138.9970,25,15.8673,4.4208,-14.2394,-0.6428
52,ACN,Long,Closed,2021-03-26 04:00:00,263.5425,2021-05-11 04:00:00,271.1184,46,7.1832,3.8406,50.5790,2.6718
53,ACN,Long,Closed,2021-07-28 04:00:00,298.6613,2021-09-27 04:00:00,315.8459,61,4.6273,2.8435,76.6752,5.5481
54,ACN,Long,Closed,2021-11-02 04:00:00,342.3433,2021-12-06 05:00:00,343.0347,34,1.5844,1.0859,0.0096,0.0018
55,ACN,Long,Closed,2021-12-13 05:00:00,357.7037,2022-01-11 05:00:00,355.2320,29,5.4418,3.8797,-17.3303,-0.8903
56,ACN,Long,Closed,2022-04-05 04:00:00,325.4949,2022-04-11 04:00:00,310.7307,6,6.2053,3.9479,-95.5635,-4.7314
57,ACN,Long,Closed,2022-08-09 04:00:00,296.0593,2022-08-23 04:00:00,293.1063,14,2.7949,1.6467,-9.9002,-1.1964
58,ACN,Long,Closed,2022-11-08 05:00:00,258.2492,2022-11-09 05:00:00,255.7630,1,2.5883,1.3304,-7.7653,-1.1617
59,ACN,Long,Closed,2022-11-10 05:00:00,275.5183,2022-12-19 05:00:00,245.1654,39,1.6130,0.8399,-49.7991,-11.2056
60,ACN,Long,Closed,2023-02-02 05:00:00,283.4694,2023-02-16 05:00:00,271.0550,14,1.0480,0.5811,-13.5913,-4.5751
61,ACN,Long,Closed,2023-04-13 04:00:00,276.0383,2023-04-20 04:00:00,266.6328,7,7.3429,3.9848,-73.0485,-3.6039
62,ACN,Long,Closed,2023-05-12 04:00:00,268.2198,2023-06-26 04:00:00,287.7854,45,7.2094,4.0085,137.0489,7.0873
63,ACN,Long,Closed,2023-07-21 04:00:00,305.7182,2023-08-07 04:00:00,306.7573,17,2.1423,1.3121,0.9140,0.1396
64,ACN,Long,Open,2023-11-30 05:00:00,324.8709,2023-12-29 05:00:00,342.1998,29,0.2191,0.0712,3.7254,5.2341
65,ADBE,Long,Closed,2021-04-23 04:00:00,515.8400,2021-05-03 04:00:00,503.4600,10,1.8098,1.8447,-24.2502,-2.5976
