scan_date,symbol,conviction_level,ib_action,position_size_pct,current_price,stop_loss_price,profit_target_price,medium_term_gain_pct,gain_3m_pct,gain_6m_pct,gain_2w_pct,gain_4w_pct,current_atr_pct,recent_atr_2w_pct,recent_atr_4w_pct,atr_contraction_2w,atr_contraction_4w,best_atr_contraction,recent_range_pct,total_conviction_score,performance_points,atr_points,momentum_points,volume_points,volume,avg_volume_20d,fundamental_score,fundamental_grade,market_cap,pe_ratio,roe,conviction_reason
2025-09-04,WDS.AX,5,BUY,35,25.770000457763672,23.708400421142578,36.078000640869135,30.12093794079016,30.12093794079016,7.892862113902499,-1.2234894892286685,-2.0334283712408197,1.971585207453045,1.698625353832085,1.651798106660183,0.7724462284350649,0.7511516384394962,0.7511516384394962,6.22567674549972,80,15,30,20,15,4436445,4260912.1,65,B,49307803648,10.965958,8.0819994,"CONSOLIDATION MAX: 80, 3-6M: 30.1%, ATR contraction: 0.75, recent: 1.6%"
2025-09-04,GS,4,BUY,30,730.5599975585938,672.1151977539063,1022.7839965820311,35.471822313229715,35.471822313229715,22.005253684291116,1.9135870847474035,1.342664928387416,1.8201121850167337,1.940699223324777,1.9686882760692002,0.9794427976927289,0.9935684673458567,0.9718138143481294,6.77202873460343,75,15,25,20,15,1485600,1590475.0,80,A,221155852288,16.10227,12.739,"CONSOLIDATION HIGH: 75, 3-6M: 35.5%, ATR contraction: 0.97, recent: 1.6%"
2025-09-04,STT,4,BUY,30,113.0,103.96000000000001,158.2,30.251106807653038,30.251106807653038,17.7069582205726,0.9920463101318555,2.022388787077145,1.6927948190951918,1.7488627186617267,1.7707338586317753,0.923414550447115,0.9349627003777528,0.923414550447115,6.254571140866894,75,15,25,20,15,1575200,1577115.0,50,B,32057536512,12.69663,10.9469995,"CONSOLIDATION HIGH: 75, 3-6M: 30.3%, ATR contraction: 0.92, recent: 1.5%"
2025-09-04,DIS,4,BUY,30,117.37999725341797,107.98959747314454,164.33199615478514,30.57216738820461,30.57216738820461,5.902934757888256,0.29049584349885027,1.918901727540856,1.5444338423369417,1.860866855269929,1.9859189263113062,0.9325225446700343,0.995188970896884,0.9000664116208327,7.3874823347096275,75,15,25,20,15,6286800,7829105.0,55,B,211041009664,18.369328,11.459999999999999,"CONSOLIDATION HIGH: 75, 3-6M: 30.6%, ATR contraction: 0.90, recent: 1.1%"
2025-09-04,LVS,4,BUY,30,55.369998931884766,50.94039901733399,77.51799850463867,56.03477096882317,56.03477096882317,28.03127210129377,3.2637076368149165,5.026550929101625,2.015016260468507,1.9066194280236048,1.9757242909701256,0.8551351731489399,0.8861292971322791,0.8551351731489399,12.565444212881571,73,20,23,15,15,5905800,3977325.0,80,A,38008958976,27.964645,54.144999999999996,"CONSOLIDATION HIGH: 73, 3-6M: 56.0%, ATR contraction: 0.86, recent: 4.1%"
2025-09-04,STO.AX,4,BUY,30,7.849999904632568,7.221999912261963,10.989999866485595,34.860250768666035,34.860250768666035,19.87578173440272,2.8830759075833434,1.3163346976429846,1.7812701542377536,1.783681113904954,1.560163862164635,0.9319789472857198,0.8151904858543565,0.7379285572914515,7.754013704157314,70,15,30,15,10,11399647,15032767.2,40,C,25690380288,16.354166,6.6589996,"CONSOLIDATION HIGH: 70, 3-6M: 34.9%, ATR contraction: 0.74, recent: 2.1%"
2025-09-04,NKE,4,BUY,30,74.73999786376953,68.76079803466797,104.63599700927733,31.252490379464824,31.252490379464824,-5.010659285485586,-1.4838583031120511,-0.4658120513500785,2.297213106689476,2.3595554923888526,2.4645783078166033,0.8705182389146154,0.9092646369658267,0.8705182389146154,9.746740150807852,68,15,23,20,10,8297900,9254615.0,45,C,110383497216,34.60185,23.290001,"CONSOLIDATION HIGH: 68, 3-6M: 31.3%, ATR contraction: 0.87, recent: 1.0%"
2025-09-04,BA,4,BUY,30,232.3800048828125,213.78960449218752,325.3320068359375,33.68233471496049,30.587248591188,33.68233471496049,2.996192674374387,3.261647625161035,2.3443739752336836,2.2657770393661103,2.362233045771526,0.9556339559291579,0.996316085447128,0.9556339559291579,6.587654438935853,68,15,23,15,15,5993300,5966310.0,45,C,175716007936,0.0,0.0,"CONSOLIDATION HIGH: 68, 3-6M: 33.7%, ATR contraction: 0.96, recent: 3.1%"
2025-09-04,NVDA,4,BUY,30,170.6199951171875,156.9703955078125,238.86799316406248,53.70852728032902,53.70852728032902,42.028745645097196,-2.725198942776408,-4.904694650298436,3.039335236297752,2.818208695228236,2.7561872683278974,1.113345952875325,1.088844110712975,1.0390987722254916,10.321728489916438,66,20,16,15,15,162364400,174665465.0,100,A,4154085081088,48.609684,109.417,"CONSOLIDATION HIGH: 66, 3-6M: 53.7%, ATR contraction: 1.04, recent: 3.8%"
2025-09-04,META,4,BUY,30,737.0499877929688,678.0859887695312,1031.8699829101563,34.78120286468849,34.78120286468849,12.158682475112691,-1.4270025314587542,-4.525965735747239,2.0665393292377763,2.2923625496977205,2.681151627485696,0.9569287210071393,1.1192256643934513,0.9569287210071393,10.325193846436953,66,15,21,15,15,7688600,9754845.0,100,A,1851572748288,26.733768,40.647998,"CONSOLIDATION HIGH: 66, 3-6M: 34.8%, ATR contraction: 0.96, recent: 3.0%"
