symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,conviction_level,holding_days,exit_month,exit_year
AAPL,2017-03-01,2018-06-05,32.406805046081544,45.346842300981905,7714,99819.44738430138,39.93,PROFIT_TARGET,3,461,2018-06,2018
AAPL,2018-08-08,2018-11-14,48.99398242950439,45.05192660322648,5102,-20112.368825669924,-8.045999999999987,STOP_LOSS,3,98,2018-11,2018
AAPL,2019-04-05,2019-05-23,47.09840468215942,43.308867041432876,5308,-20114.86579697649,-8.045999999999987,STOP_LOSS,3,48,2019-05,2019
AAPL,2019-06-28,2019-12-16,47.500579393386836,66.4675607451662,4210,79850.9914909911,39.93,PROFIT_TARGET,2,171,2019-12,2019
AAPL,2019-12-17,2020-03-12,67.75660917663573,62.304912402283634,3689,-20111.309400584898,-8.045999999999987,STOP_LOSS,3,86,2020-03,2020
AAPL,2020-06-09,2020-08-21,83.54249042129516,116.90100684651831,2992,99808.68114426768,39.93,PROFIT_TARGET,3,73,2020-08,2020
AAPL,2020-08-24,2020-09-08,122.48502477264404,112.62987967943711,1632,-16083.596792113707,-8.045999999999987,STOP_LOSS,2,15,2020-09,2020
AAPL,2020-09-09,2020-09-18,114.1763070602417,104.98968139417467,2189,-20109.523583020728,-8.045999999999987,STOP_LOSS,3,9,2020-09,2020
AAPL,2020-09-21,2021-09-02,107.13032061767578,149.90745764031374,2333,99799.06067381435,39.93000000000002,PROFIT_TARGET,3,346,2021-09,2021
AAPL,2021-09-07,2021-09-20,153.47215976715088,141.12378979228592,1628,-20103.146319080162,-8.046000000000008,STOP_LOSS,3,13,2021-09,2021
AAPL,2021-11-30,2022-03-14,162.1416382141113,149.09572200340392,1541,-20103.756880700086,-8.045999999999998,STOP_LOSS,3,104,2022-03,2022
AAPL,2023-03-31,2024-07-10,162.93642322540282,227.99693701930616,1534,99802.82815984772,39.93,PROFIT_TARGET,3,467,2024-07,2024
AAPL,2024-07-11,2024-08-05,226.36704846954345,208.15355574968402,883,-16082.514071635878,-8.045999999999987,STOP_LOSS,2,25,2024-08,2024
AAPL,2024-09-09,2024-12-31,219.9965857772827,249.4093973464966,1136,33412.953942627006,13.36966729065081,END_OF_PERIOD,3,113,2024-12,2024
MSFT,2016-12-29,2017-12-15,56.72145034217834,79.37032546381016,5289,119789.90051831068,39.93,PROFIT_TARGET,4,351,2017-12,2017
MSFT,2018-01-05,2019-04-12,81.30302133178711,113.7673177495697,3074,99795.24718826369,39.93,PROFIT_TARGET,3,462,2019-04,2019
MSFT,2019-06-21,2020-06-09,129.48574628448486,181.18940477587967,1930,99788.06088839198,39.93,PROFIT_TARGET,3,354,2020-06,2020
MSFT,2020-06-10,2021-07-02,188.37419984436033,263.5920178422134,1327,99814.04448315102,39.93,PROFIT_TARGET,3,387,2021-07,2021
MSFT,2021-07-13,2022-05-12,271.49908502197263,249.65426864110475,920,-20097.23107039845,-8.045999999999987,STOP_LOSS,3,303,2022-05,2022
MSFT,2023-04-10,2024-01-25,284.0127545013428,397.419047373729,704,79838.03018215988,39.93,PROFIT_TARGET,2,290,2024-01,2024
MSFT,2024-02-22,2024-12-31,407.3166546936035,418.9869654388428,613,7153.900486831694,2.8651690547782938,END_OF_PERIOD,3,313,2024-12,2024
GOOGL,2017-06-08,2017-07-03,49.93959965515136,45.92145946689789,5006,-20114.809782396864,-8.045999999999975,STOP_LOSS,3,25,2017-07,2017
GOOGL,2020-01-23,2020-02-27,73.82884238433837,67.8885737260945,3386,-20113.74967681373,-8.045999999999998,STOP_LOSS,3,35,2020-02,2020
GOOGL,2020-06-16,2021-02-03,71.92828015136719,100.64924241580812,4170,119766.41264271867,39.93000000000002,PROFIT_TARGET,4,232,2021-02,2021
GOOGL,2021-02-18,2021-10-29,104.71513505172729,146.527888477882,1909,79820.54629052932,39.93,PROFIT_TARGET,2,253,2021-10,2021
GOOGL,2021-11-12,2022-01-18,147.86552178955077,135.96826190636352,1690,-20106.369202586447,-8.045999999999998,STOP_LOSS,3,67,2022-01,2022
GOOGL,2023-05-11,2024-04-26,115.93299093246459,162.2250342117977,2156,99805.64531024217,39.93,PROFIT_TARGET,3,351,2024-04,2024
GOOGL,2024-05-01,2024-09-09,162.96455923461914,149.85243079860172,1227,-16088.581590993384,-8.045999999999987,STOP_LOSS,2,131,2024-09,2024
AMZN,2016-07-21,2017-07-26,37.24011114692688,52.11008752789478,8055,119777.65974869642,39.93,PROFIT_TARGET,4,370,2017-07,2017
AMZN,2018-01-12,2018-07-17,65.29263213729858,91.3639801497219,3828,99801.12019155645,39.92999999999998,PROFIT_TARGET,3,186,2018-07,2018
AMZN,2018-07-18,2018-10-24,92.1920767250061,84.77430223171211,2711,-20109.58665132001,-8.045999999999998,STOP_LOSS,3,98,2018-10,2018
AMZN,2019-03-28,2020-05-20,88.71533311843872,124.1393656326313,3381,119768.6539304851,39.93,PROFIT_TARGET,4,419,2020-05,2020
AMZN,2020-05-21,2020-08-26,122.39816648483276,171.27175436222646,2042,99799.86644563795,39.92999999999998,PROFIT_TARGET,3,97,2020-08,2020
AMZN,2020-08-27,2020-09-11,170.08499999999998,156.3999609,1763,-24126.72393329997,-8.045999999999987,STOP_LOSS,4,15,2020-09,2020
AMZN,2020-09-14,2022-01-21,155.22607278442382,142.73658296818908,1932,-24129.694324965512,-8.045999999999998,STOP_LOSS,4,494,2022-01,2022
AMZN,2022-08-10,2022-08-26,142.76134744262694,131.27476942739318,1400,-16081.209221327264,-8.045999999999998,STOP_LOSS,2,16,2022-08,2022
AMZN,2023-05-30,2024-02-02,121.72083366394043,170.32396254595184,1643,79854.94075314477,39.93,PROFIT_TARGET,2,248,2024-02,2024
AMZN,2024-02-06,2024-12-31,169.2345688934326,219.2803043899536,1477,73917.55132836154,29.571816103384265,END_OF_PERIOD,3,329,2024-12,2024
NVDA,2016-06-23,2016-09-30,1.1909166061878205,1.6664496070386172,167937,79859.58556388026,39.93,PROFIT_TARGET,2,99,2016-09,2016
