timestamp,symbol,action,price,quantity,value,reason,portfolio_value
2015-01-02 09:30:00-05:00,FPH.AX,buy,5.909999847412109,4230.0,24999.299354553223,"Conviction 2 | LOW conviction: 40, trend: 100, vol: 0.1x",100000.0
2015-01-02 09:30:00-05:00,RMD.AX,buy,6.929999828338623,3607.0,24996.509380817413,"Conviction 2 | LOW conviction: 40, trend: 100, vol: 0.3x",100000.0
2015-01-05 09:30:00-05:00,NST.AX,buy,1.5800000429153442,15890.0,25106.20068192482,"Conviction 2 | LOW conviction: 40, trend: 90, vol: 0.7x",100426.6114616394
2015-01-05 09:30:00-05:00,PME.AX,buy,1.149999976158142,21831.0,25105.6494795084,"Conviction 2 | LOW conviction: 50, trend: 90, vol: 1.6x",100426.6114616394
2015-01-20 09:30:00-05:00,FPH.AX,sell,5.449999809265137,4230.0,23053.49919319153,Stop Loss | P&L: -7.8%,114065.2156393528
2015-01-21 09:30:00-05:00,REA.AX,buy,46.810001373291016,476.0,22281.560653686523,"Conviction 1 | MINIMAL conviction: 35, trend: 80, vol: 1.5x",114897.90863370897
2015-03-02 09:30:00-05:00,NST.AX,sell,2.390000104904175,15890.0,37977.10166692734,HOME RUN TARGET | P&L: 51.3%,123054.23376452924
2015-03-03 09:30:00-05:00,NST.AX,buy,2.240000009536743,13699.0,30685.760130643845,"Conviction 2 | LOW conviction: 45, trend: 100, vol: 1.1x",122751.719506979
2015-03-03 09:30:00-05:00,TNE.AX,buy,3.7899999618530273,8097.0,30687.629691123962,"Conviction 2 | LOW conviction: 45, trend: 100, vol: 1.0x",122751.719506979
2015-03-09 10:30:00-04:00,NST.AX,sell,2.0799999237060547,13699.0,28493.918954849243,Stop Loss | P&L: -7.1%,121854.46051669122
2015-03-10 10:30:00-04:00,NST.AX,buy,2.069999933242798,2351.0,4866.569843053818,"Conviction 1 | MINIMAL conviction: 25, trend: 70, vol: 0.8x",121897.9247943163
2015-03-10 10:30:00-04:00,CPU.AX,buy,13.13992691040039,370.0,4861.7729568481445,"Conviction 2 | LOW conviction: 45, trend: 100, vol: 1.1x",121897.9247943163
2015-04-22 10:30:00-04:00,PME.AX,sell,1.725000023841858,21831.0,37658.4755204916,HOME RUN TARGET | P&L: 50.0%,132521.01208126545
2015-04-23 10:30:00-04:00,PME.AX,buy,1.7000000476837158,19365.0,32920.50092339516,"Conviction 4 | HIGH conviction: 75, trend: 100, vol: 2.1x",130652.95415246488
2015-04-29 10:30:00-04:00,CPU.AX,sell,12.129924774169922,370.0,4488.072166442871,Stop Loss | P&L: -7.7%,126232.79677915575
2015-05-04 10:30:00-04:00,RMD.AX,sell,8.460000038146973,3607.0,30515.22013759613,Trailing Stop | P&L: 22.1%,130814.15390300752
2015-05-06 10:30:00-04:00,REA.AX,sell,42.9900016784668,476.0,20463.240798950195,Stop Loss | P&L: -8.2%,127318.45739591123
2015-05-29 10:30:00-04:00,CPU.AX,buy,12.75374984741211,2144.0,27344.039672851562,"Conviction 1 | MINIMAL conviction: 30, trend: 70, vol: 2.0x",136757.79587984085
2015-06-05 10:30:00-04:00,FPH.AX,buy,6.460000038146973,4081.0,26363.260155677795,"Conviction 1 | MINIMAL conviction: 25, trend: 80, vol: 0.5x",131831.31414413452
2015-06-08 10:30:00-04:00,TNE.AX,sell,3.4800000190734863,8097.0,28177.56015443802,Stop Loss | P&L: -8.2%,129742.32241535188
2015-06-29 10:30:00-04:00,CPU.AX,sell,11.634825706481934,2144.0,24945.066314697266,Stop Loss | P&L: -8.8%,127308.51307511331
2015-07-20 10:30:00-04:00,CPU.AX,buy,12.446788787841797,2156.0,26835.276626586914,"Conviction 1 | MINIMAL conviction: 25, trend: 60, vol: 1.6x",134195.24348282814
2015-07-24 10:30:00-04:00,RMD.AX,buy,7.679999828338623,3498.0,26864.639399528503,"Conviction 1 | MINIMAL conviction: 27, trend: 75, vol: 1.2x",134343.31253385544
2015-07-27 10:30:00-04:00,TNE.AX,buy,3.809999942779541,335.0,1276.3499808311462,"Conviction 1 | MINIMAL conviction: 25, trend: 80, vol: 0.5x",132949.45565891266
2015-08-04 10:30:00-04:00,PME.AX,sell,2.680000066757202,19365.0,51898.20129275322,HOME RUN TARGET | P&L: 57.6%,137437.91977381706
2015-08-05 10:30:00-04:00,PME.AX,buy,2.5999999046325684,15865.0,41248.9984869957,"Conviction 3 | STANDARD conviction: 65, trend: 100, vol: 1.8x",137501.05658745766
2015-08-10 10:30:00-04:00,PME.AX,sell,2.109999895095825,15865.0,33475.14833569527,Stop Loss | P&L: -18.8%,130007.31547403336
2015-08-11 10:30:00-04:00,CPU.AX,sell,10.496099472045898,2156.0,22629.590461730957,Stop Loss | P&L: -15.7%,126230.84099531174
2015-08-13 10:30:00-04:00,REA.AX,buy,43.849998474121094,721.0,31615.84889984131,"Conviction 2 | LOW conviction: 47, trend: 65, vol: 2.2x",126599.99070239067
2015-08-24 10:30:00-04:00,RMD.AX,sell,6.96999979019165,3498.0,24381.059266090393,Stop Loss | P&L: -9.2%,120332.0992963314
2015-08-24 10:30:00-04:00,TNE.AX,sell,3.319999933242798,335.0,1112.1999776363373,Stop Loss | P&L: -12.9%,120332.0992963314
2015-08-24 10:30:00-04:00,REA.AX,sell,40.0099983215332,721.0,28847.20878982544,Stop Loss | P&L: -8.8%,120332.0992963314
2015-08-26 10:30:00-04:00,NST.AX,sell,1.8700000047683716,2351.0,4396.370011210442,Stop Loss | P&L: -9.7%,120924.29039728642
2015-09-09 10:30:00-04:00,REA.AX,buy,44.29999923706055,826.0,36591.79936981201,"Conviction 3 | STANDARD conviction: 65, trend: 80, vol: 2.8x",122066.96930754185
