Trade ID,Ticker,Direction,Status,Entry Date,Entry Price,Exit Date,Exit Price,Duration (Days),Position Size,Fees,Profit/Loss (PNL),Return (%)
0,MMM,Long,Closed,2021-03-15 04:00:00,134.0420,2021-05-12 04:00:00,140.6847,58,7.2465,1.9908,46.1457,4.7507
1,MMM,Long,Closed,2021-05-27 04:00:00,144.8341,2021-06-11 04:00:00,144.5277,15,4.0814,1.1810,-2.4316,-0.4113
2,MMM,Long,Closed,2022-05-04 04:00:00,112.7278,2022-05-11 04:00:00,107.0121,7,33.5069,7.3628,-198.8784,-5.2653
3,MMM,Long,Closed,2022-08-04 04:00:00,109.3561,2022-08-26 04:00:00,96.3217,22,3.4368,0.7069,-45.5036,-12.1073
4,MMM,Long,Closed,2022-11-10 05:00:00,96.3291,2022-11-29 05:00:00,95.1782,19,6.3290,1.2120,-8.4964,-1.3936
5,MMM,Long,Closed,2022-12-13 05:00:00,96.0535,2022-12-19 05:00:00,92.1598,6,1.0822,0.2037,-4.4175,-4.2497
6,MMM,Long,Closed,2023-01-17 05:00:00,95.5329,2023-01-23 05:00:00,92.5295,6,0.7277,0.1369,-2.3225,-3.3406
7,MMM,Long,Closed,2023-04-24 04:00:00,80.3284,2023-04-26 04:00:00,78.6921,2,5.5871,0.8885,-10.0302,-2.2349
8,MMM,Long,Closed,2023-04-28 04:00:00,81.2153,2023-05-02 04:00:00,78.7380,4,11.0265,1.7637,-29.0795,-3.2472
9,MMM,Long,Closed,2023-07-25 04:00:00,85.2520,2023-08-04 04:00:00,81.8987,10,15.6644,2.6183,-55.1450,-4.1294
10,MMM,Long,Closed,2023-08-29 04:00:00,83.1708,2023-09-19 04:00:00,78.9638,21,26.4473,4.2880,-115.5517,-5.2532
11,MMM,Long,Open,2023-11-17 05:00:00,76.2933,2023-12-29 05:00:00,87.4804,42,6.3114,0.4815,70.1246,14.5633
12,AOS,Long,Closed,2021-01-28 05:00:00,52.7954,2021-04-14 04:00:00,62.4342,75,63.7544,7.3464,607.1684,18.0386
13,AOS,Long,Closed,2021-04-27 04:00:00,63.1949,2021-05-18 04:00:00,64.1413,21,6.4125,0.8165,5.2522,1.2961
14,AOS,Long,Closed,2021-05-27 04:00:00,66.2182,2021-06-08 04:00:00,63.6942,12,8.0343,1.0438,-21.3219,-4.0077
15,AOS,Long,Closed,2021-11-01 04:00:00,70.1383,2021-12-20 05:00:00,74.4292,49,9.2378,1.3355,38.3029,5.9117
16,AOS,Long,Closed,2021-12-31 05:00:00,80.6074,2022-01-13 05:00:00,77.8751,13,15.0281,2.3817,-43.4426,-3.5862
17,AOS,Long,Closed,2022-07-27 04:00:00,57.3087,2022-08-22 04:00:00,58.2883,26,3.8592,0.4461,3.3342,1.5076
18,AOS,Long,Closed,2022-11-10 05:00:00,56.7045,2022-12-06 05:00:00,56.7906,26,9.6765,1.0982,-0.2652,-0.0483
19,AOS,Long,Closed,2023-01-03 05:00:00,56.3601,2023-02-22 05:00:00,62.9384,50,90.1142,10.7505,582.0429,11.4601
20,AOS,Long,Closed,2023-03-06 05:00:00,64.3131,2023-03-07 05:00:00,63.8228,1,11.1193,1.4248,-6.8766,-0.9616
21,AOS,Long,Closed,2023-03-09 05:00:00,64.8226,2023-03-13 04:00:00,63.2364,3,67.2467,8.6115,-115.2778,-2.6445
22,AOS,Long,Closed,2023-03-15 04:00:00,64.0920,2023-03-22 04:00:00,63.9189,7,19.7842,2.5326,-5.9560,-0.4697
23,AOS,Long,Closed,2023-04-14 04:00:00,64.5246,2023-05-11 04:00:00,66.0487,27,9.4846,1.2384,13.2166,2.1596
24,AOS,Long,Closed,2023-07-11 04:00:00,70.6836,2023-08-01 04:00:00,70.3812,21,3.6054,0.5086,-1.5991,-0.6275
25,AOS,Long,Open,2023-10-26 04:00:00,67.0168,2023-12-29 05:00:00,80.3104,64,131.7209,8.8275,1742.2288,19.7364
26,ABT,Long,Closed,2021-01-28 05:00:00,111.4253,2021-02-23 05:00:00,111.8048,26,27.1872,6.0690,4.2477,0.1402
27,ABT,Long,Closed,2021-03-19 04:00:00,111.2957,2021-04-20 04:00:00,111.4721,32,3.3648,0.7496,-0.1560,-0.0416
28,ABT,Long,Closed,2021-07-19 04:00:00,110.7682,2021-09-22 04:00:00,116.2325,65,40.3394,9.1571,211.2689,4.7281
29,ABT,Long,Closed,2021-11-29 05:00:00,119.8452,2021-12-01 05:00:00,118.6377,2,59.0713,14.0875,-85.4172,-1.2066
30,ABT,Long,Closed,2021-12-06 05:00:00,124.0014,2022-01-07 05:00:00,126.8938,32,29.0034,7.2768,76.6147,2.1303
31,ABT,Long,Closed,2022-04-06 04:00:00,112.6684,2022-04-12 04:00:00,111.2124,6,18.6864,4.1835,-31.3917,-1.4910
32,ABT,Long,Closed,2022-07-19 04:00:00,104.1377,2022-08-09 04:00:00,102.2241,21,16.1155,3.3256,-34.1640,-2.0357
33,ABT,Long,Closed,2022-08-18 04:00:00,104.1661,2022-08-22 04:00:00,101.7884,4,3.2415,0.6676,-8.3750,-2.4804
34,ABT,Long,Closed,2022-11-29 05:00:00,99.9368,2022-12-06 05:00:00,98.8518,7,17.5828,3.4953,-22.5733,-1.2846
35,ABT,Long,Closed,2022-12-09 05:00:00,102.3258,2022-12-19 05:00:00,101.4501,10,48.4855,9.8802,-52.3361,-1.0549
36,ABT,Long,Closed,2023-01-04 05:00:00,105.8473,2023-01-26 05:00:00,106.1927,22,3.4515,0.7319,0.4603,0.1260
37,ABT,Long,Closed,2023-04-18 04:00:00,100.0742,2023-05-15 04:00:00,105.5416,27,16.4418,3.3807,86.5118,5.2578
38,ABT,Long,Closed,2023-07-24 04:00:00,110.6627,2023-08-02 04:00:00,104.8698,9,11.8370,2.5513,-71.1211,-5.4295
39,ABT,Long,Open,2023-11-16 05:00:00,97.3343,2023-12-29 05:00:00,106.8581,43,1.9529,0.1901,18.4091,9.6846
40,ABBV,Long,Closed,2021-05-05 04:00:00,99.1112,2021-05-25 04:00:00,98.0669,20,12.3188,2.4290,-15.2941,-1.2527
