timestamp,symbol,action,price,quantity,value,reason,portfolio_value,strategy
2015-01-02 09:30:00-05:00,AVGO,buy,10.059000015258789,1491.0,14997.969022750854,"FAIR: 45, 3-6M: 56.2%",100000.0,consolidation_conviction
2015-01-02 09:30:00-05:00,HD,buy,104.97000122070312,190.0,19944.300231933594,"GOOD: 50, 3-6M: 31.6%, ATR: 0.96",100000.0,consolidation_conviction
2015-01-05 09:30:00-05:00,AAPL,buy,27.332500457763672,545.0,14896.212749481201,"FAIR: 40, 3-6M: 44.8%",99419.57241249084,consolidation_conviction
2015-01-30 09:30:00-05:00,META,buy,78.0,262.0,20436.0,"GOOD: 50, 3-6M: 32.0%, ATR: 0.92",102255.56280994415,consolidation_conviction
2015-01-30 09:30:00-05:00,UNH,buy,109.38999938964844,140.0,15314.599914550781,"FAIR: 40, 3-6M: 37.6%",102255.56280994415,consolidation_conviction
2015-02-02 09:30:00-05:00,NFLX,buy,63.11428451538086,230.0,14516.285438537598,"FAIR: 35, 3-6M: 33.3%",100843.7307100296,consolidation_conviction
2015-02-13 09:30:00-05:00,DIS,buy,103.58000183105469,1.0,103.58000183105469,"FAIR: 40, 3-6M: 30.6%",105582.25775909424,consolidation_conviction
2015-02-13 09:30:00-05:00,V,buy,67.72750091552734,1.0,67.72750091552734,"FAIR: 35, 3-6M: 33.7%",105582.25775909424,consolidation_conviction
2015-03-26 10:30:00-04:00,AVGO,sell,12.026000022888184,1491.0,17930.76603412628,Trailing Stop | P&L: 19.6%,107949.7959318161,consolidation_conviction
2015-03-27 10:30:00-04:00,AVGO,buy,12.470999717712402,1433.0,17870.942595481873,"GOOD: 60, 3-6M: 73.8%, ATR: 1.12",108057.05617809296,consolidation_conviction
2015-03-27 10:30:00-04:00,NKE,buy,49.665000915527344,359.0,17829.735328674316,"GOOD: 55, 3-6M: 32.2%, ATR: 0.94",108057.05617809296,consolidation_conviction
2015-05-19 10:30:00-04:00,NFLX,sell,88.8885726928711,230.0,20444.37171936035,PROFIT TARGET | P&L: 40.8%,118263.85126495361,consolidation_conviction
2015-07-02 10:30:00-04:00,HD,sell,112.58000183105469,190.0,21390.20034790039,Time Exit | P&L: 7.2%,120813.62332820892,consolidation_conviction
2015-07-06 10:30:00-04:00,AAPL,sell,31.235000610351562,545.0,17023.0753326416,Time Exit | P&L: 14.3%,119712.93632984161,consolidation_conviction
2015-07-06 10:30:00-04:00,LLY,buy,86.13999938964844,208.0,17917.119873046875,"FAIR: 35, 3-6M: 30.7%",119712.93632984161,consolidation_conviction
2015-07-06 10:30:00-04:00,AMZN,buy,21.885499954223633,1093.0,23920.85144996643,"GOOD: 60, 3-6M: 35.1%, ATR: 0.89",119712.93632984161,consolidation_conviction
2015-07-30 10:30:00-04:00,UNH,sell,121.13999938964844,140.0,16959.59991455078,Time Exit | P&L: 10.7%,126539.1966123581,consolidation_conviction
2015-07-31 10:30:00-04:00,NFLX,buy,111.55999755859375,147.0,16399.31964111328,"FAIR: 40, 3-6M: 78.2%",127776.10489845276,consolidation_conviction
2015-07-31 10:30:00-04:00,MA,buy,98.41000366210938,167.0,16434.470611572266,"GOOD: 50, 3-6M: 38.6%, ATR: 1.01",127776.10489845276,consolidation_conviction
2015-08-13 10:30:00-04:00,DIS,sell,107.20999908447266,1.0,107.20999908447266,Time Exit | P&L: 3.5%,126846.13729858398,consolidation_conviction
2015-08-13 10:30:00-04:00,V,sell,73.43000030517578,1.0,73.43000030517578,Time Exit | P&L: 8.4%,126846.13729858398,consolidation_conviction
2015-08-21 10:30:00-04:00,META,sell,87.5199966430664,262.0,22930.2391204834,Time Exit | P&L: 12.2%,119858.54914283752,consolidation_conviction
2015-08-21 10:30:00-04:00,AVGO,sell,11.274999618530273,1433.0,16157.074453353882,Stop Loss | P&L: -9.6%,119858.54914283752,consolidation_conviction
2015-08-21 10:30:00-04:00,AMZN,sell,25.368000030517578,1093.0,27727.224033355713,Trailing Stop | P&L: 15.9%,119858.54914283752,consolidation_conviction
2015-08-24 10:30:00-04:00,NFLX,sell,88.75,147.0,13046.25,Stop Loss | P&L: -20.4%,112821.1539440155,consolidation_conviction
2015-08-24 10:30:00-04:00,MA,sell,85.5,167.0,14278.5,Stop Loss | P&L: -13.1%,112821.1539440155,consolidation_conviction
2015-08-24 10:30:00-04:00,AMZN,buy,24.723499298095703,684.0,16910.87351989746,"FAIR: 40, 3-6M: 66.8%",112821.1539440155,consolidation_conviction
2015-08-27 10:30:00-04:00,NFLX,buy,110.12999725341797,158.0,17400.53956604004,"FAIR: 40, 3-6M: 99.1%",116389.86442375183,consolidation_conviction
2015-08-27 10:30:00-04:00,AVGO,buy,11.619999885559082,1502.0,17453.23982810974,"FAIR: 35, 3-6M: 35.3%",116389.86442375183,consolidation_conviction
