symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,conviction_level,holding_days,exit_month,exit_year
AAPL,2017-03-01,2018-06-05,32.345155431747436,45.26057599564419,7729,99823.285538358,39.93,PROFIT_TARGET,3,461,2018-06,2018
AAPL,2018-08-08,2018-11-14,48.9007771282196,44.96622060048306,5112,-20113.45296978919,-8.045999999999975,STOP_LOSS,3,98,2018-11,2018
AAPL,2019-04-05,2019-05-23,47.00879462242126,43.226467007101256,5318,-20114.4182582718,-8.045999999999987,STOP_LOSS,3,48,2019-05,2019
AAPL,2019-06-28,2019-12-16,47.41021364593506,66.34111195475693,4218,79850.52906661063,39.93,PROFIT_TARGET,2,171,2019-12,2019
AAPL,2019-12-17,2020-03-12,67.6276842727661,62.18636079617935,3696,-20111.13156946464,-8.045999999999987,STOP_LOSS,3,86,2020-03,2020
AAPL,2020-06-09,2020-08-21,83.3835746383667,116.67863599146652,2998,99818.59393659327,39.93,PROFIT_TARGET,3,73,2020-08,2020
AAPL,2020-08-24,2020-09-08,122.25202869415283,112.4156304654213,1635,-16082.511103976043,-8.045999999999987,STOP_LOSS,2,15,2020-09,2020
AAPL,2020-09-09,2020-09-18,113.95912699127197,104.78997563355423,2193,-20107.948927474998,-8.045999999999998,STOP_LOSS,3,9,2020-09,2020
AAPL,2020-09-21,2021-09-02,106.92651393127441,149.6222709440323,2338,99822.67989582793,39.93,PROFIT_TARGET,3,346,2021-09,2021
AAPL,2021-09-07,2021-09-20,153.1802047805786,140.85532550393324,1632,-20114.20297948523,-8.046000000000008,STOP_LOSS,3,13,2021-09,2021
AAPL,2021-11-30,2022-03-14,161.83319549560545,148.81209658602904,1544,-20104.576716385975,-8.045999999999998,STOP_LOSS,3,104,2022-03,2022
AAPL,2023-03-31,2024-07-10,162.62648439788816,227.5632396179649,1537,99807.79277325796,39.93,PROFIT_TARGET,3,467,2024-07,2024
AAPL,2024-07-11,2024-08-05,225.93639807128906,207.75755548247315,885,-16088.27569110208,-8.045999999999998,STOP_LOSS,2,25,2024-08,2024
AAPL,2024-09-09,2025-04-04,219.57807218170166,201.91082049396195,1138,-20105.33242064779,-8.045999999999998,STOP_LOSS,3,207,2025-04,2025
AAPL,2025-10-09,2026-03-20,253.6834800109863,247.8660104904175,985,-5730.207477760275,-2.2931999830327454,END_OF_PERIOD,3,162,2026-03,2026
