timestamp,symbol,action,price,quantity,value,reason,portfolio_value,market_regime,strategy
2020-01-02 09:30:00-05:00,SUL.AX,buy,10.168085098266602,1475.0,14997.925519943237,"ASX GOOD: 55, 3-6M: 34.4%, ATR: 0.91",100000.0,WEAK,consolidation_conviction_asx300
2020-01-02 09:30:00-05:00,LLC.AX,buy,17.950000762939453,835.0,14988.250637054443,"ASX FAIR: 40, 3-6M: 45.6%",100000.0,WEAK,consolidation_conviction_asx300
2020-01-03 09:30:00-05:00,NEU.AX,buy,2.609999895095825,5747.0,14999.669397115707,"ASX GOOD: 55, 3-6M: 133.0%, ATR: 0.97",100000.0,WEAK,consolidation_conviction_asx300
2020-01-03 09:30:00-05:00,GOR.AX,buy,1.3700000047683716,10948.0,14998.760052204132,"ASX FAIR: 35, 3-6M: 39.1%",100000.0,WEAK,consolidation_conviction_asx300
2020-01-06 09:30:00-05:00,REA.AX,buy,107.30000305175781,140.0,15022.000427246094,"ASX HIGH: 60, 3-6M: 41.7%, ATR: 0.92",100842.831823349,WEAK,consolidation_conviction_asx300
2020-01-06 09:30:00-05:00,CAR.AX,buy,16.226163864135742,932.0,15122.784721374512,"ASX GOOD: 55, 3-6M: 37.5%, ATR: 0.95",100842.831823349,WEAK,consolidation_conviction_asx300
2020-01-07 09:30:00-05:00,JBH.AX,buy,39.22999954223633,271.0,10631.329875946045,"ASX HIGH: 63, 3-6M: 65.6%, ATR: 1.00",101538.12077593803,STRONG,consolidation_conviction_asx300
2020-01-07 09:30:00-05:00,KMD.AX,buy,2.3248350620269775,4575.0,10636.120408773422,"ASX GOOD: 50, 3-6M: 41.3%, ATR: 1.10",101538.12077593803,STRONG,consolidation_conviction_asx300
2020-01-21 09:30:00-05:00,SUL.AX,sell,9.187909126281738,1475.0,13552.165961265564,Stop Loss | P&L: -9.6%,102453.6814315319,STRONG,consolidation_conviction_asx300
2020-01-22 09:30:00-05:00,NST.AX,buy,12.739999771118164,223.0,2841.0199489593506,"ASX FAIR: 40, 3-6M: 40.8%",102937.07721138,STRONG,consolidation_conviction_asx300
2020-01-22 09:30:00-05:00,FMG.AX,buy,12.6899995803833,224.0,2842.5599060058594,"ASX FAIR: 43, 3-6M: 54.9%",102937.07721138,STRONG,consolidation_conviction_asx300
2020-01-27 09:30:00-05:00,FMG.AX,sell,11.5,224.0,2576.0,Stop Loss | P&L: -9.4%,100696.15420413017,STRONG,consolidation_conviction_asx300
