symbol,entry_date,entry_price,shares,position_value,conviction_level,stop_price,stop_percent,target_1_price,target_2_price,target_3_price,position_risk_pct,dollar_risk,exit_date,exit_price,exit_reason,pnl_dollars,pnl_percent,r_multiple,holding_days
AAPL,2020-01-01,70.82083889007568,5648,400000.0,4,68.76,2.91,72.88,74.95,77.01,0.582,11639.62,2020-01-08,73.04855571746826,PROFIT_TARGET_1,11765.66444956843,2.9384776347573505,1.010829083726558,7
ALGN,2020-01-01,279.17952854919434,1432,400000.0,4,267.43,4.21,290.93,302.68,314.43,0.841,16825.32,2020-01-09,296.39173854064944,PROFIT_TARGET_1,23608.536620619823,5.896237917237719,1.403154874307978,8
BX,2020-01-09,46.5662936668396,8589,400000.0,5,45.45,2.39,48.05,49.54,51.02,0.479,9587.85,2020-01-16,48.36928546714783,PROFIT_TARGET_1,14628.349084455403,3.653433837276574,1.5257179370524663,7
ACIW,2020-01-01,37.90894438934326,10551,400000.0,4,36.68,3.23,39.13,40.36,41.59,0.648,12966.59,2020-01-23,36.68,STOP_LOSS,-13776.330680000014,-3.440642027972032,-1.0624480520637034,22
ADSK,2020-01-17,193.44668110656738,2067,400000.0,5,188.75,2.43,199.71,205.96,212.22,0.485,9708.04,2020-01-28,199.92998377990725,PROFIT_TARGET_1,12442.021196595218,3.107397901247557,1.2816203262791424,11
AAPL,2020-01-10,74.84363938522338,5344,400000.0,4,72.27,3.44,77.41,79.99,82.56,0.688,13753.53,2020-01-29,78.14430368804932,PROFIT_TARGET_1,16785.5557500266,4.192196740765884,1.2204544668521338,19
DAY,2020-01-09,71.51574335861206,5593,400000.0,5,69.41,2.94,74.32,77.13,79.93,0.589,11777.42,2020-01-30,74.79258683013916,PROFIT_TARGET_1,17496.62320282735,4.369786014692146,1.4856071476809682,21
DVA,2020-01-24,83.23159744262695,4805,400000.0,5,81.38,2.22,85.7,88.16,90.63,0.445,8896.93,2020-01-31,81.38,STOP_LOSS,-9760.130900000047,-2.4375951298701417,-1.0970228611699524,7
GE,2020-01-29,62.66773559761047,6382,400000.0,5,60.03,4.2,66.18,69.69,73.21,0.842,16834.03,2020-02-03,60.03,STOP_LOSS,-17671.651459999965,-4.413499365634356,-1.0497577197206698,5
AMD,2020-01-02,49.12454847335815,8142,400000.0,5,46.7,4.93,52.35,55.58,58.81,0.987,19740.67,2020-02-11,53.77309923744202,PROFIT_TARGET_1,36982.75341726164,9.236451902412998,1.873429146104106,40
DXCM,2020-01-31,60.21759375,6642,400000.0,4,56.44,6.28,64.0,67.78,71.56,1.255,25090.78,2020-02-14,70.94201216506958,PROFIT_TARGET_1,70325.64795559179,17.56384814075719,2.8028484741079738,14
LLY,2020-01-30,132.57434120178223,3017,400000.0,5,129.11,2.62,137.2,141.82,146.45,0.523,10451.92,2020-02-24,129.11,STOP_LOSS,-11264.65486999997,-2.8133503671328595,-1.0777596523843367,25
