symbol,entry_date,entry_price,shares,position_value,conviction_level,stop_price,stop_percent,target_1_price,target_2_price,target_3_price,position_risk_pct,dollar_risk,exit_date,exit_price,exit_reason,pnl_dollars,pnl_percent,r_multiple,holding_days
AXON,2020-01-02,76.59827755737304,1749,134000.0,3,72.33,5.58,80.02,83.44,86.85,0.373,7465.22,2020-01-06,72.33,STOP_LOSS,-7755.335170000006,-5.781781777923573,-1.0388625949855341,4
TSLA,2020-01-08,32.825738468170165,4082,134000.0,3,30.2,8.0,34.99,37.16,39.33,0.536,10718.26,2020-01-13,34.97317010307312,PROFIT_TARGET_1,8483.719880383753,6.3248094296626896,0.7915199273267434,5
DAY,2020-01-02,70.05500664138793,1912,134000.0,3,66.54,5.01,72.86,75.67,78.48,0.336,6720.69,2020-01-15,73.31332347488404,PROFIT_TARGET_1,5900.899409494334,4.399257018723317,0.8780195248262672,13
FCX,2020-01-13,12.591120790958405,10642,134000.0,3,11.86,5.8,13.18,13.76,14.35,0.389,7780.59,2020-01-21,11.86,STOP_LOSS,-8046.094120000009,-5.998549301444831,-1.0341242437123235,8
SIG,2020-01-16,28.148226167678832,4760,134000.0,5,26.74,5.0,31.6,35.05,38.5,0.335,6703.16,2020-01-21,26.74,STOP_LOSS,-6978.882400000002,-5.202918275754098,-1.0411337314676714,5
BX,2020-01-16,48.41767894935607,2767,134000.0,3,46.38,4.22,50.05,51.68,53.32,0.282,5638.26,2020-01-22,50.55655340766907,PROFIT_TARGET_1,5616.093295741302,4.186927472334608,0.9960689350342707,6
BOOT,2020-01-06,47.133555610656735,2842,134000.0,3,43.36,8.0,50.41,53.69,56.96,0.536,10724.45,2020-01-24,43.36,STOP_LOSS,-11028.109120000008,-8.221710468635848,-1.028315131759789,18
MS,2020-01-16,46.47838962936401,2883,134000.0,4,44.92,3.36,48.04,49.6,51.16,0.225,4492.84,2020-01-24,44.92,STOP_LOSS,-4759.144360000006,-3.5480522164402806,-1.0592736929194482,8
QCOM,2020-01-17,83.47339461135864,1605,134000.0,3,78.88,5.5,87.15,90.82,94.49,0.369,7372.4,2020-01-24,78.88,STOP_LOSS,-7658.202400000009,-5.709367050859595,-1.0387667669533447,7
INTC,2020-01-22,55.36128878974914,2420,134000.0,3,53.05,4.17,57.21,59.05,60.9,0.28,5593.32,2020-01-24,60.36663309669495,PROFIT_TARGET_1,11807.164841907768,8.802514531668159,2.1109407694808535,2
CFG,2020-01-17,30.990690161705015,4323,134000.0,3,29.61,4.46,32.1,33.2,34.31,0.298,5968.72,2020-01-27,29.61,STOP_LOSS,-6257.974029999998,-4.665464408725601,-1.0484610248075565,10
DDOG,2020-01-06,39.919951526641846,3356,134000.0,4,37.13,7.0,43.47,47.01,50.56,0.468,9363.08,2020-01-29,43.89803816986084,PROFIT_TARGET_1,13040.494281954918,9.721990160552073,1.3927572988584034,23
MU,2020-01-07,56.88228587722778,2355,134000.0,4,53.79,5.43,59.97,63.06,66.15,0.364,7282.33,2020-01-30,53.79,STOP_LOSS,-7585.225449999998,-5.654961046416269,-1.0415927422036415,23
GE,2020-01-29,62.66773559761047,2138,134000.0,5,60.03,4.2,66.18,69.69,73.21,0.282,5639.48,2020-02-03,60.03,STOP_LOSS,-5918.204140000002,-4.412158095635709,-1.0494239710363091,5
TSLA,2020-01-30,42.74202912712097,3135,134000.0,3,39.32,8.0,46.64,50.55,54.45,0.536,10728.06,2020-02-03,51.974000000000004,PROFIT_TARGET_1,28641.55151000002,21.352939232409398,2.6697788792363886,4
PENN,2020-01-29,29.034510457992553,4615,134000.0,5,27.58,5.0,31.16,33.29,35.41,0.336,6712.57,2020-02-04,32.10393893241883,PROFIT_TARGET_1,13877.51849493978,10.346011074701254,2.0673940462705396,6
TSLA,2020-02-04,59.16690158271789,2264,134000.0,4,55.03,7.0,65.58,72.0,78.41,0.468,9365.95,2020-02-05,55.03,STOP_LOSS,-9670.667920000007,-7.209706651557403,-1.0325351825965103,1
PTCT,2020-01-07,51.51574667930603,2601,134000.0,3,48.03,6.76,54.3,57.09,59.87,0.453,9066.43,2020-02-06,54.907533872604375,PROFIT_TARGET_1,8537.681107041339,6.3650387724524276,0.941680884956018,30
SONO,2020-02-06,15.767880228996276,8498,134000.0,5,14.98,5.0,17.08,18.38,19.69,0.335,6695.41,2020-02-07,14.98,STOP_LOSS,-6961.260039999994,-5.189780398705767,-1.0397069044959706,1
