symbol,entry_date,entry_price,shares,position_value,conviction_level,stop_price,stop_percent,target_1_price,target_2_price,target_3_price,position_risk_pct,dollar_risk,exit_date,exit_price,exit_reason,pnl_dollars,pnl_percent,r_multiple,holding_days
AXON,2020-01-02,76.59827755737304,2611,200000.0,5,74.03,3.35,80.02,83.44,86.85,0.335,6705.77,2020-01-03,74.03,STOP_LOSS,-7100.96232999998,-3.5469342307692204,-1.0589327502203254,1
PAYC,2020-01-01,258.92731155395506,772,200000.0,5,250.07,3.42,270.73,282.54,294.35,0.342,6837.84,2020-01-06,271.6917839050293,PROFIT_TARGET_1,9336.311117507925,4.663492066687275,1.3653880386828807,5
WBD,2020-01-01,32.75637167930603,6105,200000.0,5,32.01,2.29,33.76,34.76,35.76,0.228,4556.6,2020-01-06,32.01,STOP_LOSS,-4974.371050000016,-2.484700824175832,-1.0916850349284317,5
FAST,2020-01-02,15.880247747898101,12594,200000.0,5,15.5,2.41,16.39,16.9,17.41,0.239,4788.84,2020-01-06,15.5,STOP_LOSS,-5188.206999999995,-2.5915119880119857,-1.0833953215275003,4
SONO,2020-01-01,15.627809885501861,12797,200000.0,5,14.99,4.08,16.48,17.33,18.18,0.408,8162.05,2020-01-08,14.99,STOP_LOSS,-8564.797029999987,-4.278120394605388,-1.0493434580813294,7
AAPL,2020-01-07,71.964049369812,2779,200000.0,4,69.77,3.05,74.16,76.35,78.54,0.305,6097.26,2020-01-09,74.60017819976807,PROFIT_TARGET_1,6906.581321938313,3.4498408201490074,1.1327346543613694,2
URI,2020-01-03,160.2100698852539,1248,200000.0,5,155.44,2.98,166.57,172.93,179.29,0.298,5953.05,2020-01-10,155.44,STOP_LOSS,-6404.869120000018,-3.1992353246753336,-1.0758975843377023,7
AMP,2020-01-07,149.01862490844726,1342,200000.0,5,146.55,1.66,152.31,155.61,158.9,0.166,3312.89,2020-01-13,152.5363645629883,PROFIT_TARGET_1,4299.097442286758,2.1474013198235555,1.2976861404140263,6
PTCT,2020-01-07,51.51574667930603,3882,200000.0,5,49.43,4.05,54.3,57.09,59.87,0.405,8096.87,2020-01-13,49.43,STOP_LOSS,-8504.62725999998,-4.248065564435554,-1.0503600429525828,6
AMAT,2020-01-06,56.54772613334656,3536,200000.0,5,54.93,2.87,58.71,60.87,63.04,0.286,5720.28,2020-01-14,58.81159435462952,PROFIT_TARGET_1,7549.839840332017,3.771148771394614,1.3198375531181221,8
AL,2020-01-02,42.03658701324463,4757,200000.0,5,41.18,2.05,43.18,44.33,45.48,0.204,4074.78,2020-01-15,43.43225631523133,PROFIT_TARGET_1,6200.63604826387,3.0972208033286064,1.5217089804258426,13
TGT,2020-01-03,105.41783302688599,1897,200000.0,5,103.17,2.14,108.42,111.42,114.43,0.213,4264.14,2020-01-15,103.17,STOP_LOSS,-4682.223490000004,-2.338772972027974,-1.0980465724239494,12
GNRC,2020-01-09,99.44970152664185,2011,200000.0,5,96.91,2.56,102.84,106.23,109.62,0.255,5107.34,2020-01-16,103.86803816986084,PROFIT_TARGET_1,8469.746134830551,4.230642424990286,1.6583478907069575,7
SWK,2020-01-10,136.7547445678711,1462,200000.0,5,134.25,1.83,140.09,143.42,146.76,0.183,3661.94,2020-01-16,140.3215735244751,PROFIT_TARGET_1,4744.9903522898385,2.3701250510938254,1.2957598464203153,6
BIIB,2020-01-14,299.1194862213135,668,200000.0,5,290.83,2.77,310.17,321.21,332.26,0.277,5537.38,2020-01-16,290.83,STOP_LOSS,-6119.834440000006,-3.0568603596403627,-1.105186564981534,2
PH,2020-01-17,189.8851630783081,1053,200000.0,5,185.57,2.27,195.64,201.39,207.14,0.227,4543.87,2020-01-21,185.57,STOP_LOSS,-4990.195210000005,-2.4926050000000024,-1.0982265801137572,4
CAG,2020-01-17,25.434461897850035,7863,200000.0,5,24.68,2.95,26.44,27.44,28.44,0.297,5932.33,2020-01-22,24.68,STOP_LOSS,-6335.218840000016,-3.1644449750249835,-1.0679133952684934,5
BMY,2020-01-13,52.59946010971069,3802,200000.0,5,51.49,2.1,54.07,55.55,57.02,0.211,4218.17,2020-01-24,51.49,STOP_LOSS,-4630.784979999997,-2.313079410589409,-1.097819173565948,11
