symbol,entry_date,entry_price,shares,position_value,conviction_level,stop_price,stop_percent,target_1_price,target_2_price,target_3_price,position_risk_pct,dollar_risk,exit_date,exit_price,exit_reason,pnl_dollars,pnl_percent,r_multiple,holding_days
AAPL,2020-01-01,70.82083889007568,5648,400000.0,5,69.27,2.18,72.88,74.95,77.01,0.438,8759.14,2020-01-08,73.04855571746826,PROFIT_TARGET_1,11765.66444956843,2.9384776347573505,1.3432445499619823,7
BMY,2020-01-01,50.683131483078,7892,400000.0,5,49.59,2.15,52.14,53.59,55.04,0.431,8626.99,2020-01-13,52.54688693618775,PROFIT_TARGET_1,13885.33166869334,3.4678650521212133,1.6095214867155092,12
ADBE,2020-01-02,334.5972076721191,1195,400000.0,5,327.1,2.24,344.6,354.6,364.61,0.448,8959.16,2020-01-13,345.4571898803711,PROFIT_TARGET_1,12008.520565136452,2.999131010273839,1.3403618551991183,11
C,2020-01-01,63.93247058486938,6256,400000.0,5,62.74,1.87,65.53,67.12,68.71,0.373,7460.1,2020-01-24,62.74,STOP_LOSS,-8291.06144000002,-2.0706946653346705,-1.111388038894234,23
BMY,2020-01-14,52.830047910690304,7571,400000.0,5,51.7,2.13,54.33,55.83,57.33,0.428,8555.59,2020-01-24,51.7,STOP_LOSS,-9370.720700000005,-2.3403398351648366,-1.095274283584182,10
AMAT,2020-01-14,58.870435369491574,6794,400000.0,5,57.04,3.1,61.31,63.74,66.17,0.622,12435.98,2020-01-27,57.04,STOP_LOSS,-13257.769759999996,-3.3111313086913077,-1.0660818044435982,13
AAPL,2020-01-09,74.67481569671631,5356,400000.0,5,72.8,2.51,77.17,79.67,82.16,0.502,10041.51,2020-01-29,78.14430368804932,PROFIT_TARGET_1,17722.349662638968,4.426161254405336,1.7649083249935567,20
MRNA,2020-01-27,22.751369771003723,17581,400000.0,4,21.16,7.0,25.25,27.75,30.25,1.399,27977.87,2020-01-29,21.16,STOP_LOSS,-28758.05395999999,-7.182331158841157,-1.0278856811391757,2
CRI,2020-01-28,91.10272616958618,4390,400000.0,5,88.62,2.72,94.41,97.72,101.02,0.545,10899.17,2020-01-31,88.62,STOP_LOSS,-11747.24179999996,-2.9338765734265633,-1.077810886528689,3
ADBE,2020-01-28,354.8073198852539,1127,400000.0,5,346.45,2.36,365.95,377.09,388.24,0.471,9418.7,2020-02-04,366.5566202392578,PROFIT_TARGET_1,12296.2016986339,3.0709794452132617,1.3055095010398794,7
AES,2020-01-09,16.109819377899168,24829,400000.0,5,15.76,2.16,16.57,17.04,17.5,0.434,8685.67,2020-02-05,16.607775103569033,PROFIT_TARGET_1,11542.093598468986,2.882640758858388,1.3288669497172103,27
CBRE,2020-01-30,61.91094106864929,6460,400000.0,5,60.59,2.14,63.67,65.44,67.2,0.427,8533.28,2020-02-05,63.8980353050232,PROFIT_TARGET_1,11968.526762379392,2.989142548046801,1.402570610516211,6
