symbol,entry_date,entry_price,shares,position_value,conviction_level,stop_price,stop_percent,target_1_price,target_2_price,target_3_price,position_risk_pct,dollar_risk,exit_date,exit_price,exit_reason,pnl_dollars,pnl_percent,r_multiple,holding_days
AMAT,2020-01-02,58.7288088054657,2826,166000.0,5,57.21,2.58,60.75,62.77,64.79,0.215,4292.15,2020-01-06,57.21,STOP_LOSS,-4652.215460000007,-2.7997396940409027,-1.0838883698585917,4
AAPL,2020-01-01,70.82083889007568,2343,166000.0,5,69.27,2.18,72.88,74.95,77.01,0.182,3633.62,2020-01-08,73.04855571746826,PROFIT_TARGET_1,4815.613279982121,2.8980737816292867,1.3252952202038655,7
BMY,2020-01-01,50.683131483078,3275,166000.0,5,49.59,2.15,52.14,53.59,55.04,0.179,3580.01,2020-01-13,52.54688693618775,PROFIT_TARGET_1,5752.963661298854,3.4621785812373496,1.6069705728730694,12
ADBE,2020-01-02,334.5972076721191,496,166000.0,5,327.1,2.24,344.6,354.6,364.61,0.186,3718.62,2020-01-13,345.4571898803711,PROFIT_TARGET_1,5009.419414483418,3.014707831014418,1.3471196688143157,11
FTNT,2020-01-03,22.2531215801239,7459,166000.0,5,21.58,3.03,23.15,24.05,24.95,0.251,5020.81,2020-01-13,23.326330344200137,PROFIT_TARGET_1,7651.106939351419,4.6044960698045445,1.5238778300353966,10
DVA,2020-01-06,75.58777805328369,2196,166000.0,5,73.97,2.14,77.74,79.89,82.05,0.178,3552.64,2020-01-14,77.71112500000001,PROFIT_TARGET_1,4316.976869500038,2.5979904851173155,1.215145957463576,8
AL,2020-01-15,43.4757102985382,3818,166000.0,5,42.45,2.36,44.84,46.21,47.57,0.196,3916.16,2020-01-21,42.45,STOP_LOSS,-4253.974099999992,-2.5600749250749204,-1.0862610349361572,6
GE,2020-01-03,57.9700830745697,2863,166000.0,5,56.21,3.04,60.32,62.67,65.02,0.252,5039.12,2020-01-22,56.21,STOP_LOSS,-5397.699229999998,-3.248377664504169,-1.0711595558419296,19
C,2020-01-01,63.93247058486938,2596,166000.0,5,62.74,1.87,65.53,67.12,68.71,0.155,3095.65,2020-01-24,62.74,STOP_LOSS,-3455.8330399999977,-2.079747385144974,-1.1163500325813132,23
BOOT,2020-01-03,45.372673473358155,3658,166000.0,5,43.1,5.0,48.46,51.54,54.63,0.416,8313.44,2020-01-24,43.1,STOP_LOSS,-8663.859799999977,-5.213978671930465,-1.0421510533267364,21
BMY,2020-01-14,52.830047910690304,3142,166000.0,5,51.7,2.13,54.33,55.83,57.33,0.178,3550.61,2020-01-24,51.7,STOP_LOSS,-3887.0413999999873,-2.339251952866403,-1.0947529618520124,10
CI,2020-01-06,188.3186453475952,881,166000.0,5,182.94,2.86,195.49,202.66,209.83,0.237,4738.59,2020-01-27,182.94,STOP_LOSS,-5157.030140000017,-3.1035411215290836,-1.0883055704996882,21
AMAT,2020-01-14,58.870435369491574,2819,166000.0,5,57.04,3.1,61.31,63.74,66.17,0.258,5160.0,2020-01-27,57.04,STOP_LOSS,-5531.035759999999,-3.3286206323796677,-1.0719067145498118,13
AAPL,2020-01-09,74.67481569671631,2222,166000.0,5,72.8,2.51,77.17,79.67,82.16,0.208,4165.84,2020-01-29,78.14430368804932,PROFIT_TARGET_1,7297.006152050744,4.391395443141644,1.7516287986554053,20
MRNA,2020-01-27,22.751369771003723,7296,166000.0,4,21.16,7.0,25.25,27.75,30.25,0.581,11610.63,2020-01-29,21.16,STOP_LOSS,-11937.023359999992,-7.183794133577261,-1.0281112568869875,2
ENOV,2020-01-06,63.88735068511963,2598,166000.0,5,61.77,3.31,66.71,69.53,72.35,0.275,5500.88,2020-01-31,61.77,STOP_LOSS,-5848.018459999992,-3.519383303443539,-1.0631065510125783,25
CRI,2020-01-28,91.10272616958618,1822,166000.0,5,88.62,2.72,94.41,97.72,101.02,0.226,4523.53,2020-01-31,88.62,STOP_LOSS,-4861.8256399999955,-2.925884741764257,-1.074786456001552,3
AES,2020-01-07,15.982595725536346,10386,166000.0,5,15.61,2.36,16.49,16.99,17.49,0.193,3869.78,2020-02-04,16.487778979301453,PROFIT_TARGET_1,4904.830406545865,2.951765347029997,1.267470350679324,28
ADBE,2020-01-22,350.23502755737303,473,166000.0,5,343.09,2.04,359.77,369.3,378.83,0.169,3379.6,2020-02-04,366.5566202392578,PROFIT_TARGET_1,7041.900091795775,4.237870618415184,2.0836501914202326,13
ALLE,2020-01-23,119.74922915267943,1386,166000.0,5,116.93,2.35,123.51,127.27,131.02,0.195,3907.45,2020-02-04,124.65247107696534,PROFIT_TARGET_1,6429.556587761297,3.8693575025945726,1.6454603247098956,12
TSLA,2020-02-03,52.025999999999996,3190,166000.0,5,49.42,5.0,56.86,61.68,66.51,0.416,8313.14,2020-02-04,59.10776424980164,PROFIT_TARGET_1,22199.21418891035,13.359660934794332,2.6703765591473734,1
CBRE,2020-01-30,61.91094106864929,2681,166000.0,5,60.59,2.14,63.67,65.44,67.2,0.177,3541.44,2020-02-05,63.8980353050232,PROFIT_TARGET_1,4973.322020114429,2.992984136414446,1.4043207847830375,6
FTNT,2020-01-14,23.355671862602232,7107,166000.0,5,22.72,2.71,24.2,25.04,25.89,0.226,4517.72,2020-02-06,24.253867747306824,PROFIT_TARGET_1,6033.865842029481,3.631227713268347,1.3355998022988742,23
GNRC,2020-01-28,107.14354133605957,1549,166000.0,5,103.53,3.37,111.95,116.77,121.58,0.28,5597.38,2020-02-06,103.53,STOP_LOSS,-5958.397969999991,-3.5858105569129615,-1.064498520518658,9
MCO,2020-01-28,247.0847996292114,671,166000.0,5,241.66,2.2,254.32,261.56,268.79,0.182,3640.04,2020-02-06,254.25647515869142,PROFIT_TARGET_1,4269.48873665047,2.5694117549020077,1.1729233992302532,9
DAY,2020-01-30,74.86741683197022,2217,166000.0,5,72.3,3.43,78.29,81.71,85.13,0.285,5691.96,2020-02-06,72.3,STOP_LOSS,-6037.189099999989,-3.633227675938513,-1.0606514793679174,7
AMD,2020-01-02,49.12454847335815,3379,166000.0,5,46.7,4.93,52.35,55.58,58.81,0.41,8192.55,2020-02-11,53.77309923744202,PROFIT_TARGET_1,15351.603020993265,9.238714912192185,1.873849332461597,40
ABBV,2020-02-07,72.3861582069397,2293,166000.0,5,69.92,3.4,75.67,78.96,82.24,0.283,5654.9,2020-02-12,76.62333603668213,PROFIT_TARGET_1,9355.612222580006,5.630280696761074,1.654425533808367,5
LULU,2020-02-03,246.49318011474608,673,166000.0,5,239.59,2.8,255.69,264.89,274.09,0.232,4645.84,2020-02-18,259.100395980835,PROFIT_TARGET_1,8034.191928606859,4.835039616171093,1.7293302293997723,15
ADBE,2020-02-06,367.64372145080563,451,166000.0,5,356.77,2.96,382.14,396.63,411.13,0.245,4904.05,2020-02-19,383.08835877990725,PROFIT_TARGET_1,6434.0769599284395,3.8720778979625434,1.3119929635337915,13
ALLE,2020-02-10,125.81971435546875,1319,166000.0,5,122.17,2.9,130.69,135.55,140.42,0.241,4813.97,2020-02-19,122.17,STOP_LOSS,-5184.912229999987,-3.120320781628003,-1.0770546442697966,9
AMD,2020-02-13,54.55726377868652,3042,166000.0,5,51.83,5.0,58.88,63.21,67.53,0.415,8296.34,2020-02-19,58.87055152511597,PROFIT_TARGET_1,12739.133521663374,7.666510309969173,1.5355131331213199,6
AAPL,2020-02-06,78.43230873870849,2116,166000.0,5,75.66,3.53,82.12,85.82,89.51,0.293,5866.21,2020-02-21,75.66,STOP_LOSS,-6229.536560000008,-3.748983883586298,-1.0619363371826818,15
