symbol,entry_date,entry_price,shares,position_value,conviction_level,stop_price,stop_percent,target_1_price,target_2_price,target_3_price,position_risk_pct,dollar_risk,exit_date,exit_price,exit_reason,pnl_dollars,pnl_percent,r_multiple,holding_days
AXON,2020-01-02,76.59827755737304,2167,166000.0,5,74.03,3.35,80.02,83.44,86.85,0.278,5565.46,2020-01-03,74.03,STOP_LOSS,-5903.413009999989,-3.552720177412942,-1.060723767127318,1
AAPL,2020-01-01,70.82083889007568,2343,166000.0,4,68.76,2.91,72.88,74.95,77.01,0.241,4828.55,2020-01-08,73.04855571746826,PROFIT_TARGET_1,4815.613279982121,2.8980737816292867,0.9973217111834002,7
TSLA,2020-01-03,29.548767396926877,5617,166000.0,5,28.07,5.0,31.56,33.57,35.58,0.415,8306.24,2020-01-08,32.7929291343689,PROFIT_TARGET_1,17847.685064802354,10.740876632284795,2.148709001050532,5
COP,2020-01-06,52.99708924484253,3132,166000.0,5,51.75,2.35,54.66,56.32,57.98,0.195,3905.88,2020-01-08,51.75,STOP_LOSS,-4247.081000000006,-2.5559266035169683,-1.087354751839442,2
SLB,2020-01-06,35.24852289390564,4709,166000.0,5,34.19,3.01,36.66,38.07,39.49,0.249,4984.58,2020-01-08,34.19,STOP_LOSS,-5326.290710000001,-3.205403457987796,-1.0685526377978887,2
ALGN,2020-01-01,279.17952854919434,594,166000.0,4,267.43,4.21,290.93,302.68,314.43,0.349,6979.22,2020-01-09,296.39173854064944,PROFIT_TARGET_1,9714.636000452621,5.846344017700746,1.3919372162800083,8
DAY,2020-01-02,70.05500664138793,2369,166000.0,5,67.95,3.01,72.86,75.67,78.48,0.249,4986.76,2020-01-15,73.31332347488404,PROFIT_TARGET_1,7339.584048688295,4.4170191547538575,1.4718139571965123,13
EOG,2020-01-06,66.81499175262451,2484,166000.0,5,64.54,3.41,69.85,72.89,75.93,0.283,5651.08,2020-01-21,64.54,STOP_LOSS,-6008.957359999971,-3.616237593731552,-1.063329111831562,15
GE,2020-01-03,57.9700830745697,2863,166000.0,5,56.21,3.04,60.32,62.67,65.02,0.252,5039.12,2020-01-22,56.21,STOP_LOSS,-5397.699229999998,-3.248377664504169,-1.0711595558419296,19
ACIW,2020-01-01,37.90894438934326,4378,166000.0,4,36.68,3.23,39.13,40.36,41.59,0.269,5380.32,2020-01-23,36.68,STOP_LOSS,-5741.545039999997,-3.455306765523632,-1.067138497656158,22
BOOT,2020-01-03,45.372673473358155,3658,166000.0,4,42.29,6.8,48.46,51.54,54.63,0.564,11276.42,2020-01-27,42.29,STOP_LOSS,-11623.876820000005,-6.9953400936413015,-1.030812728493852,24
AMD,2020-01-02,49.12454847335815,3379,166000.0,5,46.7,4.93,52.35,55.58,58.81,0.41,8192.55,2020-02-11,53.77309923744202,PROFIT_TARGET_1,15351.603020993265,9.238714912192185,1.873849332461597,40
