symbol,entry_date,entry_price,shares,position_value,conviction_level,stop_price,stop_percent,target_1_price,target_2_price,target_3_price,position_risk_pct,dollar_risk,exit_date,exit_price,exit_reason,pnl_dollars,pnl_percent,r_multiple,holding_days
AXON,2020-01-02,76.59827755737304,3916,300000.0,3,72.33,5.58,80.02,83.44,86.85,0.836,16714.57,2020-01-06,72.33,STOP_LOSS,-17338.964280000015,-5.773880879120884,-1.037355982339645,4
DAY,2020-01-02,70.05500664138793,4282,300000.0,3,66.54,5.01,72.86,75.67,78.48,0.753,15051.26,2020-01-15,73.31332347488404,PROFIT_TARGET_1,13313.723468334007,4.433474348429573,0.8845588242871779,13
SIG,2020-01-16,28.148226167678832,14210,400000.0,5,26.74,5.0,31.6,35.05,38.5,1.001,20010.89,2020-01-21,26.74,STOP_LOSS,-20804.57540000003,-5.19594790209791,-1.0396624740265012,5
BOOT,2020-01-06,47.133555610656735,6364,300000.0,3,43.36,8.0,50.41,53.69,56.96,1.201,24014.91,2020-01-24,43.36,STOP_LOSS,-24632.903040000005,-8.202764915084916,-1.0257338123549702,18
DDOG,2020-01-06,39.919951526641846,10020,400000.0,4,37.13,7.0,43.47,47.01,50.56,1.398,27955.31,2020-01-29,43.89803816986084,PROFIT_TARGET_1,39018.48411954363,9.744876153732175,1.3957447841607304,23
MU,2020-01-07,56.88228587722778,7032,400000.0,4,53.79,5.43,59.97,63.06,66.15,1.087,21744.95,2020-01-30,53.79,STOP_LOSS,-22526.971280000056,-5.626116703296717,-1.0359631471721198,23
GE,2020-01-29,62.66773559761047,6382,400000.0,5,60.03,4.2,66.18,69.69,73.21,0.842,16834.03,2020-02-03,60.03,STOP_LOSS,-17671.651459999965,-4.413499365634356,-1.0497577197206698,5
TSLA,2020-02-03,52.025999999999996,7688,400000.0,4,48.38,7.0,56.86,61.68,66.51,1.402,28030.45,2020-02-04,59.10776424980164,PROFIT_TARGET_1,53566.07106092258,13.37813962560504,1.9109958949254993,1
PENN,2020-01-30,30.885435839653013,12951,400000.0,4,28.72,7.0,33.4,35.91,38.42,1.402,28044.56,2020-02-06,34.88255152511597,PROFIT_TARGET_1,50912.16087697516,12.715324894349441,1.815402405205828,7
AXON,2020-01-22,79.11954183197021,5055,400000.0,4,73.58,7.0,85.1,91.08,97.06,1.4,28002.38,2020-02-10,85.39728244018555,PROFIT_TARGET_1,30851.57947240281,7.705189678422281,1.1017483195645525,19
AMD,2020-01-02,49.12454847335815,6106,300000.0,3,45.19,8.0,52.35,55.58,58.81,1.201,24024.35,2020-02-11,53.77309923744202,PROFIT_TARGET_1,27710.20539987716,9.22750762566672,1.1534215062889597,40
ABBV,2020-02-07,72.3861582069397,4144,300000.0,3,68.28,5.67,75.67,78.96,82.24,0.851,17015.92,2020-02-12,76.62333603668213,PROFIT_TARGET_1,16909.577431474754,5.630894915576009,0.9937504301546174,5
RL,2020-02-04,110.73709594345092,3612,400000.0,5,105.8,4.46,117.32,123.91,130.5,0.892,17832.79,2020-02-21,105.8,STOP_LOSS,-18632.549600000028,-4.653483916083923,-1.0448476670050062,17
DVA,2020-02-11,88.54424999999999,4517,400000.0,4,83.75,5.42,93.34,98.14,102.94,1.083,21655.63,2020-02-24,83.75,STOP_LOSS,-22479.548750000016,-5.614272914585419,-1.038046531300545,13
BIIB,2020-02-05,333.03643011474605,1201,400000.0,5,316.38,5.0,359.81,386.58,413.35,1.0,20004.37,2020-02-27,316.38,STOP_LOSS,-20807.592379999987,-5.196701393606391,-1.0401522121959712,22
