symbol,entry_date,entry_price,shares,position_value,conviction_level,stop_price,stop_percent,target_1_price,target_2_price,target_3_price,position_risk_pct,dollar_risk,exit_date,exit_price,exit_reason,pnl_dollars,pnl_percent,r_multiple,holding_days
CAT,2020-01-02,132.63104067993163,2261,300000.0,5,129.72,2.19,136.51,140.39,144.27,0.329,6581.86,2020-01-07,129.72,STOP_LOSS,-7296.37692000001,-2.4296959440559474,-1.1085580093563328,5
SONO,2020-01-01,15.627809885501861,19196,300000.0,5,14.99,4.08,16.48,17.33,18.18,0.612,12243.4,2020-01-08,14.99,STOP_LOSS,-12839.708039999998,-4.275627052947052,-1.048704571274228,7
HUM,2020-01-08,355.93147787475584,842,300000.0,5,347.17,2.46,367.61,379.3,390.98,0.369,7377.16,2020-01-09,347.17,STOP_LOSS,-8275.177139999985,-2.7556367432567384,-1.1217287191052936,1
FTNT,2020-01-03,22.2531215801239,13481,300000.0,5,21.58,3.03,23.15,24.05,24.95,0.454,9074.35,2020-01-13,23.326330344200137,PROFIT_TARGET_1,13847.7971107919,4.611321049214752,1.526037019255229,10
DAY,2020-01-02,70.05500664138793,4282,300000.0,5,67.95,3.01,72.86,75.67,78.48,0.451,9013.64,2020-01-15,73.31332347488404,PROFIT_TARGET_1,13313.723468334007,4.433474348429573,1.4770642908839775,13
AL,2020-01-16,44.08866844940185,6804,300000.0,5,43.02,2.42,45.51,46.94,48.36,0.364,7271.22,2020-01-21,43.02,STOP_LOSS,-7884.628079999995,-2.6255837762237744,-1.0843610754901714,5
GE,2020-01-03,57.9700830745697,5175,300000.0,5,56.21,3.04,60.32,62.67,65.02,0.455,9108.43,2020-01-22,56.21,STOP_LOSS,-9704.136750000005,-3.231480769230771,-1.065401704237637,19
BMY,2020-01-13,52.59946010971069,5703,300000.0,5,51.49,2.1,54.07,55.55,57.02,0.316,6327.25,2020-01-24,51.49,STOP_LOSS,-6946.177469999995,-2.313079410589409,-1.097819173565948,11
AMAT,2020-01-14,58.870435369491574,5095,300000.0,5,57.04,3.1,61.31,63.74,66.17,0.466,9326.07,2020-01-27,57.04,STOP_LOSS,-9971.818800000008,-3.3206189810189835,-1.0692414614678671,13
APO,2020-01-23,44.09354988670349,6803,300000.0,5,42.68,3.21,45.98,47.86,49.75,0.481,9616.38,2020-01-27,42.68,STOP_LOSS,-10238.312040000048,-3.4093613186813343,-1.0646742504524573,4
