symbol,entry_date,entry_price,shares,position_value,conviction_level,stop_price,stop_percent,target_1_price,target_2_price,target_3_price,position_risk_pct,dollar_risk,exit_date,exit_price,exit_reason,pnl_dollars,pnl_percent,r_multiple,holding_days
PAYC,2020-01-01,258.92731155395506,1544,400000.0,5,250.07,3.42,270.73,282.54,294.35,0.684,13675.69,2020-01-06,271.6917839050293,PROFIT_TARGET_1,18672.62223501585,4.663492066687275,1.3653880386828807,5
WBD,2020-01-01,32.75637167930603,12211,400000.0,5,32.01,2.29,33.76,34.76,35.76,0.456,9113.94,2020-01-06,32.01,STOP_LOSS,-9916.76410999999,-2.4767143131868106,-1.0880869449335495,5
SONO,2020-01-01,15.627809885501861,25595,400000.0,5,14.99,4.08,16.48,17.33,18.18,0.816,16324.74,2020-01-08,14.99,STOP_LOSS,-17114.619050000038,-4.274380382117891,-1.0483851403513744,7
AAPL,2020-01-07,71.964049369812,5558,400000.0,4,69.77,3.05,74.16,76.35,78.54,0.61,12194.53,2020-01-09,74.60017819976807,PROFIT_TARGET_1,13813.162643876625,3.4498408201490074,1.1327346543613694,2
AMP,2020-01-07,149.01862490844726,2684,400000.0,5,146.55,1.66,152.31,155.61,158.9,0.331,6625.79,2020-01-13,152.5363645629883,PROFIT_TARGET_1,8598.194884573517,2.1474013198235555,1.2976861404140263,6
PTCT,2020-01-07,51.51574667930603,7764,400000.0,5,49.43,4.05,54.3,57.09,59.87,0.81,16193.74,2020-01-13,49.43,STOP_LOSS,-17009.25451999996,-4.248065564435554,-1.0503600429525828,6
URI,2020-01-10,154.17716297149659,2594,400000.0,5,149.53,3.01,160.37,166.57,172.77,0.603,12054.74,2020-01-14,149.53,STOP_LOSS,-12907.060820000013,-3.223541663336667,-1.0707041395373755,4
AL,2020-01-02,42.03658701324463,9515,400000.0,5,41.18,2.05,43.18,44.33,45.48,0.408,8150.43,2020-01-15,43.43225631523133,PROFIT_TARGET_1,12444.66092058667,3.1080571729736937,1.526872557255608,13
SWK,2020-01-10,136.7547445678711,2924,400000.0,5,134.25,1.83,140.09,143.42,146.76,0.366,7323.87,2020-01-16,140.3215735244751,PROFIT_TARGET_1,9489.980704579677,2.3701250510938254,1.2957598464203153,6
BIIB,2020-01-14,299.1194862213135,1337,400000.0,5,290.83,2.77,310.17,321.21,332.26,0.554,11083.04,2020-01-16,290.83,STOP_LOSS,-11949.129710000008,-2.9842981293706314,-1.0781452012788053,2
