symbol,entry_date,exit_date,pnl_pct
PSX,2015-07-07,2015-07-08,-4.675180992685658
HOLX,2015-07-07,2015-07-16,-1.8041257131542268
CAG,2015-07-07,2015-07-21,-3.231499096089123
LLY,2015-07-07,2015-07-21,-3.561362959082024
MKTX,2015-07-09,2015-07-22,-1.6763884699954823
TYL,2015-07-06,2015-07-23,6.545560823354754
LEN,2015-07-07,2015-07-24,-4.16903423784576
FICO,2015-07-10,2015-07-24,-2.0249370703033627
VLO,2015-07-06,2015-07-27,-1.4692562097087851
MPC,2015-07-06,2015-07-27,-0.5477907706331305
EA,2015-07-07,2015-07-27,1.9029812450336112
KR,2015-07-07,2015-07-27,1.3397033330994412
CZR,2015-07-09,2015-07-27,0.48019162328192655
HCA,2015-07-10,2015-07-27,-1.0110620938828287
EPAM,2015-07-10,2015-07-27,-3.208987159379264
ULTA,2015-07-07,2015-07-28,4.1337325389421204
PANW,2015-07-24,2015-07-29,-6.7198236465826175
DIS,2015-07-06,2015-08-05,-4.46845611636956
DRI,2015-07-09,2015-08-06,-1.0620400459344201
WBA,2015-07-10,2015-08-06,0.6658427248982444
MNST,2015-07-28,2015-08-06,-3.413557697252457
FTNT,2015-07-23,2015-08-07,0.1494761766234126
AMZN,2015-07-24,2015-08-07,-1.2844250083655009
META,2015-07-21,2015-08-12,-4.268735577911169
IQV,2015-07-29,2015-08-12,-5.132740375364289
NKE,2015-07-29,2015-08-12,-1.6185044470114176
TECH,2015-08-06,2015-08-12,-3.1110930084285
MDLZ,2015-07-29,2015-08-19,4.895572849359481
WAB,2015-07-29,2015-08-20,-5.030632067727551
VRSK,2015-07-29,2015-08-20,-4.122137898874509
CAG,2015-08-07,2015-08-20,-2.657784625695643
ORLY,2015-07-07,2015-08-21,1.7646560495219548
DXCM,2015-07-08,2015-08-21,13.205885697260527
GOOGL,2015-07-17,2015-08-21,-7.945737050665189
GOOG,2015-07-22,2015-08-21,-7.494340151039812
EQIX,2015-07-27,2015-08-21,-1.9267051642470228
TKO,2015-08-06,2015-08-21,-6.295642014866948
MLM,2015-08-06,2015-08-21,-3.6251036917714736
MHK,2015-08-07,2015-08-21,-1.8003499229088722
VLO,2015-08-12,2015-08-21,-12.89359980591374
AIZ,2015-08-13,2015-08-21,-5.9200475022485195
GPN,2015-07-28,2015-08-24,-3.6315708001290656
MAS,2015-07-29,2015-08-24,-4.240788988964405
NVR,2015-07-29,2015-08-24,0.9477952860169491
LII,2015-08-12,2015-08-24,-5.128224558691422
EXR,2015-08-12,2015-08-24,-5.840912265370662
BLDR,2015-08-19,2015-08-24,-8.664494401652323
INCY,2015-08-28,2015-09-22,-1.79271368332192
BLDR,2015-09-03,2015-09-22,-2.7397265387096597
MLM,2015-09-16,2015-09-22,-5.942972218322783
VMC,2015-09-17,2015-09-23,-7.4011967803388075
EQIX,2015-09-10,2015-09-24,-1.9183662922607678
MOH,2015-09-17,2015-09-24,-4.190117075663938
EPAM,2015-09-08,2015-09-25,-0.7716653726728481
DXCM,2015-09-17,2015-09-25,-9.665396673101979
CZR,2015-09-17,2015-09-25,-7.369500852547706
RCL,2015-09-09,2015-09-28,-4.536064440820543
PANW,2015-09-10,2015-09-28,-0.9582910604034499
TYL,2015-09-10,2015-09-28,0.3462364014406511
NCLH,2015-09-11,2015-09-28,-5.645820793499601
TSLA,2015-09-16,2015-09-28,-5.269780550542629
LLY,2015-09-17,2015-09-28,-11.380329820367477
AMZN,2015-09-17,2015-09-28,-6.4598191411476895
FTNT,2015-09-21,2015-09-28,-6.074560392211116
GPN,2015-09-23,2015-09-28,-4.5020330381714
SBUX,2015-09-24,2015-09-28,-4.4543645960598965
EXPE,2015-09-16,2015-09-29,-8.557917237808017
TMUS,2015-09-17,2015-09-29,-6.851896358620111
CBOE,2015-09-30,2015-10-07,-2.966609652157477
NFLX,2015-10-05,2015-10-15,-9.13258756144663
AIZ,2015-09-25,2015-10-21,2.3306501748493593
PAYC,2015-10-12,2015-10-23,-6.9629644236123225
TKO,2015-10-13,2015-10-29,-13.697262413827668
EPAM,2015-10-01,2015-10-30,2.8727170668707935
ACGL,2015-10-05,2015-10-30,-0.12003729607022112
EA,2015-10-16,2015-11-03,0.2649766112958552
PGR,2015-10-12,2015-11-05,0.34086540212398475
NVDA,2015-10-14,2015-11-05,1.2792127855123963
TYL,2015-10-01,2015-11-06,4.367667109452179
MDLZ,2015-10-05,2015-11-06,1.3321678168595745
HRL,2015-10-21,2015-11-06,0.030034595536853382
NKE,2015-09-25,2015-11-09,4.383993170337253
JNPR,2015-10-02,2015-11-09,7.618700364626132
SBUX,2015-10-05,2015-11-09,4.2320692011012
TTWO,2015-10-12,2015-11-09,7.639575984493622
EXPE,2015-10-30,2015-11-13,-8.143805179321728
REGN,2015-11-03,2015-11-13,-5.0345907800699
JKHY,2015-11-09,2015-11-13,-2.0509693423300805
META,2015-11-05,2015-11-16,-4.339828174166425
MPWR,2015-11-06,2015-11-16,-1.3970924349769849
EQIX,2015-10-16,2015-11-19,-0.06638223197627616
GPN,2015-10-02,2015-12-03,17.095834954186685
LII,2015-10-30,2015-12-03,0.5195551162992883
HOLX,2015-11-10,2015-12-03,-4.463419100133384
CBOE,2015-11-10,2015-12-03,-2.11790211963811
