symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl_pct,pnl_dollar
LLY,2015-07-07,2015-07-21,74.09122467041016,71.45255279541016,67,-3.5613824535064107,-176.791015625
UNH,2015-07-14,2015-07-23,106.95957946777344,102.10787963867188,46,-4.536012438758105,-223.17819213867188
HCA,2015-07-10,2015-07-27,86.70417022705078,85.8275146484375,57,-1.011088136034977,-49.96936798095703
FI,2015-07-13,2015-07-27,43.54499816894531,42.529998779296875,114,-2.3309207310342654,-115.70993041992188
JPM,2015-07-16,2015-07-27,52.95088195800781,51.770992279052734,94,-2.228272004781296,-110.90962982177734
TSLA,2015-07-20,2015-07-27,18.817333221435547,16.867332458496094,267,-10.362790199825618,-520.650203704834
AAPL,2015-07-20,2015-07-30,29.57930564880371,27.406816482543945,170,-7.344625300045299,-369.32315826416016
AMZN,2015-07-13,2015-08-07,22.778499603271484,26.131000518798828,219,14.717830295748946,734.1977005004883
SBUX,2015-07-13,2015-08-10,45.60360336303711,46.19730758666992,109,1.3018800705429014,64.71376037597656
META,2015-07-17,2015-08-12,94.45183563232422,93.67609405517578,53,-0.8213091592716021,-41.11430358886719
NKE,2015-07-20,2015-08-12,50.11643600463867,50.085418701171875,100,-0.06189048132617806,-3.1017303466796875
BAC,2015-07-22,2015-08-12,14.888805389404297,14.13830852508545,336,-5.040678850251767,-252.1669464111328
NFLX,2015-07-13,2015-08-20,101.08714294433594,112.48999786376953,49,11.280222773446692,558.7398910522461
MA,2015-07-29,2015-08-20,91.05152130126953,89.0089111328125,54,-2.2433564417869327,-110.30094909667969
GOOGL,2015-07-17,2015-08-21,34.772457122802734,32.00952911376953,145,-7.945737050665189,-400.62456130981445
GOOG,2015-07-17,2015-08-21,33.44768142700195,30.443044662475586,150,-8.983094302317637,-450.6955146789551
EQIX,2015-07-20,2015-08-21,214.12753295898438,214.97540283203125,23,0.3959649006040164,19.501007080078125
TMUS,2015-07-31,2015-08-24,39.6156120300293,37.73518753051758,125,-4.746675371533641,-235.05306243896484
EQIX,2015-09-10,2015-09-24,227.3499755859375,222.98855590820312,21,-1.9183726175883284,-91.58981323242188
TSLA,2015-09-16,2015-09-28,17.483333587646484,16.562000274658203,280,-5.269780550542629,-257.97332763671875
LLY,2015-09-17,2015-09-28,75.58740997314453,66.9853286743164,64,-11.380309633422234,-550.533203125
AMZN,2015-09-17,2015-09-28,26.943500518798828,25.202999114990234,182,-6.4598191411476895,-316.77125549316406
SBUX,2015-09-24,2015-09-28,47.92139434814453,45.78681564331055,102,-4.454333463935682,-217.7270278930664
TMUS,2015-09-17,2015-09-29,41.379127502441406,38.54386901855469,118,-6.851904945843616,-334.5605010986328
NFLX,2015-10-05,2015-10-15,111.25,101.08999633789062,43,-9.13258756144663,-436.8801574707031
MO,2015-10-22,2015-11-03,32.26673889160156,30.401147842407227,149,-5.781777499925519,-277.97306632995605
