datetime,portfolio_value,cash,positions,return
2014-01-02 08:30:00-05:00,100000.0,100000.0,[],
2014-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2014-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2014-01-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2014-01-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2014-01-05 09:30:00-05:00,100000.0,100000.0,[],0.0
2014-01-06 09:30:00-05:00,100000.0,100000.0,[],0.0
2014-01-07 09:30:00-05:00,100000.0,100000.0,[],0.0
2014-01-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2014-01-09 09:30:00-05:00,100000.0,100000.0,[],0.0
2014-01-10 09:30:00-05:00,100000.0,100000.0,[],0.0
2014-01-11 09:30:00-05:00,100000.0,80219.80062103271,"[{'asset': PPT.AX, 'quantity': 407.0}]",0.0
2014-01-12 09:30:00-05:00,100162.80062103271,80219.80062103271,"[{'asset': PPT.AX, 'quantity': 407.0}]",0.0016280062103271042
2014-01-13 09:30:00-05:00,99625.56074523926,80219.80062103271,"[{'asset': PPT.AX, 'quantity': 407.0}]",-0.005363666675277101
2014-01-14 09:30:00-05:00,99226.70093154907,80219.80062103271,"[{'asset': PPT.AX, 'quantity': 407.0}]",-0.004003589146264863
2014-01-15 09:30:00-05:00,99588.93068313599,80219.80062103271,"[{'asset': PPT.AX, 'quantity': 407.0}]",0.0036505270072093587
2014-01-16 09:30:00-05:00,99552.30062103271,80219.80062103271,"[{'asset': PPT.AX, 'quantity': 407.0}]",-0.00036781258571616515
2014-01-17 09:30:00-05:00,99552.30062103271,60427.30062103271,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}]",0.0
2014-01-18 09:30:00-05:00,99552.30062103271,40758.43564605713,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}, {'asset': WDS.AX, 'quantity': 515.0}]",0.0
2014-01-19 09:30:00-05:00,99352.6611995697,40758.43564605713,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}, {'asset': WDS.AX, 'quantity': 515.0}]",-0.002005372253756188
2014-01-20 09:30:00-05:00,99405.72760105133,40758.43564605713,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}, {'asset': WDS.AX, 'quantity': 515.0}]",0.0005341215911169872
2014-01-21 09:30:00-05:00,99804.98805236816,40758.43564605713,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}, {'asset': WDS.AX, 'quantity': 515.0}]",0.004016473305433754
2014-01-22 09:30:00-05:00,99783.47258090973,40758.43564605713,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}, {'asset': WDS.AX, 'quantity': 515.0}]",-0.00021557511180847477
2014-01-23 09:30:00-05:00,98813.42360305786,20804.19626617432,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}, {'asset': WDS.AX, 'quantity': 515.0}, {'asset': GMG.AX, 'quantity': 4064.0}]",-0.009721539577261185
2014-01-24 09:30:00-05:00,98813.42360305786,20804.19626617432,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}, {'asset': WDS.AX, 'quantity': 515.0}, {'asset': GMG.AX, 'quantity': 4064.0}]",0.0
2014-01-25 09:30:00-05:00,98813.42360305786,20804.19626617432,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}, {'asset': WDS.AX, 'quantity': 515.0}, {'asset': GMG.AX, 'quantity': 4064.0}]",0.0
2014-01-26 09:30:00-05:00,98813.42360305786,20804.19626617432,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}, {'asset': WDS.AX, 'quantity': 515.0}, {'asset': GMG.AX, 'quantity': 4064.0}]",0.0
2014-01-27 09:30:00-05:00,97415.72154903412,20804.19626617432,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}, {'asset': WDS.AX, 'quantity': 515.0}, {'asset': GMG.AX, 'quantity': 4064.0}]",-0.01414486011170335
2014-01-28 09:30:00-05:00,97879.50280666351,20804.19626617432,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}, {'asset': WDS.AX, 'quantity': 515.0}, {'asset': GMG.AX, 'quantity': 4064.0}]",0.004760846096037552
2014-01-29 09:30:00-05:00,97339.82975101471,1229.1561660766638,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}, {'asset': WDS.AX, 'quantity': 515.0}, {'asset': GMG.AX, 'quantity': 4064.0}, {'asset': CHC.AX, 'quantity': 5248.0}]",-0.005513647292577639
2014-01-30 09:30:00-05:00,97231.0448513031,1229.1561660766638,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}, {'asset': WDS.AX, 'quantity': 515.0}, {'asset': GMG.AX, 'quantity': 4064.0}, {'asset': CHC.AX, 'quantity': 5248.0}]",-0.0011175784875510075
2014-01-31 09:30:00-05:00,97231.0448513031,1229.1561660766638,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}, {'asset': WDS.AX, 'quantity': 515.0}, {'asset': GMG.AX, 'quantity': 4064.0}, {'asset': CHC.AX, 'quantity': 5248.0}]",0.0
2014-02-01 09:30:00-05:00,97231.0448513031,1229.1561660766638,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}, {'asset': WDS.AX, 'quantity': 515.0}, {'asset': GMG.AX, 'quantity': 4064.0}, {'asset': CHC.AX, 'quantity': 5248.0}]",0.0
2014-02-02 09:30:00-05:00,96919.93790912628,1229.1561660766638,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}, {'asset': WDS.AX, 'quantity': 515.0}, {'asset': GMG.AX, 'quantity': 4064.0}, {'asset': CHC.AX, 'quantity': 5248.0}]",-0.003199666759239328
2014-02-03 09:30:00-05:00,96256.20597362518,1229.1561660766638,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}, {'asset': WDS.AX, 'quantity': 515.0}, {'asset': GMG.AX, 'quantity': 4064.0}, {'asset': CHC.AX, 'quantity': 5248.0}]",-0.00684824969784259
2014-02-04 09:30:00-05:00,96318.08912277222,1229.1561660766638,"[{'asset': PPT.AX, 'quantity': 407.0}, {'asset': TLS.AX, 'quantity': 3770.0}, {'asset': WDS.AX, 'quantity': 515.0}, {'asset': GMG.AX, 'quantity': 4064.0}, {'asset': CHC.AX, 'quantity': 5248.0}]",0.000642900356616849
