Metric,VAS.AX,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,69.0%
,,
Total Return,115%,220%
CAGR% (Annual Return),7.98%,12.38%
,,
Sharpe,0.25,0.53
RoMaD,0.22,0.41
Corr to Benchmark,1.0,0.36
Prob. Sharpe Ratio,9.83%,35.43%
Smart Sharpe,0.23,0.5
Sortino,0.33,0.75
Smart Sortino,0.32,0.71
Sortino/√2,0.24,0.53
Smart Sortino/√2,0.22,0.5
Omega,1.09,1.09
,,
Max Drawdown,-35.75%,-30.22%
Longest DD Days,626,846
Volatility (ann.),15.05%,14.42%
R^2,0.13,0.13
Information Ratio,0.01,0.01
Calmar,0.22,0.41
Skew,-0.89,-0.27
Kurtosis,12.38,3.98
,,
Expected Daily%,0.02%,0.03%
Expected Monthly%,0.63%,0.97%
Expected Yearly%,7.21%,11.16%
Daily Value-at-Risk,-1.27%,-1.21%
Expected Shortfall (cVaR),-1.27%,-1.21%
,,
MTD,0.0%,-0.16%
3M,8.55%,13.35%
6M,7.45%,18.11%
YTD,0.0%,-0.16%
1Y,12.06%,31.91%
3Y (ann.),8.36%,3.91%
5Y (ann.),9.66%,8.31%
10Y (ann.),7.98%,12.38%
All-time (ann.),7.98%,12.38%
,,
Best Day,5.98%,4.03%
Worst Day,-7.72%,-4.49%
Best Month,11.48%,9.82%
Worst Month,-18.39%,-10.13%
Best Year,23.83%,33.26%
Worst Year,-3.06%,-27.61%
,,
Avg. Drawdown,-2.21%,-2.26%
Avg. Drawdown Days,32,28
Recovery Factor,2.46,4.2
Ulcer Index,0.07,0.11
Serenity Index,0.71,0.41
,,
Avg. Up Month,3.07%,3.67%
Avg. Down Month,-3.78%,-3.33%
Win Days,2000.31,1958.59
Loss Days,1642.69,1684.41
Win Days%,54.91%,53.76%
Win Month%,61.67%,62.81%
Win Quarter%,75.0%,73.17%
Win Year%,80.0%,81.82%
,,
Beta,-,0.34
Alpha,-,0.1
Correlation,-,36.0%
Treynor Ratio,-,623.14%
