Metric,VAS.AX,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,70.0%
,,
Total Return,114%,147%
CAGR% (Annual Return),7.91%,9.47%
,,
Sharpe,0.24,0.34
RoMaD,0.22,0.4
Corr to Benchmark,1.0,0.3
Prob. Sharpe Ratio,9.59%,15.25%
Smart Sharpe,0.24,0.33
Sortino,0.33,0.47
Smart Sortino,0.32,0.47
Sortino/√2,0.23,0.33
Smart Sortino/√2,0.23,0.33
Omega,1.06,1.06
,,
Max Drawdown,-35.75%,-23.47%
Longest DD Days,626,728
Volatility (ann.),15.03%,15.12%
R^2,0.09,0.09
Information Ratio,0.0,0.0
Calmar,0.22,0.4
Skew,-0.89,-0.23
Kurtosis,12.41,8.84
,,
Expected Daily%,0.02%,0.02%
Expected Monthly%,0.63%,0.75%
Expected Yearly%,7.15%,8.57%
Daily Value-at-Risk,-1.27%,-1.27%
Expected Shortfall (cVaR),-1.27%,-1.27%
,,
MTD,0.0%,-0.79%
3M,8.55%,3.94%
6M,7.45%,0.11%
YTD,0.0%,-0.79%
1Y,12.06%,5.43%
3Y (ann.),8.36%,0.94%
5Y (ann.),9.66%,5.23%
10Y (ann.),7.91%,9.47%
All-time (ann.),7.91%,9.47%
,,
Best Day,5.98%,8.24%
Worst Day,-7.72%,-7.8%
Best Month,11.48%,15.36%
Worst Month,-18.39%,-12.27%
Best Year,23.83%,28.42%
Worst Year,-3.06%,-16.89%
,,
Avg. Drawdown,-2.24%,-3.52%
Avg. Drawdown Days,33,41
Recovery Factor,2.44,4.34
Ulcer Index,0.07,0.09
Serenity Index,0.7,0.46
,,
Avg. Up Month,3.31%,3.96%
Avg. Down Month,-3.11%,-3.72%
Win Days,2003.86,1907.92
Loss Days,1646.14,1742.08
Win Days%,54.9%,52.27%
Win Month%,61.67%,57.85%
Win Quarter%,75.0%,63.41%
Win Year%,80.0%,72.73%
,,
Beta,-,0.3
Alpha,-,0.08
Correlation,-,29.96%
Treynor Ratio,-,470.66%
