Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,64.0%
,,
Total Return,57%,14%
CAGR% (Annual Return),12.01%,3.45%
,,
Sharpe,0.39,-0.16
RoMaD,0.36,0.39
Corr to Benchmark,1.0,0.18
Prob. Sharpe Ratio,22.33%,13.4%
Smart Sharpe,0.36,-0.15
Sortino,0.54,-0.22
Smart Sortino,0.5,-0.2
Sortino/√2,0.38,-0.15
Smart Sortino/√2,0.36,-0.14
Omega,0.97,0.97
,,
Max Drawdown,-33.68%,-8.91%
Longest DD Days,708,755
Volatility (ann.),22.6%,8.45%
R^2,0.03,0.03
Information Ratio,-0.02,-0.02
Calmar,0.36,0.39
Skew,-0.57,-0.37
Kurtosis,16.31,7.38
,,
Expected Daily%,0.03%,0.01%
Expected Monthly%,0.93%,0.28%
Expected Yearly%,9.47%,2.74%
Daily Value-at-Risk,-1.91%,-0.72%
Expected Shortfall (cVaR),-1.91%,-0.72%
,,
MTD,0.0%,0.0%
3M,11.64%,6.04%
6M,8.05%,4.28%
YTD,0.0%,0.0%
1Y,26.21%,6.44%
3Y (ann.),10.05%,3.17%
5Y (ann.),12.01%,3.45%
10Y (ann.),12.01%,3.45%
All-time (ann.),12.01%,3.45%
,,
Best Day,9.06%,3.02%
Worst Day,-10.94%,-2.73%
Best Month,12.7%,6.34%
Worst Month,-12.44%,-4.99%
Best Year,28.77%,6.44%
Worst Year,-18.16%,-4.63%
,,
Avg. Drawdown,-2.09%,-2.16%
Avg. Drawdown Days,21,63
Recovery Factor,1.65,1.68
Ulcer Index,0.1,0.04
Serenity Index,0.3,0.14
,,
Avg. Up Month,4.45%,1.97%
Avg. Down Month,-5.5%,-1.84%
Win Days,785.75,777.7
Loss Days,672.25,680.3
Win Days%,53.89%,53.34%
Win Month%,60.42%,53.19%
Win Quarter%,68.75%,62.5%
Win Year%,75.0%,75.0%
,,
Beta,-,0.07
Alpha,-,0.03
Correlation,-,17.95%
Treynor Ratio,-,138.0%
