Metric,VAS.AX,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,70.0%
,,
Total Return,102%,448%
CAGR% (Annual Return),8.14%,20.83%
,,
Sharpe,0.25,0.9
RoMaD,0.23,0.98
Corr to Benchmark,1.0,0.28
Prob. Sharpe Ratio,11.18%,71.97%
Smart Sharpe,0.25,0.88
Sortino,0.34,1.3
Smart Sortino,0.34,1.27
Sortino/√2,0.24,0.92
Smart Sortino/√2,0.24,0.9
Omega,1.17,1.17
,,
Max Drawdown,-35.75%,-21.17%
Longest DD Days,626,777
Volatility (ann.),15.29%,17.01%
R^2,0.08,0.08
Information Ratio,0.03,0.03
Calmar,0.23,0.98
Skew,-0.93,-0.37
Kurtosis,12.64,6.34
,,
Expected Daily%,0.02%,0.05%
Expected Monthly%,0.65%,1.57%
Expected Yearly%,7.29%,18.54%
Daily Value-at-Risk,-1.29%,-1.41%
Expected Shortfall (cVaR),-1.29%,-1.41%
,,
MTD,0.0%,-0.61%
3M,8.55%,5.05%
6M,7.45%,3.52%
YTD,0.0%,-0.61%
1Y,12.06%,17.34%
3Y (ann.),8.36%,6.84%
5Y (ann.),9.66%,11.29%
10Y (ann.),8.14%,20.83%
All-time (ann.),8.14%,20.83%
,,
Best Day,5.98%,4.67%
Worst Day,-7.72%,-8.4%
Best Month,11.48%,18.81%
Worst Month,-18.39%,-11.96%
Best Year,23.83%,71.11%
Worst Year,-3.06%,-14.41%
,,
Avg. Drawdown,-2.35%,-3.45%
Avg. Drawdown Days,37,38
Recovery Factor,2.26,8.66
Ulcer Index,0.07,0.08
Serenity Index,0.61,1.24
,,
Avg. Up Month,3.23%,5.47%
Avg. Down Month,-3.66%,-4.2%
Win Days,1815.32,1808.84
Loss Days,1469.68,1476.16
Win Days%,55.26%,55.06%
Win Month%,62.96%,60.55%
Win Quarter%,72.22%,64.86%
Win Year%,77.78%,70.0%
,,
Beta,-,0.31
Alpha,-,0.18
Correlation,-,27.99%
Treynor Ratio,-,1422.07%
