Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,68.0%
,,
Total Return,173%,264%
CAGR% (Annual Return),11.8%,15.45%
,,
Sharpe,0.42,0.59
RoMaD,0.35,0.57
Corr to Benchmark,1.0,0.22
Prob. Sharpe Ratio,19.32%,33.58%
Smart Sharpe,0.4,0.55
Sortino,0.59,0.82
Smart Sortino,0.55,0.77
Sortino/√2,0.42,0.58
Smart Sortino/√2,0.39,0.54
Omega,1.11,1.11
,,
Max Drawdown,-33.68%,-27.28%
Longest DD Days,708,727
Volatility (ann.),18.08%,18.81%
R^2,0.05,0.05
Information Ratio,0.01,0.01
Calmar,0.35,0.57
Skew,-0.6,-0.38
Kurtosis,19.59,5.05
,,
Expected Daily%,0.03%,0.04%
Expected Monthly%,0.92%,1.19%
Expected Yearly%,10.55%,13.79%
Daily Value-at-Risk,-1.52%,-1.58%
Expected Shortfall (cVaR),-1.52%,-1.58%
,,
MTD,0.0%,-1.03%
3M,11.64%,2.19%
6M,8.05%,1.26%
YTD,0.0%,-1.03%
1Y,26.21%,7.23%
3Y (ann.),10.05%,11.04%
5Y (ann.),14.11%,13.79%
10Y (ann.),11.8%,15.45%
All-time (ann.),11.8%,15.45%
,,
Best Day,9.06%,7.2%
Worst Day,-10.94%,-6.72%
Best Month,12.7%,11.86%
Worst Month,-12.44%,-10.8%
Best Year,31.23%,81.81%
Worst Year,-18.16%,-16.65%
,,
Avg. Drawdown,-1.64%,-2.61%
Avg. Drawdown Days,19,28
Recovery Factor,3.42,5.32
Ulcer Index,0.08,0.11
Serenity Index,0.96,0.65
,,
Avg. Up Month,3.58%,4.55%
Avg. Down Month,-4.73%,-4.96%
Win Days,1782.95,1832.39
Loss Days,1502.05,1452.61
Win Days%,54.28%,55.78%
Win Month%,68.52%,63.3%
Win Quarter%,77.78%,64.86%
Win Year%,77.78%,70.0%
,,
Beta,-,0.23
Alpha,-,0.13
Correlation,-,21.91%
Treynor Ratio,-,1134.76%
